n_b,p,hub_rank,hub_idx,lat,lon,obj
4,3,1,5,39.83125,116.33125,2761005.5637
4,3,2,9,39.91875,116.33125,2761005.5637
4,3,3,14,40.00625,116.41875,2761005.5637
6,3,1,20,39.904167,116.345833,2541079.5597
6,3,2,22,39.904167,116.4625,2541079.5597
6,3,3,26,39.9625,116.345833,2541079.5597
8,3,1,28,39.853125,116.396875,2980902.2916
8,3,2,34,39.896875,116.309375,2980902.2916
8,3,3,51,39.984375,116.353125,2980902.2916
4,5,1,5,39.83125,116.33125,2484384.3129
4,5,2,6,39.83125,116.41875,2484384.3129
4,5,3,9,39.91875,116.33125,2484384.3129
4,5,4,12,40.00625,116.24375,2484384.3129
4,5,5,14,40.00625,116.41875,2484384.3129
6,5,1,15,39.845833,116.404167,2186157.9743
6,5,2,20,39.904167,116.345833,2186157.9743
6,5,3,22,39.904167,116.4625,2186157.9743
6,5,4,26,39.9625,116.345833,2186157.9743
6,5,5,27,39.9625,116.404167,2186157.9743
8,5,1,27,39.853125,116.353125,2614842.3557
8,5,2,29,39.853125,116.440625,2614842.3557
8,5,3,34,39.896875,116.309375,2614842.3557
8,5,4,46,39.940625,116.484375,2614842.3557
8,5,5,51,39.984375,116.353125,2614842.3557
10,2,1,44,39.8575,116.3575,3034998.6691
10,2,2,75,39.9625,116.3925,3034998.6691
10,5,1,44,39.8575,116.3575,2462767.0402
10,5,2,46,39.8575,116.4275,2462767.0402
10,5,3,63,39.9275,116.3225,2462767.0402
10,5,4,76,39.9625,116.4275,2462767.0402
10,5,5,83,39.9975,116.3225,2462767.0402
10,10,1,23,39.7875,116.3225,2211559.0941
10,10,2,44,39.8575,116.3575,2211559.0941
10,10,3,46,39.8575,116.4275,2211559.0941
10,10,4,52,39.8925,116.2875,2211559.0941
10,10,5,58,39.8925,116.4975,2211559.0941
10,10,6,63,39.9275,116.3225,2211559.0941
10,10,7,75,39.9625,116.3925,2211559.0941
10,10,8,76,39.9625,116.4275,2211559.0941
10,10,9,83,39.9975,116.3225,2211559.0941
10,10,10,87,39.9975,116.4625,2211559.0941
