idx,Grid ID,avg_lat,avg_lon,real_total_demand,cluster_label,is_selected_site
0,0,31.0189,121.2277,469.86739323364327,18,False
1,1,31.0189,121.2377,216.83057883814712,18,False
2,2,31.0189,121.2477,233.9808016504276,18,False
3,3,31.0189,121.2577,198.8237772927743,18,False
4,4,31.0189,121.2677,97.10263015983035,18,False
5,5,31.0189,121.2777,114.60310648015698,18,False
6,6,31.0189,121.2877,67.74282047390652,18,False
7,7,31.0189,121.2977,107.6165385253891,18,False
8,8,31.0189,121.3077,269.33408520135623,18,False
9,9,31.0189,121.3177,43.59472737337593,18,False
10,10,31.0189,121.3277,7.792318823949334,18,False
11,11,31.0189,121.3377,11.498217105962592,4,False
12,12,31.0189,121.3477,26.530803737315388,4,False
13,13,31.0189,121.3577,13.652768799828904,4,False
14,14,31.0189,121.3677,84.74628814729394,4,False
15,15,31.0189,121.3777,77.86852945279645,4,False
16,16,31.0189,121.3877,332.3827899233904,4,False
17,17,31.0189,121.3977,855.7251052370868,4,False
18,18,31.0189,121.4077,881.5539557859929,4,False
19,19,31.0189,121.4177,963.2076174299784,4,False
20,20,31.0189,121.4277,1451.270147897474,4,False
21,21,31.0189,121.4377,727.3588647726659,4,False
22,22,31.0189,121.4477,886.004371254144,4,False
23,23,31.0189,121.4577,194.8580482256988,4,False
24,24,31.0189,121.4677,9.373256641200904,4,False
25,25,31.0189,121.4777,2.850086947182497,4,False
26,26,31.0189,121.4877,2.416795514374156,4,False
27,27,31.0189,121.4977,6.220398510138705,4,False
28,28,31.0189,121.5077,44.471508577329935,4,False
29,29,31.0189,121.5177,9.75345826851368,4,False
30,30,31.0189,121.5277,140.03595098176828,12,False
31,31,31.0189,121.5377,15.250751879380132,12,False
32,32,31.0189,121.5477,10.206824760589214,12,False
33,33,31.0189,121.5577,7.669995226628618,12,False
34,34,31.0189,121.5677,21.439367767827857,12,False
35,35,31.0189,121.5777,12.028272165723138,12,False
36,36,31.0189,121.5877,20.092871516571087,12,False
37,37,31.0189,121.5977,32.57993271748293,12,False
38,38,31.0189,121.6077,22.62429473345418,12,False
39,39,31.0189,121.6177,2.236951912808004,12,False
40,40,31.0189,121.6277,7.684450952892099,12,False
41,41,31.0189,121.6377,50.00842641621284,12,False
42,42,31.0289,121.2177,186.97035859676217,18,False
43,43,31.0289,121.2277,536.3328401124277,18,False
44,44,31.0289,121.2377,129.8550731285834,18,False
45,45,31.0289,121.2477,85.68447073210444,18,False
46,46,31.0289,121.2577,145.36871322106504,18,False
47,47,31.0289,121.2677,116.98888628624456,18,False
48,48,31.0289,121.2777,159.46323423606108,18,False
49,49,31.0289,121.2877,209.54623691734213,18,False
50,50,31.0289,121.2977,123.97906237353216,18,False
51,51,31.0289,121.3077,40.25091257728722,18,False
52,52,31.0289,121.3177,22.545349795790514,18,False
53,53,31.0289,121.3277,0.0,18,False
54,54,31.0289,121.3377,0.7585131365891463,4,False
55,55,31.0289,121.3477,9.049212792012254,4,False
56,56,31.0289,121.3577,51.06996966282426,4,False
57,57,31.0289,121.3677,153.02699648192748,4,False
58,58,31.0289,121.3777,55.77179183847724,4,False
59,59,31.0289,121.3877,573.2526795736144,4,False
60,60,31.0289,121.3977,133.2666693741885,4,False
61,61,31.0289,121.4077,598.4781851727457,4,False
62,62,31.0289,121.4177,936.6942697936512,4,False
63,63,31.0289,121.4277,582.4310733655224,4,False
64,64,31.0289,121.4377,342.7882327251475,4,False
65,65,31.0289,121.4477,664.6597835659811,4,False
66,66,31.0289,121.4577,304.527296246089,4,False
67,67,31.0289,121.4677,45.82819520255079,4,False
68,68,31.0289,121.4777,3.1346616834694823,4,False
69,69,31.0289,121.4877,1.3853770760886823,4,False
70,70,31.0289,121.4977,51.78449882015252,4,False
71,71,31.0289,121.5077,136.16106209027188,4,False
72,72,31.0289,121.5177,95.37691344703916,4,False
73,73,31.0289,121.5277,116.86805685492462,12,False
74,74,31.0289,121.5377,19.465055168154635,12,False
75,75,31.0289,121.5477,6.750899792535804,12,False
76,76,31.0289,121.5577,5.364554928354554,12,False
77,77,31.0289,121.5677,79.9514991204311,12,False
78,78,31.0289,121.5777,122.26247304437048,12,False
79,79,31.0289,121.5877,96.50005726831814,12,False
80,80,31.0289,121.5977,202.21997171581228,12,False
81,81,31.0289,121.6077,71.9224247435773,12,False
82,82,31.0289,121.6177,19.74946602351716,12,False
83,83,31.0289,121.6277,44.02177394071214,12,False
84,84,31.0289,121.6377,306.173998850228,12,False
85,85,31.0389,121.2177,847.3873263117795,18,False
86,86,31.0389,121.2277,290.09332857988386,18,False
87,87,31.0389,121.2377,173.50679958338318,18,False
88,88,31.0389,121.2477,61.38308497378142,18,False
89,89,31.0389,121.2577,68.21141020484384,18,False
90,90,31.0389,121.2677,150.08839124748272,18,False
91,91,31.0389,121.2777,212.97172090915865,18,False
92,92,31.0389,121.2877,83.09918128373323,18,False
93,93,31.0389,121.2977,33.092911925636734,18,False
