idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand,cluster_label,cluster_n_cells,cluster_total_demand
928,928,31.2289,121.4777,45778.992664855,44958.35033389978,90737.3429987548,0,16,582421.0579136696
873,873,31.2189,121.3577,14746.44183609157,10829.197699685674,25575.63953577724,1,23,248813.7971877176
1399,1399,31.3389,121.4577,12058.144551074529,9012.411184667388,21070.55573574192,2,68,257551.1821829496
1146,1146,31.2789,121.5077,17051.54979941988,14617.584926249418,31669.134725669297,3,23,333571.34865928313
275,275,31.0789,121.3977,1337.3233314353513,1500.7298101027277,2838.053141538079,4,129,48466.391567842686
933,933,31.2289,121.5277,18450.934952251235,16304.764119163565,34755.6990714148,5,31,275363.1604199312
614,614,31.158900000000003,121.3477,8697.070009252095,6940.508894269233,15637.578903521327,6,48,158271.15312627502
795,795,31.1989,121.4377,35819.50120297637,31926.368271369774,67745.86947434614,7,18,474167.0416391969
900,900,31.2189,121.6277,2112.152761590238,1525.7198045051332,3637.872566095371,8,29,36354.7824271067
965,965,31.2389,121.4177,12288.658916525712,11523.380654599674,23812.039571125388,9,29,223581.62453563485
1478,1478,31.3589,121.3877,1732.4964868509478,12835.245741570106,14567.742228421055,10,95,101420.81722820335
490,490,31.1289,121.3977,11810.61640567544,8347.667279885154,20158.283685560596,11,59,206022.00586404596
464,464,31.1189,121.5677,2388.1932913514524,2780.984987084312,5169.178278435764,12,178,60405.117056025
783,783,31.1989,121.3177,58200.94477469333,94374.9110400316,152575.85581472493,13,101,353357.77737508086
1140,1140,31.2789,121.4477,16633.74265325461,14420.563801746044,31054.306455000653,14,24,301919.7152328047
1550,1550,31.3789,121.2477,689.9081231229325,516.257167345488,1206.1652904684206,15,138,18178.18984261147
622,622,31.158900000000003,121.4277,11089.921760487265,19244.5906234264,30334.51238391366,16,41,321932.27528662066
1067,1067,31.2589,121.5777,6093.914052354604,5842.660922025115,11936.57497437972,17,34,143488.44433073208
433,433,31.1189,121.2577,1145.8616270957168,771.7614336826998,1917.6230607784169,18,154,28547.38942398723
1232,1232,31.2989,121.5077,28611.78471984878,23097.02702025316,51708.81174010194,19,53,277772.5844174041
714,714,31.1789,121.4877,9862.613859998137,8874.11453915658,18736.72839915472,20,61,201940.89899073323
925,925,31.2289,121.4477,50334.489443767874,45926.43712681829,96260.92657058616,21,13,622409.4660710576
973,973,31.2389,121.4977,38733.6691079883,39198.90752079244,77932.57662878075,22,18,380297.8646228128
1002,1002,31.2489,121.3577,4507.920320786154,4240.646453993011,8748.566774779165,23,71,93452.6921448919
854,854,31.2089,121.5977,5463.451102637332,4836.313611787778,10299.76471442511,24,50,89628.19912456792
790,790,31.1989,121.3877,19215.06591883597,18709.499379150475,37924.56529798645,25,22,372660.7535789286
834,834,31.2089,121.3977,37179.114922635374,30904.89478249669,68084.00970513206,26,12,341663.28991540184
1187,1187,31.2889,121.4877,15840.70620487548,16008.171127444357,31848.87733231984,27,21,308448.3447463992
971,971,31.2389,121.4777,45532.22320003942,38282.86880443677,83815.0920044762,28,16,524970.3085703548
1412,1412,31.3389,121.5877,1766.6167529204015,10418.531313034351,12185.148065954754,29,101,62776.60338413028
