idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand,cluster_label,cluster_n_cells,cluster_total_demand
490,490,31.1289,121.3977,13877.51899664308,9506.37272307593,23383.89171971901,0,92,235470.71075774977
925,925,31.2289,121.4477,62638.64957586373,57972.51760419614,120611.16718005989,1,11,741171.5949724223
1146,1146,31.2789,121.5077,19640.10585188592,16664.90595570791,36305.01180759383,2,19,318529.11232784676
873,873,31.2189,121.3577,18332.52771441252,13565.555533140026,31898.083247552546,3,36,366356.87810371566
1232,1232,31.2989,121.5077,34167.80667883218,27066.18910195954,61233.99578079172,4,19,395671.46317285585
714,714,31.1789,121.4877,13377.881308829104,11417.479859042644,24795.361167871743,5,55,268692.99854826997
1094,1094,31.2689,121.4177,7886.027260667214,8438.011118524746,16324.03837919196,6,40,259772.2040861807
834,834,31.2089,121.3977,42004.3089550526,34876.52222863888,76880.83118369148,7,23,598212.4985550053
854,854,31.2089,121.5977,7286.389237843972,6897.668642700961,14184.057880544931,8,55,150535.4751339321
738,738,31.1889,121.2977,3962.3912713072655,6138.757594659878,10101.148865967143,9,100,86420.28566843801
702,702,31.1789,121.3677,14843.122887264068,14011.09142919873,28854.2143164628,10,40,311595.94958989753
1478,1478,31.3589,121.3877,2266.17171345568,18556.12285657107,20822.294570026752,11,82,125202.98264236382
1067,1067,31.2589,121.5777,8868.71622197564,7930.655154161747,16799.371376137387,12,46,236202.09810321976
795,795,31.1989,121.4377,37998.71969796997,33924.3384766405,71923.05817461047,13,20,597808.3663831193
1014,1014,31.2489,121.4777,24931.365779306816,24625.95103125261,49557.31681055942,14,16,486663.77070209815
1412,1412,31.3389,121.5877,2134.463848341136,10964.601524487,13099.065372828138,15,102,83583.58328226767
622,622,31.158900000000003,121.4277,12116.698943850912,20478.464663817325,32595.16360766824,16,42,419972.445867839
464,464,31.1189,121.5677,3496.209180568364,3856.820551458885,7353.029732027248,17,156,88431.55295275807
928,928,31.2289,121.4777,51712.99748555303,50450.225906508414,102163.22339206144,18,15,827508.6099506994
1269,1269,31.3089,121.4477,11914.91843702479,10628.688692312828,22543.60712933761,19,26,333137.42077309097
967,967,31.2389,121.4377,31052.351984427,29218.44213552961,60270.79411995661,20,17,568209.8480987747
1213,1213,31.2989,121.3177,4072.225390056768,2800.914222923301,6873.139612980069,21,178,53909.55635048666
850,850,31.2089,121.5577,15622.49208910194,13992.29718520448,29614.789274306426,22,32,316194.0084089899
200,200,31.0589,121.5077,1340.797966546833,1085.581976984387,2426.3799435312203,23,125,43316.6245550868
783,783,31.1989,121.3177,56858.7864234374,94233.35837300832,151092.14479644573,24,38,347720.96891756536
433,433,31.1189,121.2577,1732.3664814097326,983.637354335846,2716.0038357455787,25,142,33866.64141748186
1276,1276,31.3089,121.5177,15737.550892497644,14576.554458127112,30314.105350624755,26,49,333066.46819993743
1399,1399,31.3389,121.4577,13696.33665199858,10268.122110603448,23964.45876260203,27,67,192536.40927296143
1011,1011,31.2489,121.4477,51735.13114067538,51756.05241640801,103491.1835570834,28,15,544905.1132765644
973,973,31.2389,121.4977,42745.94087957654,43200.19838373885,85946.13926331539,29,18,511177.4019160723
