avg_lat,avg_lon,Grid ID,Avg_House_Price,Traffic Congestion,Avg_Temp,Avg_Wind_km_h,Avg_Humidity_%,Avg_Visibility_km,Avg_Cloud_%,Avg_Shortwave_W_m2,Area Type,Demand,Dist_km,Total_demand,noise,cluster_label
31.2189,121.2677,864,40344.0,"[1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5.25, 6.13, 11.49, 17.14, 20.63, 24.09, 30.53, 31.02, 27.45, 19.58, 14.59, 6.42]","[5.88, 6.86, 7.47, 7.06, 7.84, 6.14, 7.94, 6.11, 7.03, 6.07, 6.36, 4.55]","[73.63, 80.05, 71.46, 76.42, 70.36, 82.87, 75.62, 73.0, 79.56, 79.05, 72.06, 66.94]","[7.25, 7.79, 9.04, 10.71, 17.97, 11.81, 20.46, 18.41, 16.49, 13.21, 15.47, 9.79]","[13.74, 28.14, 19.35, 41.42, 29.54, 48.29, 34.11, 7.85, 13.3, 25.16, 12.41, 10.71]","[122.25, 124.22, 182.71, 183.86, 239.74, 187.64, 237.37, 245.36, 193.37, 132.12, 122.19, 113.76]",0.0,"[8.5, 4.38, 2.38, 3.75, 1.12, 0.38, 0.38, 2.25, 1.38, 0.75, 1.0, 3.12, 3.25, 6.25, 8.25, 7.62, 12.25, 18.88, 17.5, 16.62, 11.12, 11.12, 8.88, 15.38, 10.38, 13.38, 13.75, 13.38, 16.12, 11.62, 14.75, 10.12, 13.25, 11.5, 15.25, 13.75, 12.0, 12.0, 10.38, 10.88, 10.62, 9.38, 11.12, 8.25, 10.0, 9.75, 9.5, 10.12]",19.1005868146874,21161.0,0.5356575238825851,0
31.3089,121.4377,1268,47919.25,"[1, 1, 2, 3, 4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[5.52, 6.29, 11.6, 17.21, 21.15, 24.58, 30.98, 31.4, 27.73, 19.6, 14.57, 6.65]","[7.16, 8.73, 8.01, 7.39, 8.01, 6.56, 9.31, 6.48, 8.35, 7.16, 7.03, 5.93]","[70.72, 77.07, 69.2, 74.04, 66.41, 78.96, 71.5, 69.48, 77.12, 79.35, 72.66, 66.06]","[8.9, 10.55, 9.11, 9.51, 16.34, 11.49, 19.18, 18.28, 17.12, 11.59, 11.88, 8.8]","[14.14, 27.55, 19.65, 41.58, 29.03, 48.42, 35.38, 7.39, 14.34, 25.35, 12.63, 11.35]","[120.9, 123.85, 181.29, 184.67, 240.71, 186.86, 236.09, 246.98, 190.53, 133.61, 121.81, 112.92]",6.0,"[2997.62, 3619.38, 4398.5, 4617.75, 5738.5, 5731.38, 6868.0, 6512.62, 7201.12, 6476.0, 6951.88, 5564.5, 5022.0, 3658.88, 3699.75, 2972.75, 3072.25, 2205.38, 2403.5, 1670.5, 1745.25, 1287.75, 1614.12, 1370.38, 1618.5, 1332.25, 1623.38, 1226.12, 1359.75, 1132.0, 1318.0, 1450.5, 1398.5, 1154.62, 1363.0, 1161.12, 1379.88, 1114.5, 1384.12, 1237.38, 1627.12, 1467.38, 1828.75, 1630.25, 1933.0, 1980.12, 2352.25, 2316.5]",8.80612265892241,528609.0,0.6325206198099179,1
31.1089,121.5177,416,-1.0,"[1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.1, 6.72, 11.93, 17.37, 21.05, 24.41, 30.96, 31.7, 27.98, 20.38, 15.4, 7.39]","[6.0, 6.48, 5.93, 5.22, 5.68, 4.53, 6.85, 5.02, 5.27, 4.85, 4.9, 4.02]","[68.76, 76.83, 68.56, 74.55, 67.37, 80.09, 72.02, 68.74, 77.25, 75.88, 68.89, 62.92]","[7.63, 8.12, 9.33, 11.08, 18.58, 13.53, 21.55, 20.76, 18.74, 14.78, 15.62, 11.0]","[12.98, 26.32, 18.71, 41.48, 29.21, 49.5, 34.89, 6.81, 13.88, 26.7, 12.43, 11.23]","[124.56, 126.36, 186.56, 180.0, 242.14, 185.46, 241.65, 251.66, 194.37, 136.88, 124.74, 114.84]",9.0,"[20.12, 28.25, 27.0, 17.25, 24.12, 26.12, 23.0, 24.5, 23.62, 6.88, 10.12, 17.88, 25.88, 16.12, 21.0, 47.25, 48.88, 60.5, 51.62, 30.38, 24.75, 30.5, 27.0, 22.62, 34.88, 26.25, 20.25, 13.88, 16.0, 23.12, 18.0, 17.38, 22.25, 22.5, 26.25, 27.38, 35.25, 32.0, 24.0, 27.62, 56.0, 58.0, 43.0, 43.38, 31.5, 39.12, 17.5, 27.75]",14.698340345500664,11801.0,0.6368822511329251,2
31.3189,121.3177,1299,55072.16666666666,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5.52, 6.29, 11.6, 17.21, 21.15, 24.58, 30.98, 31.4, 27.73, 19.6, 14.57, 6.65]","[7.16, 8.73, 8.01, 7.39, 8.01, 6.56, 9.31, 6.48, 8.35, 7.16, 7.03, 5.93]","[70.72, 77.07, 69.2, 74.04, 66.41, 78.96, 71.5, 69.48, 77.12, 79.35, 72.66, 66.06]","[8.9, 10.55, 9.11, 9.51, 16.34, 11.49, 19.18, 18.28, 17.12, 11.59, 11.88, 8.8]","[14.14, 27.55, 19.65, 41.58, 29.03, 48.42, 35.38, 7.39, 14.34, 25.35, 12.63, 11.35]","[120.9, 123.85, 181.29, 184.67, 240.71, 186.86, 236.09, 246.98, 190.53, 133.61, 121.81, 112.92]",2.0,"[8.12, 7.75, 3.62, 4.62, 5.0, 0.0, 3.0, 1.0, 0.38, 6.25, 0.62, 2.0, 16.75, 18.62, 22.0, 10.62, 21.75, 17.75, 23.12, 30.12, 24.0, 10.38, 13.5, 10.38, 5.75, 4.88, 9.25, 6.62, 14.12, 6.12, 12.25, 16.5, 14.38, 19.75, 14.75, 9.38, 17.88, 11.88, 14.75, 19.25, 14.25, 18.12, 19.62, 19.5, 16.12, 9.5, 7.5, 6.12]",17.10575716444081,31651.0,0.4250972484487462,3
31.3889,121.5277,1621,-1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5.53, 6.49, 11.32, 16.78, 20.87, 24.43, 31.3, 31.4, 27.84, 20.27, 15.18, 7.18]","[7.81, 9.42, 8.47, 7.84, 8.69, 7.08, 10.53, 7.5, 9.63, 8.74, 8.44, 6.87]","[72.38, 79.14, 72.19, 79.07, 70.79, 84.64, 73.76, 73.36, 82.2, 79.51, 71.75, 64.72]","[7.51, 8.81, 9.1, 12.04, 19.44, 17.31, 23.87, 26.53, 24.64, 16.89, 16.3, 12.65]","[14.01, 27.53, 18.43, 41.12, 28.93, 48.28, 35.25, 6.8, 13.69, 26.08, 12.17, 11.18]","[123.77, 125.94, 185.02, 189.54, 246.3, 191.61, 240.9, 253.73, 194.67, 136.44, 124.44, 115.61]",1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.13979148902812,53968.6,0.61068070084818,4
31.3389,121.4077,1394,39044.25,"[1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5.52, 6.29, 11.6, 17.21, 21.15, 24.58, 30.98, 31.4, 27.73, 19.6, 14.57, 6.65]","[7.16, 8.73, 8.01, 7.39, 8.01, 6.56, 9.31, 6.48, 8.35, 7.16, 7.03, 5.93]","[70.72, 77.07, 69.2, 74.04, 66.41, 78.96, 71.5, 69.48, 77.12, 79.35, 72.66, 66.06]","[8.9, 10.55, 9.11, 9.51, 16.34, 11.49, 19.18, 18.28, 17.12, 11.59, 11.88, 8.8]","[14.14, 27.55, 19.65, 41.58, 29.03, 48.42, 35.38, 7.39, 14.34, 25.35, 12.63, 11.35]","[120.9, 123.85, 181.29, 184.67, 240.71, 186.86, 236.09, 246.98, 190.53, 133.61, 121.81, 112.92]",9.0,"[502.0, 495.0, 619.88, 679.62, 910.0, 967.62, 1046.12, 945.12, 1100.75, 1051.75, 966.12, 757.38, 654.75, 423.88, 426.88, 386.5, 373.12, 363.5, 366.88, 355.12, 281.12, 283.25, 285.62, 249.12, 243.38, 192.12, 191.25, 209.38, 237.0, 199.88, 189.25, 247.12, 214.38, 243.88, 251.75, 287.5, 237.62, 232.88, 265.75, 278.25, 356.25, 346.88, 370.38, 457.62, 442.0, 533.12, 497.62, 521.5]",12.987421044933404,94571.0,0.2996188370846068,5
31.1189,121.5677,464,45422.6,"[1, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]","[6.02, 6.8, 11.56, 16.77, 20.5, 24.26, 30.68, 31.07, 27.7, 20.4, 15.35, 7.53]","[5.28, 5.55, 5.62, 4.79, 5.73, 4.6, 5.73, 4.84, 5.17, 3.7, 3.87, 3.34]","[69.23, 77.38, 69.38, 78.02, 71.58, 81.15, 73.06, 72.0, 78.52, 76.6, 69.94, 64.15]","[9.1, 9.26, 10.22, 11.56, 19.19, 14.49, 21.41, 19.99, 18.96, 15.94, 17.42, 13.26]","[13.11, 26.39, 19.16, 41.07, 28.67, 48.97, 35.72, 5.99, 13.58, 27.29, 12.43, 10.86]","[124.35, 126.37, 186.28, 184.67, 244.57, 190.84, 242.01, 254.39, 196.58, 135.87, 124.48, 115.19]",13.0,"[247.75, 268.25, 286.62, 234.62, 265.12, 240.75, 282.0, 287.62, 283.25, 278.12, 290.0, 252.88, 242.25, 290.12, 307.0, 312.75, 298.25, 280.12, 205.62, 166.75, 134.38, 132.5, 131.38, 150.88, 134.5, 146.62, 128.88, 127.62, 173.88, 160.12, 159.12, 146.12, 165.5, 148.62, 168.38, 173.88, 211.0, 184.0, 199.0, 175.62, 208.12, 212.38, 212.75, 246.12, 244.62, 253.88, 230.25, 235.75]",15.941471086707471,56730.0,0.5544442383623579,6
31.0789,121.6277,298,-1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.02, 6.8, 11.56, 16.77, 20.5, 24.26, 30.68, 31.07, 27.7, 20.4, 15.35, 7.53]","[5.28, 5.55, 5.62, 4.79, 5.73, 4.6, 5.73, 4.84, 5.17, 3.7, 3.87, 3.34]","[69.23, 77.38, 69.38, 78.02, 71.58, 81.15, 73.06, 72.0, 78.52, 76.6, 69.94, 64.15]","[9.1, 9.26, 10.22, 11.56, 19.19, 14.49, 21.41, 19.99, 18.96, 15.94, 17.42, 13.26]","[13.11, 26.39, 19.16, 41.07, 28.67, 48.97, 35.72, 5.99, 13.58, 27.29, 12.43, 10.86]","[124.35, 126.37, 186.28, 184.67, 244.57, 190.84, 242.01, 254.39, 196.58, 135.87, 124.48, 115.19]",1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",22.998836855522715,37552.0,0.393572382134605,7
31.3589,121.2177,1461,-1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5.53, 6.49, 11.32, 16.78, 20.87, 24.43, 31.3, 31.4, 27.84, 20.27, 15.18, 7.18]","[7.81, 9.42, 8.47, 7.84, 8.69, 7.08, 10.53, 7.5, 9.63, 8.74, 8.44, 6.87]","[72.38, 79.14, 72.19, 79.07, 70.79, 84.64, 73.76, 73.36, 82.2, 79.51, 71.75, 64.72]","[7.51, 8.81, 9.1, 12.04, 19.44, 17.31, 23.87, 26.53, 24.64, 16.89, 16.3, 12.65]","[14.01, 27.53, 18.43, 41.12, 28.93, 48.28, 35.25, 6.8, 13.69, 26.08, 12.17, 11.18]","[123.77, 125.94, 185.02, 189.54, 246.3, 191.61, 240.9, 253.73, 194.67, 136.44, 124.44, 115.61]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.75, 0.0, 0.0, 0.0]",27.524128906986707,13930.666666666668,0.5972969759274267,8
31.1689,121.5177,674,67321.0,"[1, 3, 3, 4, 3, 4, 4, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.7, 7.01, 12.25, 17.43, 21.38, 24.59, 31.17, 31.78, 28.15, 20.7, 15.73, 8.06]","[4.47, 3.34, 3.8, 3.61, 4.29, 5.0, 2.65, 2.03, 1.72, 1.17, 1.44, 0.96]","[66.06, 75.91, 67.26, 74.41, 65.83, 79.12, 70.75, 67.92, 76.16, 74.18, 67.03, 58.8]","[9.37, 8.95, 10.2, 10.94, 18.03, 13.58, 21.72, 20.71, 18.56, 15.48, 17.15, 13.27]","[13.54, 27.13, 19.0, 41.61, 28.84, 48.86, 35.38, 6.5, 13.12, 26.82, 12.38, 10.99]","[126.7, 127.73, 188.31, 187.91, 248.26, 193.91, 243.61, 256.64, 200.48, 136.35, 126.08, 117.25]",6.0,"[190.75, 211.25, 218.12, 219.0, 226.38, 209.0, 198.88, 199.38, 209.5, 203.25, 180.12, 168.0, 161.88, 197.88, 197.62, 171.5, 268.62, 302.62, 321.25, 378.5, 326.12, 323.75, 291.88, 203.12, 246.38, 237.62, 231.0, 233.38, 256.25, 219.62, 257.25, 244.0, 277.25, 235.25, 342.5, 336.62, 277.5, 214.5, 305.75, 251.62, 257.38, 258.88, 287.12, 228.88, 278.88, 230.12, 221.5, 209.12]",8.65592428921852,264866.0,0.3791883455851457,9
