idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand
0,0,31.0189,121.2277,607,875,1482
1,1,31.0189,121.2377,427,421,848
2,2,31.0189,121.2477,392,432,824
3,3,31.0189,121.2577,364,318,682
4,4,31.0189,121.2677,121,116,237
5,5,31.0189,121.2777,82,157,239
6,6,31.0189,121.2877,41,76,117
7,7,31.0189,121.2977,157,207,364
8,8,31.0189,121.3077,349,509,858
9,9,31.0189,121.3177,53,75,128
10,10,31.0189,121.3277,19,12,31
11,11,31.0189,121.3377,25,19,44
12,12,31.0189,121.3477,22,55,77
13,13,31.0189,121.3577,19,29,48
14,14,31.0189,121.3677,123,112,235
15,15,31.0189,121.3777,119,96,215
16,16,31.0189,121.3877,394,437,831
17,17,31.0189,121.3977,842,973,1815
18,18,31.0189,121.4077,930,1103,2033
19,19,31.0189,121.4177,1151,2105,3256
20,20,31.0189,121.4277,1454,1650,3104
21,21,31.0189,121.4377,760,591,1351
22,22,31.0189,121.4477,969,810,1779
23,23,31.0189,121.4577,210,229,439
24,24,31.0189,121.4677,15,28,43
25,25,31.0189,121.4777,0,15,15
26,26,31.0189,121.4877,0,8,8
27,27,31.0189,121.4977,7,23,30
28,28,31.0189,121.5077,116,59,175
29,29,31.0189,121.5177,9,38,47
30,30,31.0189,121.5277,249,361,610
31,31,31.0189,121.5377,13,48,61
32,32,31.0189,121.5477,7,22,29
33,33,31.0189,121.5577,11,14,25
34,34,31.0189,121.5677,25,30,55
35,35,31.0189,121.5777,10,26,36
36,36,31.0189,121.5877,19,36,55
37,37,31.0189,121.5977,22,55,77
38,38,31.0189,121.6077,21,43,64
39,39,31.0189,121.6177,3,9,12
40,40,31.0189,121.6277,13,23,36
41,41,31.0189,121.6377,113,119,232
42,42,31.0289,121.2177,195,389,584
43,43,31.0289,121.2277,691,964,1655
44,44,31.0289,121.2377,99,204,303
45,45,31.0289,121.2477,74,140,214
46,46,31.0289,121.2577,140,224,364
47,47,31.0289,121.2677,169,168,337
48,48,31.0289,121.2777,205,178,383
49,49,31.0289,121.2877,345,492,837
50,50,31.0289,121.2977,153,206,359
51,51,31.0289,121.3077,41,60,101
52,52,31.0289,121.3177,15,52,67
53,53,31.0289,121.3277,0,0,0
54,54,31.0289,121.3377,0,4,4
55,55,31.0289,121.3477,14,17,31
56,56,31.0289,121.3577,79,82,161
57,57,31.0289,121.3677,205,286,491
58,58,31.0289,121.3777,66,93,159
59,59,31.0289,121.3877,641,888,1529
60,60,31.0289,121.3977,140,218,358
61,61,31.0289,121.4077,825,808,1633
62,62,31.0289,121.4177,1200,1098,2298
63,63,31.0289,121.4277,521,745,1266
64,64,31.0289,121.4377,262,371,633
65,65,31.0289,121.4477,901,686,1587
66,66,31.0289,121.4577,289,442,731
67,67,31.0289,121.4677,48,87,135
68,68,31.0289,121.4777,0,9,9
69,69,31.0289,121.4877,2,5,7
70,70,31.0289,121.4977,50,144,194
71,71,31.0289,121.5077,186,340,526
72,72,31.0289,121.5177,143,248,391
73,73,31.0289,121.5277,186,241,427
74,74,31.0289,121.5377,22,44,66
