hour_of_day,day_type,predicted_speed_kmh,n_bins_used,predicted_speed_kmh_calibrated,calibration_delta
0,offday,21.723992792765294,15,21.72876,0.0047669728597057315
0,workday,21.698580503463745,40,21.727663,0.029082536697387695
1,offday,22.030773980276926,14,22.070318,0.0395442417689722
1,workday,21.97532768249512,40,22.005411,0.030083465576169033
2,offday,22.466347013201037,14,22.473015,0.006667818341931309
2,workday,22.360329818725585,40,22.473015,0.11268501281738352
3,offday,23.4278347832816,14,23.52494,0.09710570744105596
3,workday,23.167491149902343,40,22.696102,-0.47138900756835866
4,offday,24.09331090109689,14,23.91407,-0.1792407717023572
4,workday,25.638195705413818,40,25.59384,-0.04435606002807546
5,offday,26.611785888671875,14,27.547367,0.9355812072753906
5,workday,29.08460640907288,40,29.212847,0.12824034690856578
6,offday,24.981555938720703,14,25.443756,0.4622001647949219
6,workday,22.892237615585326,40,22.487251,-0.4049863338470452
7,offday,21.88334233420236,14,21.833797,-0.04954487936837637
7,workday,14.8791512966156,40,14.674834,-0.20431704521179128
8,offday,19.87892259870257,14,19.929914,0.050991875784735186
8,workday,14.186797738075256,40,14.427508,0.24071061611175537
9,offday,18.094117982046946,14,17.96935,-0.12476716722760983
9,workday,16.11031301021576,40,15.963783,-0.14652974605560232
10,offday,17.18102809361049,14,17.134525,-0.046502794538223924
10,workday,16.74143056869507,40,16.835987,0.09455652236938406
11,offday,17.300126756940568,14,17.134525,-0.16560145786830205
11,workday,17.368930912017824,40,17.170956,-0.1979752540588393
12,offday,17.53548785618373,14,17.388863,-0.1466252463204505
12,workday,17.556037521362306,40,17.388863,-0.16717491149902486
13,offday,16.771368639809744,14,16.835987,0.06461845125470944
13,workday,16.20487599372864,40,15.963783,-0.24109272956848216
14,offday,16.141354901450022,14,15.963783,-0.1775716372898657
14,workday,15.3530526638031,40,15.308706,-0.04434638023376358
15,offday,15.96217679977417,14,15.963783,0.0016064643859863281
15,workday,15.288990330696103,40,15.134197,-0.1547930955886816
16,offday,16.385029588426864,14,16.18267,-0.20235899516514522
16,workday,14.72816207408905,40,14.620897,-0.10726478099823034
17,offday,16.466258117130824,14,16.19796,-0.26829821722848024
17,workday,13.770226311683654,40,14.177842,0.40761582851409983
18,offday,17.141751970563615,14,17.134525,-0.007226671491348924
18,workday,14.337080764770509,40,14.481194,0.14411277770996023
19,offday,17.954388890947616,14,17.96935,0.014961923871720018
19,workday,16.9906329870224,40,16.855867,-0.1347656011581435
20,offday,18.092213903154647,14,17.96935,-0.12286308833531123
20,workday,18.109354734420776,40,17.96935,-0.14000391960144043
21,offday,18.635631561279297,14,18.784935,0.14930343627929688
21,workday,19.17678284645081,40,19.200617,0.023833990097042346
22,offday,20.09931836809431,14,20.041847,-0.0574711390904028
22,workday,20.87981839179993,40,20.615154,-0.2646641254425077
23,offday,21.49630177815755,15,21.316954,-0.17934811909993442
23,workday,22.11592569351196,40,22.1243,0.008374309539796343
