idx,d_mean,c_mean,Grid ID,real_origin_demand,real_dest_demand,real_total_demand,Avg_House_Price,Dist_km
972,2269.2283,1.0,972,67481,67574,135055,83179.30434782608,1.9688959469202525
1015,1843.1234,1.0,1015,41791,40179,81970,72773.65625,2.514818633105921
974,2004.0366,1.0833334,974,53768,58714,112482,-1.0,3.832446330459354
969,1681.4266,1.0,969,52107,48702,100809,81271.20689655172,1.1040718708296
1101,1458.5684,1.0,1101,38075,36816,74891,63571.57894736842,4.317226317375342
973,1193.1412,1.0416666,973,93465,93945,187410,88771.11111111111,2.894505223714332
795,1612.0055,1.125,795,87081,77746,164827,95646.75757575755,4.84006500850382
968,1623.4326,1.0833334,968,55284,51669,106953,78835.21428571429,1.9871754471908936
1011,1493.1979,1.125,1011,110079,109810,219889,74351.21739130435,2.5291540304385216
931,792.8908,1.0,931,42822,38914,81736,148142.16666666666,3.835869757901983
