idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand,cluster_label,cluster_n_cells,cluster_total_demand
172,172,31.0589,121.2277,3118,2507,5625,0,107,72527.0
925,925,31.2289,121.4477,133854,123796,257650,1,15,2042747.0
1232,1232,31.2989,121.5077,75548,59338,134886,2,54,984229.0
873,873,31.2189,121.3577,40681,30144,70825,3,30,778668.0
856,856,31.2089,121.6177,20679,20673,41352,4,50,363794.0
973,973,31.2389,121.4977,93465,93945,187410,5,18,1227904.0
1140,1140,31.2789,121.4477,52003,43662,95665,6,25,931696.0
794,794,31.1989,121.4277,60877,56658,117535,7,24,1177093.0
464,464,31.1189,121.5677,9438,10088,19526,8,152,232629.0
834,834,31.2089,121.3977,92329,76623,168952,9,18,1320131.0
402,402,31.1089,121.3777,18648,23004,41652,10,96,408174.0
1478,1478,31.3589,121.3877,5585,49860,55445,11,83,333613.0
928,928,31.2289,121.4777,111617,108479,220096,12,15,1372659.0
702,702,31.1789,121.3677,34086,32122,66208,13,32,1052011.0
1004,1004,31.2489,121.3777,27396,26084,53480,14,45,664187.0
1399,1399,31.3389,121.4577,32216,25154,57370,15,69,807046.0
1058,1058,31.2589,121.4877,44003,43355,87358,16,16,904661.0
525,525,31.1389,121.3177,11251,8873,20124,17,92,238211.0
850,850,31.2089,121.5577,37123,32657,69780,18,34,749861.0
1213,1213,31.2989,121.3177,11823,7477,19300,19,179,143411.0
200,200,31.0589,121.5077,4887,3620,8507,20,120,121122.0
1105,1105,31.2689,121.5277,26014,25786,51800,21,22,564327.0
579,579,31.1489,121.4277,36052,26775,62827,22,41,813792.0
1011,1011,31.2489,121.4477,110079,109810,219889,23,17,1868588.0
783,783,31.1989,121.3177,118795,193633,312428,24,83,880256.0
714,714,31.1789,121.4877,32888,27260,60148,25,57,711014.0
1412,1412,31.3389,121.5877,5607,23240,28847,26,101,198518.0
967,967,31.2389,121.4377,66458,62370,128828,27,17,1158902.0
1067,1067,31.2589,121.5777,22498,19431,41929,28,45,559122.0
1187,1187,31.2889,121.4877,40239,40524,80763,29,19,832691.0
