idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand,cluster_label,cluster_n_cells,cluster_total_demand
925,925,31.2289,121.4477,46610.0,39571.0,86181.0,0,15,438530.0
1105,1105,31.2689,121.5277,8749.0,9447.0,18196.0,1,27,188585.0
702,702,31.1789,121.3677,12864.0,11399.0,24263.0,2,28,257690.0
1397,1397,31.3389,121.4377,14723.0,4961.0,19684.0,3,31,188322.0
1067,1067,31.2589,121.5777,5065.0,5804.0,10869.0,4,48,150281.0
1176,1176,31.2889,121.3777,3061.0,1945.0,5006.0,5,78,65054.0
464,464,31.1189,121.5677,2670.0,3328.0,5998.0,6,128,61701.0
795,795,31.1989,121.4377,25289.0,20973.0,46262.0,7,20,297349.0
1058,1058,31.2589,121.4877,16306.0,16094.0,32400.0,8,18,242699.0
783,783,31.1989,121.3177,87645.0,147595.0,235240.0,9,106,510374.0
656,656,31.1689,121.3377,3179.0,4011.0,7190.0,10,62,80971.0
1140,1140,31.2789,121.4477,16731.0,15408.0,32139.0,11,31,230841.0
928,928,31.2289,121.4777,41170.0,39494.0,80664.0,12,16,464340.0
854,854,31.2089,121.5977,3983.0,2977.0,6960.0,13,50,79316.0
403,403,31.1089,121.3877,5452.0,7230.0,12682.0,14,64,156124.0
1550,1550,31.3789,121.2477,715.0,512.0,1227.0,15,129,21207.0
285,285,31.0789,121.4977,657.0,1757.0,2414.0,16,109,27086.0
1412,1412,31.3389,121.5877,1926.0,20166.0,22092.0,17,107,80922.0
172,172,31.0589,121.2277,318.0,883.0,1201.0,18,133,23758.0
1232,1232,31.2989,121.5077,19508.0,17834.0,37342.0,19,47,244116.0
714,714,31.1789,121.4877,9455.0,9815.0,19270.0,20,48,172661.0
834,834,31.2089,121.3977,35739.0,28315.0,64054.0,21,18,325358.0
973,973,31.2389,121.4977,36293.0,34479.0,70772.0,22,19,292649.0
1436,1436,31.3489,121.3977,15693.0,6331.0,22024.0,23,80,101147.0
850,850,31.2089,121.5577,14453.0,13235.0,27688.0,24,36,179129.0
1011,1011,31.2489,121.4477,47026.0,44514.0,91540.0,25,16,365520.0
20,20,31.0189,121.4277,684.0,976.0,1660.0,26,82,30257.0
1569,1569,31.3789,121.4377,21472.0,811.0,22283.0,27,56,61570.0
873,873,31.2189,121.3577,13940.0,10511.0,24451.0,28,32,245724.0
622,622,31.158900000000003,121.4277,9470.0,17221.0,26691.0,29,42,210291.0
