date,day_of_week,is_holiday,is_weekend,day_type,temp_max_c,temp_min_c,precip_mm,windspeed_max_kmh,humidity_pct,has_real_trip_data
2015-04-01,Wednesday,False,False,workday,21.5,15.2,0.0,20.0,92,True
2015-04-02,Thursday,False,False,workday,27.4,16.6,5.4,24.3,82,True
2015-04-03,Friday,False,False,workday,18.9,11.9,21.3,16.4,85,True
2015-04-04,Saturday,False,True,weekend,23.6,13.1,0.0,19.6,85,True
2015-04-05,Sunday,True,False,holiday,15.9,11.6,1.1,21.1,87,True
2015-04-06,Monday,True,False,holiday,12.5,9.4,12.0,25.1,84,True
2015-04-07,Tuesday,False,False,workday,9.2,5.4,8.5,24.0,77,True
2015-04-08,Wednesday,False,False,workday,11.6,5.2,0.0,20.4,64,True
2015-04-09,Thursday,False,False,workday,13.7,3.6,0.0,11.1,75,True
2015-04-10,Friday,False,False,workday,15.6,8.8,0.0,13.8,78,True
2015-04-11,Saturday,False,True,weekend,16.4,5.6,0.0,13.7,76,True
2015-04-12,Sunday,False,True,weekend,17.6,9.5,0.1,13.0,77,True
2015-04-13,Monday,False,False,workday,14.2,7.5,0.4,30.9,70,True
2015-04-14,Tuesday,False,False,workday,16.0,6.8,1.3,34.4,70,True
2015-04-15,Wednesday,False,False,workday,20.6,9.1,0.0,17.5,66,True
2015-04-16,Thursday,False,False,workday,23.5,10.9,0.8,22.7,68,True
2015-04-17,Friday,False,False,workday,17.7,10.3,0.0,26.6,69,True
2015-04-18,Saturday,False,True,weekend,25.9,15.9,0.0,20.5,81,False
2015-04-19,Sunday,False,True,weekend,25.6,14.2,3.9,20.2,85,True
2015-04-20,Monday,False,False,workday,16.6,11.1,2.4,24.1,73,True
2015-04-21,Tuesday,False,False,workday,18.0,8.0,0.0,11.3,68,True
2015-04-22,Wednesday,False,False,workday,21.9,7.5,0.0,10.5,73,True
2015-04-23,Thursday,False,False,workday,22.1,11.5,0.0,16.2,58,True
2015-04-24,Friday,False,False,workday,19.8,12.8,0.0,12.9,71,True
2015-04-25,Saturday,False,True,weekend,24.3,10.8,0.0,10.6,76,True
2015-04-26,Sunday,False,True,weekend,23.6,13.6,0.0,19.8,61,True
2015-04-27,Monday,False,False,workday,22.1,14.7,0.2,24.9,78,True
2015-04-28,Tuesday,False,False,workday,28.5,17.0,0.2,18.9,76,True
2015-04-29,Wednesday,False,False,workday,21.6,15.3,0.0,21.6,79,True
2015-04-30,Thursday,False,False,workday,24.9,13.9,0.0,15.6,77,True
