time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service,unmet_fleet_insufficient,unmet_away_flying,unmet_insufficient_battery,unmet_rounding_jitter,mean_age_at_service_bins,max_backlog_age_bins,backlog_over_threshold,mean_age_at_service_operational_bins
0,1558,339.56376682866517,1897.5637668286652,0.0,339.5637668286665,0,73899.33152437801,73899.33152437801,1558,0.0,0.0,0.0,339.5637668286665,0.0,1,0.0,0.0
1,1851,386.12753365733215,1897.5637668286652,339.5637668286665,386.12753365733266,12,87340.37477011114,161239.70629448915,1982,12.457075154080108,0.0,0.0,373.6704585032524,0.14314175280116614,2,0.0,0.0
2,1189,377.5946771084855,1180.467143451152,386.12753365733266,377.5946771084831,25,68927.35755762448,230167.0638521136,1373,0.0,0.0,0.0,377.5946771084831,0.2186450047329645,3,0.0,0.007737703314713103
3,1163,395.06182055963586,1180.467143451152,377.5946771084831,395.0618205596346,14,68098.05930891345,298265.1231610271,1294,14.753083754483296,0.0,0.0,380.30873680515117,0.22519783189652162,4,0.0,0.0
4,626,387.6166686974834,618.5548481378488,395.0618205596346,387.6166686974821,38,54505.98681027681,352771.1099713039,780,0.0,0.0,0.0,387.6166686974821,0.3730854505090938,5,0.0,0.015408244187739293
5,607,399.171516835331,618.5548481378488,387.6166686974821,399.17151683533103,0,53343.97406231379,406115.0840336177,672,0.0,0.0,0.0,399.17151683533103,0.3798803737941855,6,0.0,0.0
6,328,402.58039564503895,331.4088788097068,399.17151683533103,402.58039564503804,63,47494.35018193942,453609.4342155571,455,0.0,0.0,0.0,402.58039564503804,0.5353363175090818,7,0.0,0.0
7,342,391.9892744547459,331.4088788097068,402.58039564503804,391.98927445474504,75,49334.523314821796,502943.95753037895,479,0.0,0.0,0.0,391.98927445474504,0.606445101117279,8,0.0,0.0
8,297,393.8979808376554,298.9087063829103,391.98927445474504,393.89798083765504,7,46798.01637321103,549741.97390359,367,0.0,0.0,0.0,393.89798083765504,0.8662616439410009,9,0.0,0.0
9,304,388.80668722056544,298.9087063829103,393.89798083765504,388.8066872205648,51,47935.9236967825,597677.8976003726,407,0.0,0.0,0.0,388.8066872205648,0.7262895131832985,10,0.0,0.0
10,815,385.7473084667906,811.9406212462277,388.8066872205648,385.74730846679086,255,69491.4302620861,667169.3278624587,1120,3.2159273288213823,0.0,0.0,382.53138113796945,0.6527589287792379,11,24.837515862670806,0.0
11,797,400.68792971301673,811.9406212462277,385.74730846679086,400.68792971301696,322,70041.85515253998,737211.1830149987,1133,1.2947143824325413,0.0,0.0,399.39321533058444,0.49151959606391105,12,48.243906130379074,0.0010598713892589673
12,1840,434.96074704065404,1874.2728173276355,400.68792971301696,434.96074704065205,173,96819.76230349788,834030.9453184966,2030,30.226161710031807,0.0,0.0,404.7345853306202,0.3958016670270338,13,42.60299313986567,0.00012064332372772535
13,1890,419.2335643682886,1874.2728173276355,434.96074704065205,419.2335643682876,500,111020.22677200563,945051.1720905022,2486,0.0,0.0,0.0,419.2335643682876,0.29414209951661163,14,40.48804693738071,0.00949906657331616
14,2657,436.044314436685,2673.8107500683996,419.2335643682876,436.0443144366824,597,147331.5795478677,1092382.7516383699,3355,27.443099162425295,0.0,0.0,408.60121527425713,0.24290376276074804,15,28.82941538995216,0.0
15,2676,433.85506450508,2673.8107500683996,436.0443144366824,433.85506450507853,393,134924.85614809868,1227307.6077864685,3850,0.0,0.0,0.0,433.85506450507853,0.2086181240041896,16,21.133307592827652,0.006727940150439986
16,3026,426.94473250467763,3019.0896679996004,433.85506450507853,426.944732504677,405,146073.4282832658,1373381.0360697343,4230,0.0,0.0,0.0,426.944732504677,0.17408822909125832,17,13.623461125156046,0.0
17,3010,436.03440050427616,3019.0896679996004,426.944732504677,436.03440050427645,234,140893.24323545038,1514274.2793051847,4293,0.0,0.0,0.0,436.03440050427645,0.15599691389111275,18,9.303646286783797,0.0
18,3491,436.2752154499067,3491.2408149456323,436.03440050427645,436.2752154499028,208,145446.23094090924,1659720.5102460939,4751,0.0,0.0,0.0,436.2752154499028,0.12102994412196998,19,7.242667397563199,0.0
19,3480,447.51603039553356,3491.2408149456323,436.2752154499028,447.5160303955284,310,148576.8549552247,1808297.3652013186,4463,0.0,0.0,0.0,447.5160303955284,0.12327947843607252,20,6.332018519389746,0.0
20,3430,443.3303417548318,3425.8143113593055,447.5160303955284,443.3303417548387,151,136478.42093485192,1944775.7861361706,4242,0.0,0.0,0.0,443.3303417548387,0.12268710781358724,21,5.6310404961830685,0.0
21,3438,431.14465311414233,3425.8143113593055,443.3303417548387,431.144653114148,130,135514.526273914,2080290.3124100845,4104,0.0,0.0,0.0,431.144653114148,0.12731364727415942,22,4.851396662679362,0.0
22,3277,436.45482434497126,3282.310171230824,431.144653114148,436.4548243449685,372,131812.66442416335,2212102.976834248,4191,0.0,0.0,0.0,436.4548243449685,0.13227974827690803,23,4.803863702445028,0.0
23,3291,427.7649955757911,3282.310171230824,436.4548243449685,427.7649955757886,111,126629.8200978987,2338732.7969321464,3871,0.0,0.0,0.0,427.7649955757886,0.13392335567036923,24,4.4504173132441025,0.0
24,3328,442.56044737216007,3342.7954517963713,427.7649955757886,442.56044737216024,119,131233.42665132316,2469966.2235834696,3915,14.320662091999514,0.0,0.0,428.2397852801608,0.13985866479934725,25,4.220387858441352,0.0
25,3343,442.3558991685318,3342.7954517963713,442.56044737216024,442.35589916853155,124,130826.86911082204,2600793.092694292,3933,0.0,0.0,0.0,442.35589916853155,0.12576787385214694,26,5.6326450836963335,0.0029609688761357334
26,3720,428.9119710966588,3706.5560719281266,442.35589916853155,428.9119710966604,119,140110.3468350873,2740903.439529379,4300,2.2362006792798113,0.0,0.0,426.6757704173807,0.1229866812934756,27,5.412219328588488,0.0
27,3689,446.4680430247872,3706.5560719281266,428.9119710966604,446.46804302478904,127,137662.20529605082,2878565.6448254297,4440,3.304177502749713,0.0,0.0,443.1638655220394,0.11173456340118464,28,6.6073002565353525,0.00014542316396327012
28,3705,429.43480274679223,3687.9667597220046,446.46804302478904,429.4348027467913,75,140458.2408239059,3019023.8856493356,4400,0.0,0.0,0.0,429.4348027467913,0.1250181423646874,29,6.751227386406701,0.000401133918379891
29,3671,446.4015624687945,3687.9667597220046,429.4348027467913,446.4015624687928,4,138259.1377920941,3157283.0234414297,4470,4.06682931963776,1.7727218405767586,0.0,440.56201130857824,0.11559672323575276,30,7.7157018468498215,0.0
30,3533,470.27743405617366,3556.8758715873805,446.4015624687928,470.2774340561693,32,133959.40635863942,3291242.429800069,4349,3.7007674542428277,28.327131307661595,0.0,438.24953529426483,0.1228252457945249,31,7.043681657832171,0.0007239302648103976
31,3540,487.1533056435501,3556.8758715873805,470.2774340561693,487.1533056435442,78,136414.3963424139,3427656.826142483,4417,46.7957499195288,34.459150716162455,0.0,405.89840500785306,0.13096839829461132,32,6.541855788469068,0.005451924324130559
32,3411,464.74393381207483,3388.59062816853,487.1533056435442,464.74393381207227,27,133766.93936763267,3561423.765510116,4273,10.479821410925615,19.03504264612112,0.0,435.2290697550255,0.1503748706404049,33,5.527341926732897,0.017003006939952433
