t,D_t,W_t,R_t,delta_D_pct,delta_W_pct,w_residual_min,delta_R_pp,w_input_next
1,3725013.6713272585,1.2782305121929967,0.9568396281314159,,inf,1.2782305121929967,,0.25564610243859937
2,3687027.50464475,1.2330717638391893,0.9569601893304078,-1.0197591212859487,382.335444224246,0.9774256614005898,0.012056119899195306,0.45113123471871736
3,3658254.7202344695,1.1761541229837775,0.9600033839094704,-0.7803788925912267,160.71219026036087,0.7250228882650602,0.3043194579062547,0.5961358123717294
4,3637066.7718171636,1.123018472765017,0.9614607135800411,-0.5791818787278963,88.38299083175059,0.5268826603932876,0.14573296705707728,0.7015123444503869
5,3621752.450370201,1.1911098243656077,0.9591511063851575,-0.42106242221424106,69.7917126887917,0.48959747991522085,-0.23096071948836006,0.7994318404334311
6,3607584.9205165324,1.2041384280233631,0.9578656551033816,-0.39117885741253194,50.624276782684895,0.40470658758993205,-0.1285451281775929,0.8803731579514175
7,3595919.913502344,1.151220883923796,0.9596651926176314,-0.32334670620915723,30.76510494738699,0.2708477259723786,0.17995375142497716,0.9345427031458932
8,3588136.5043799495,1.16407425874579,0.959330930352046,-0.2164511254315877,24.560841877769622,0.2295315555998968,-0.03342622655854166,0.9804490142658725
9,3581555.085702322,1.1462622383820196,0.9602502141313409,-0.18342163598273922,16.911968057849748,0.16581322411614707,0.09192837792949549,1.013611659089102
10,3576809.07061236,1.0784619637074733,0.9625323395839153,-0.13251269284977366,6.397943831531102,0.06485030461837127,0.2282125452574335,1.0265817200127763
11,3574954.7993620094,1.180799242799051,0.9590473280324464,-0.05184149373768347,15.022430243970783,0.15421752278627476,-0.3485011551468853,1.0574252245700313
12,3570549.5751938364,1.1488301565784749,0.9596618329625369,-0.12322461164989272,8.644103609842531,0.09140493200844357,0.06145049300905203,1.07570621097172
13,3567941.474371411,1.1715085958696498,0.9593934463886113,-0.07304480073726073,8.90599904702498,0.09580238489792992,-0.026838657392558307,1.0948666879513058
14,3565210.202493185,1.1305821445522675,0.9604173582203788,-0.0765503553756278,3.262082680384746,0.03571545660096165,0.10239118317674212,1.1020097792714982
15,3564192.5786161986,1.152670488190047,0.9596186849522416,-0.02854316629843944,4.597119723568949,0.05066070891854868,-0.07986732681372066,1.112141921055208
16,3562749.6891728723,1.1463405162854183,0.9599348170073315,-0.04048292597832857,3.0750207849158806,0.034198595230210405,0.03161320550899571,1.11898164010125
17,3561776.0374519695,1.1338163948854374,0.9601446528373061,-0.027328659205607158,1.3257371035010976,0.014834754784187387,0.02098358299745806,1.1219485910580875
18,3561353.7778565874,1.1666167998660855,0.959926310598403,-0.01185531013017046,3.981306199232554,0.04466820880799793,-0.02183422389030465,1.130882232819687
