t,D_t,W_t,R_t,delta_D_pct,delta_W_pct,w_residual_min,delta_R_pp,w_input_next
1,3725013.6713272585,1.0679097225229521,0.9654348849791167,,inf,1.0679097225229521,,0.21358194450459045
2,3693249.9408187196,1.0538259651559712,0.9649745055864234,-0.8527144679504269,393.40592323960306,0.8402440206513807,-0.046037939269327754,0.38163074863486657
3,3668456.89013147,1.0145382299356276,0.9663230734681761,-0.6713071436956045,165.84289488327076,0.632907481300761,0.1348567881752749,0.5082122448950188
4,3649898.3028558735,1.0776199023407451,0.9632538976180077,-0.5058962891323833,112.04131013477424,0.5694076574457263,-0.3069175850168415,0.6220937763841641
5,3633287.797016097,1.0141650674670948,0.9657636063471225,-0.4550950317377147,63.024467687458966,0.3920712910829307,0.25097087291148235,0.7005080346007502
6,3621898.074585418,0.9528223105278883,0.9679726995984728,-0.31348252786451514,36.018755455237994,0.2523142759271382,0.22090932513502137,0.7509708897861778
7,3614588.9087960133,1.0073302331134895,0.966144547909955,-0.20180484483240269,34.13705468667425,0.2563593433273117,-0.18281516885177984,0.8022427584516401
8,3607179.1208038535,0.9761515459361202,0.9671250186133813,-0.20499670029220468,21.677825776842276,0.17390878748448013,0.09804707034263282,0.8370245159485361
9,3602161.993369976,0.9690761356076554,0.9670870955744987,-0.13908728305012422,15.776314449938807,0.13205161965911927,-0.0037923038882614613,0.86343483988036
10,3598357.556931322,0.966849107536485,0.9662799583704269,-0.10561536226456243,11.977078394294864,0.10341426765612505,-0.08071372040717728,0.884117693411585
11,3595381.27329959,1.0101123017232563,0.9655443916664932,-0.08271228149628158,14.250886420504742,0.1259946083116713,-0.073556670393371,0.9093166150739193
12,3591758.8109533237,0.9818847720425138,0.9658637648436872,-0.10075321839071734,7.980515891342796,0.07256815696859453,0.03193731771939934,0.9238302464676381
13,3589674.248744265,1.0576861468804726,0.96391311348014,-0.05803736605869894,14.48923121153984,0.13385590041283446,-0.19506513635472178,0.950601426550205
14,3585832.6916415114,0.997959159176959,0.9652922004670734,-0.10701687218826691,4.981870561526333,0.04735773262675402,0.13790869869334532,0.9600729730755557
15,3584474.659969723,0.944475677560934,0.9676013322745924,-0.03787214263939537,-1.6245947914413659,-0.015597295514621745,0.2309131807519016,0.9569535139726314
16,3584921.8650887553,0.9557628032051899,0.9674978927792107,0.012476169075113232,-0.12442723184101678,-0.001190710767441483,-0.01034394953817186,0.9567153718191431
17,3584956.007663945,1.0356696323922305,0.9639483320552473,0.0009523938449657565,8.252638443862368,0.07895426057308741,-0.35495607239633964,0.9725062239337606
18,3582692.8497977694,0.9477675058251509,0.9678093469620196,-0.06312930650578576,-2.5438107746542022,-0.024738718108609725,0.38610149067722643,0.9675584803120387
19,3583401.7928494564,0.9993471339910425,0.9659233142311775,0.019787994154368927,3.285450370788116,0.03178865367900374,-0.1886032730842091,0.9739162110478394
20,3582490.8468782427,0.967683477579985,0.9665370484090453,-0.025421262361131403,-0.6399660871389182,-0.006232733467854468,0.06137341778678085,0.9726696643542685
21,3582669.4337246995,0.9482153520138066,0.9679284658737902,0.004984991004582254,-2.514143623127851,-0.024454312340461914,0.1391417464744915,0.9677788018861762
22,3583370.2204907546,1.059344479078079,0.9632980908958957,0.019560464034396596,9.46142620746019,0.0915656771919029,-0.4630374977894536,0.9860919373245567
23,3580747.011192168,0.9666953431318734,0.9668944388648802,-0.0732050873109956,-1.9670168123785363,-0.019396594192683247,0.3596347968984559,0.98221261848602
24,3581302.513201275,0.9958756698355902,0.9661894015566524,0.015513578797119544,1.3910482407190334,0.013663051349570132,-0.07050373082277961,0.984945228755934
25,3580911.204966654,1.0288256405100187,0.9644289892786719,-0.010926422249402622,4.455111865408918,0.043880411754084636,-0.17604122779805165,0.993721311106751
26,3579654.798306779,1.0143290962812,0.9653915970485591,-0.035086227721381466,2.073799257811745,0.020607785174448945,0.09626077698872137,0.9978428681416408
27,3579064.9157425687,0.9784510403204799,0.9666708333580682,-0.016478755562948547,-1.9433748980213463,-0.01939182782116089,0.1279236309509102,0.9939645025774086
28,3579619.989409234,0.9726501710612533,0.9669727821668913,0.015508901898474595,-2.144375524567129,-0.02131433151615536,0.03019488088230604,0.9897016362741776
29,3580230.204146182,0.9365302896898924,0.9680382390817792,0.017046913883419307,-5.372462228561493,-0.05317134658428524,0.10654569148879078,0.9790673669573206
30,3581752.970602771,1.0578114913793304,0.9637276201343403,0.04253264091301046,8.042768769500052,0.07874412442200984,-0.43106189474388934,0.9948161918417225
31,3579498.086950633,0.9457952782887122,0.9674054718470201,-0.06295475066663013,-4.927635271221002,-0.049020913553010304,0.36778517126797583,0.9850120091311205
32,3580901.6426533586,0.9633178280317488,0.9672874305585052,0.03921096390139746,-2.2024280819183266,-0.021694181099371712,-0.011804128851489182,0.9806731729112462
33,3581522.9819814786,1.0167913278886784,0.9647595414057778,0.017351477089429353,3.682996127059448,0.036118154977432204,-0.25278891527273917,0.9878968039067326
34,3580488.594791364,0.9367036227599168,0.9683107459372005,-0.028881210460429095,-5.182037328632654,-0.051193181146815814,0.3551204531422658,0.9776581676773695
35,3581954.81419053,1.0161379864139932,0.9650755074902402,0.040950260288476925,3.93591748208278,0.03847981873662376,-0.3235238446960276,0.9853541314246942
36,3580852.6544492366,1.0053197929196316,0.9655158576228152,-0.030769783497191075,2.026242226849918,0.019965661494937392,0.04403501325750403,0.9893472637236816
37,3580280.9366039922,1.004228795582556,0.9655477462064164,-0.015965969572469544,1.5041767844855156,0.014881531858874308,0.0031888583601147324,0.9923235700954565
