idx,d_mean,c_mean,Grid ID,real_origin_demand,real_dest_demand,real_total_demand
1446,6019.9478,1.0416666,1446,3249,4117,7366
1364,4970.912,1.0,1364,19707,17784,37491
1400,16882.572,1.0416666,1400,8986,9433,18419
1399,8904.88,1.125,1399,32216,25154,57370
1481,13993.661,1.125,1481,4267,3476,7743
1398,4970.0366,1.125,1398,22055,22820,44875
1480,3493.4531,1.0,1480,13644,13465,27109
975,2941.4543,1.0,975,38660,33835,72495
1357,3187.1301,1.125,1357,9887,9638,19525
1317,2445.9275,1.0,1317,1988,3326,5314
972,2269.2283,1.0,972,67481,67574,135055
1570,2427.733,1.0833334,1570,452,418,870
1320,2277.7808,1.0,1320,20634,20402,41036
1321,2105.2751,1.0416666,1321,15629,19021,34650
879,2548.1462,1.1666666,879,56687,51684,108371
1059,2559.3604,1.1666666,1059,37698,36485,74183
1060,2076.9287,1.0,1060,40118,35577,75695
1445,1573.7817,1.0,1445,8436,8867,17303
1007,2030.1246,1.0416666,1007,21354,22341,43695
922,1905.2084,1.0,922,22863,25447,48310
1015,1843.1234,1.0,1015,41791,40179,81970
1314,1864.7129,1.0416666,1314,13479,12265,25744
974,2004.0366,1.0833334,974,53768,58714,112482
930,1738.9108,1.0,930,22641,21857,44498
1433,1465.2764,1.0416666,1433,7690,6711,14401
1322,2669.4475,1.1666666,1322,211,403,614
1105,2000.0062,1.0,1105,26014,25786,51800
1016,1900.0065,1.0,1016,16266,16567,32833
1279,1736.6295,1.0,1279,2600,4581,7181
874,1757.98,1.0416666,874,31119,25732,56851
1233,2331.5671,1.125,1233,37257,30307,67564
1061,1731.6188,1.0,1061,21066,21640,42706
1442,1453.505,1.0,1442,604,678,1282
1192,2434.052,1.1666666,1192,22924,22924,45848
843,2328.089,1.0833334,843,27343,27238,54581
1102,2140.5725,1.0833334,1102,25340,28393,53733
969,1681.4266,1.0,969,52107,48702,100809
1407,1293.9237,1.0,1407,687,2201,2888
1010,2332.4326,1.1666666,1010,61724,55209,116933
887,1685.9733,1.0,887,30508,31608,62116
1107,1615.875,1.0416666,1107,7838,11229,19067
1104,2067.323,1.0833334,1104,19274,21994,41268
1234,1478.3334,1.0833334,1234,20284,18866,39150
1054,2259.6301,1.1666666,1054,51415,55083,106498
1057,1708.0146,1.0416666,1057,39121,37435,76556
891,1560.0045,1.0833334,891,18968,17925,36893
1101,1458.5684,1.0,1101,38075,36816,74891
1441,1624.234,1.125,1441,2325,3010,5335
1193,1847.4904,1.0833334,1193,12340,13883,26223
934,1718.1299,1.125,934,15116,15708,30824
1146,1439.2174,1.0833334,1146,45160,38134,83294
1278,1712.4795,1.0833334,1278,18952,18242,37194
973,1193.1412,1.0416666,973,93465,93945,187410
1103,1237.8438,1.0,1103,26078,28475,54553
1025,1306.5563,1.0,1025,14685,14730,29415
1049,1871.1304,1.125,1049,14329,14992,29321
1476,896.04126,1.0,1476,22341,2760,25101
998,965.61914,1.0,998,1577,2750,4327
964,1262.87,1.0416666,964,32575,30535,63110
501,1100.755,1.0,501,1116,2511,3627
1138,1294.3129,1.0833334,1138,21536,21102,42638
1358,1664.7129,1.125,1358,1982,3759,5741
629,1166.6462,1.0833334,629,12588,14387,26975
1524,888.8913,1.0,1524,857,1378,2235
1569,832.35376,1.0416666,1569,27368,3822,31190
1310,904.7858,1.0,1310,14222,13318,27540
454,964.73,1.0,454,19,141,160
880,1540.275,1.0833334,880,61172,58544,119716
920,841.6154,1.0,920,9690,9595,19285
795,1612.0055,1.125,795,87081,77746,164827
968,1623.4326,1.0833334,968,55284,51669,106953
976,1428.4418,1.0833334,976,17857,18130,35987
877,958.6159,1.0416666,877,30506,28294,58800
1190,1479.2754,1.125,1190,30487,33445,63932
794,1565.8633,1.0833334,794,60877,56658,117535
1520,728.465,1.0,1520,98,179,277
338,407.93164,1.0,338,177,287,464
1236,1477.3071,1.0833334,1236,972,2341,3313
851,788.5988,1.0416666,851,623,1057,1680
878,1489.8226,1.0833334,878,61256,57226,118482
295,406.2596,1.0416666,295,221,467,688
1619,543.86,1.0416666,1619,5,47,52
844,1767.6466,1.0833334,844,20021,23622,43643
1011,1493.1979,1.125,1011,110079,109810,219889
1519,606.3283,1.0416666,1519,18058,2162,20220
1053,1672.4941,1.1666666,1053,26671,29098,55769
834,1488.8442,1.1666666,834,92329,76623,168952
762,925.20294,1.0,762,6544,7895,14439
592,449.51,1.0,592,5312,4283,9595
1050,964.14545,1.0,1050,3611,5315,8926
1664,613.4842,1.0,1664,0,0,0
1663,613.4842,1.0,1663,0,0,0
984,399.41666,1.0,984,637,725,1362
502,623.9888,1.0,502,1567,2320,3887
1052,1023.9012,1.0833334,1052,19108,22976,42084
764,975.3133,1.0416666,764,7409,8718,16127
1062,1068.587,1.0,1062,19687,23072,42759
1131,502.35498,1.0416666,1131,5459,4572,10031
1170,414.6925,1.0416666,1170,1690,2090,3780
892,711.34796,1.0416666,892,4519,5692,10211
1662,613.4842,1.0833334,1662,0,2,2
1189,692.3708,1.0,1189,24502,22990,47492
673,895.865,1.0416666,673,3010,4930,7940
888,1262.297,1.0833334,888,12580,13033,25613
1394,603.79584,1.0833334,1394,127,703,830
1531,614.5517,1.0833334,1531,4033,3804,7837
1393,526.15546,1.0,1393,2474,2178,4652
1155,738.7492,1.0,1155,9590,10235,19825
1263,409.8129,1.0416666,1263,5671,7409,13080
492,645.42206,1.0,492,30055,25083,55138
1024,905.38007,1.0,1024,13802,16081,29883
1022,710.3225,1.0,1022,17048,17357,34405
803,1395.7188,1.0833334,803,13235,14026,27261
823,953.625,1.0833334,823,6833,5291,12124
678,517.77045,1.0416666,678,3552,3443,6995
1063,928.04706,1.0,1063,8629,9470,18099
1064,894.4075,1.0,1064,6512,5764,12276
1094,964.11993,1.0,1094,19658,20696,40354
1147,1330.3604,1.0833334,1147,36973,39018,75991
1108,580.22955,1.0,1108,1262,1081,2343
850,685.70215,1.0416666,850,37123,32657,69780
1605,776.7542,1.0833334,1605,33,105,138
1363,765.0192,1.0416666,1363,21531,31290,52821
699,1127.2596,1.1666666,699,7712,6935,14647
658,1289.5834,1.125,658,5253,5027,10280
977,642.6242,1.0416666,977,18064,18256,36320
636,630.17206,1.0833334,636,8518,9133,17651
1142,1181.3434,1.125,1142,20844,20199,41043
575,483.47543,1.0416666,575,4994,7121,12115
630,672.6413,1.0416666,630,5573,6749,12322
1051,406.9425,1.0,1051,19009,21413,40422
931,792.8908,1.0,931,42822,38914,81736
921,597.54047,1.0416666,921,27874,31318,59192
1280,908.0696,1.125,1280,103,203,306
1477,1095.3075,1.1666666,1477,1681,1909,3590
839,1377.0355,1.125,839,48571,50863,99434
1017,595.9283,1.0,1017,8161,7555,15716
742,853.0004,1.125,742,55,169,224
831,1008.2917,1.0833334,831,32775,28711,61486
832,956.8129,1.125,832,23324,23524,46848
1411,652.0258,1.0833334,1411,2668,2890,5558
1618,837.06757,1.0833334,1618,1094,2156,3250
1139,1206.145,1.1666666,1139,19154,16140,35294
1264,1030.817,1.0833334,1264,7212,6048,13260
963,1150.8962,1.0833334,963,25629,27626,53255
458,948.6929,1.0833334,458,244,350,594
1532,926.86005,1.125,1532,34,62,96
1353,818.75,1.0833334,1353,10556,10417,20973
662,719.45795,1.125,662,35093,26337,61430
810,526.4937,1.0833334,810,6967,6522,13489
1047,1106.4121,1.1666666,1047,18410,18150,36560
871,686.0988,1.0833334,871,1020,1199,2219
204,553.42706,1.1666666,204,0,10,10
232,413.3583,1.125,232,2966,4259,7225
1235,847.8017,1.0833334,1235,16605,19818,36423
935,833.8908,1.125,935,29870,28630,58500
1271,904.7392,1.125,1271,18599,17577,36176
936,761.8908,1.1666666,936,31560,28906,60466
978,703.6821,1.0833334,978,13038,14533,27571
703,819.8129,1.125,703,23450,25476,48926
1660,536.6879,1.1666666,1660,3461,3233,6694
852,594.2125,1.125,852,6534,5709,12243
704,681.83954,1.0833334,704,32518,32529,65047
615,704.1242,1.125,615,7865,7550,15415
1306,702.3696,1.1666666,1306,3196,2810,6006
937,723.2142,1.125,937,5445,6824,12269
1151,826.9279,1.1666666,1151,2462,4190,6652
591,454.8296,1.0833334,591,1914,1893,3807
1412,473.1971,1.125,1412,5607,23240,28847
452,575.5783,1.125,452,6161,6925,13086
782,589.34955,1.125,782,1655,2428,4083
1156,663.4017,1.1666666,1156,6535,6367,12902
923,788.9108,1.125,923,57356,54780,112136
1319,819.35956,1.125,1319,22188,21455,43643
765,441.78043,1.125,765,1585,2457,4042
960,650.8271,1.1666666,960,18732,16781,35513
668,750.3638,1.125,668,1737,1970,3707
1140,402.21875,1.125,1140,52003,43662,95665
530,585.8212,1.1666666,530,6622,5398,12020
590,630.6296,1.1666666,590,3831,4938,8769
589,780.49493,1.1666666,589,6928,7318,14246
1185,478.5996,1.125,1185,27113,27413,54526
546,882.8704,1.1666666,546,1158,2745,3903
1315,1089.3534,1.1666666,1315,14733,15826,30559
1004,1031.4904,1.1666666,1004,27396,26084,53480
1448,600.12,1.1666666,1448,169,257,426
1528,482.5775,1.1666666,1528,282,451,733
