idx,Grid ID,avg_lat,avg_lon,real_total_demand,cluster_label,is_selected_site
0,0,31.0189,121.2277,1911,0,False
1,1,31.0189,121.2377,1082,0,False
2,2,31.0189,121.2477,1095,0,False
3,3,31.0189,121.2577,845,0,False
4,4,31.0189,121.2677,285,0,False
5,5,31.0189,121.2777,287,0,False
6,6,31.0189,121.2877,143,0,False
7,7,31.0189,121.2977,442,0,False
8,8,31.0189,121.3077,1086,0,False
9,9,31.0189,121.3177,168,0,False
10,10,31.0189,121.3277,37,0,False
11,11,31.0189,121.3377,52,10,False
12,12,31.0189,121.3477,94,10,False
13,13,31.0189,121.3577,58,10,False
14,14,31.0189,121.3677,285,10,False
15,15,31.0189,121.3777,269,10,False
16,16,31.0189,121.3877,1051,10,False
17,17,31.0189,121.3977,2318,20,False
18,18,31.0189,121.4077,2616,20,False
19,19,31.0189,121.4177,4111,20,False
20,20,31.0189,121.4277,3913,20,False
21,21,31.0189,121.4377,1624,20,False
22,22,31.0189,121.4477,2159,20,False
23,23,31.0189,121.4577,551,20,False
24,24,31.0189,121.4677,53,20,False
25,25,31.0189,121.4777,15,20,False
26,26,31.0189,121.4877,8,20,False
27,27,31.0189,121.4977,39,20,False
28,28,31.0189,121.5077,204,20,False
29,29,31.0189,121.5177,61,20,False
30,30,31.0189,121.5277,800,20,False
31,31,31.0189,121.5377,72,20,False
32,32,31.0189,121.5477,36,20,False
33,33,31.0189,121.5577,33,20,False
34,34,31.0189,121.5677,65,20,False
35,35,31.0189,121.5777,47,8,False
36,36,31.0189,121.5877,74,8,False
37,37,31.0189,121.5977,100,8,False
38,38,31.0189,121.6077,66,8,False
39,39,31.0189,121.6177,13,8,False
40,40,31.0189,121.6277,40,8,False
41,41,31.0189,121.6377,286,8,False
42,42,31.0289,121.2177,748,0,False
43,43,31.0289,121.2277,2089,0,False
44,44,31.0289,121.2377,394,0,False
45,45,31.0289,121.2477,260,0,False
46,46,31.0289,121.2577,460,0,False
47,47,31.0289,121.2677,411,0,False
48,48,31.0289,121.2777,492,0,False
49,49,31.0289,121.2877,1016,0,False
50,50,31.0289,121.2977,437,0,False
51,51,31.0289,121.3077,125,0,False
52,52,31.0289,121.3177,85,0,False
53,53,31.0289,121.3277,0,0,False
54,54,31.0289,121.3377,5,10,False
55,55,31.0289,121.3477,44,10,False
56,56,31.0289,121.3577,214,10,False
