idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand
0,0,31.0189,121.2277,790,1121,1911
1,1,31.0189,121.2377,540,542,1082
2,2,31.0189,121.2477,516,579,1095
3,3,31.0189,121.2577,453,392,845
4,4,31.0189,121.2677,149,136,285
5,5,31.0189,121.2777,102,185,287
6,6,31.0189,121.2877,49,94,143
7,7,31.0189,121.2977,187,255,442
8,8,31.0189,121.3077,462,624,1086
9,9,31.0189,121.3177,66,102,168
10,10,31.0189,121.3277,23,14,37
11,11,31.0189,121.3377,30,22,52
12,12,31.0189,121.3477,28,66,94
13,13,31.0189,121.3577,23,35,58
14,14,31.0189,121.3677,154,131,285
15,15,31.0189,121.3777,145,124,269
16,16,31.0189,121.3877,498,553,1051
17,17,31.0189,121.3977,1063,1255,2318
18,18,31.0189,121.4077,1199,1417,2616
19,19,31.0189,121.4177,1484,2627,4111
20,20,31.0189,121.4277,1846,2067,3913
21,21,31.0189,121.4377,912,712,1624
22,22,31.0189,121.4477,1164,995,2159
23,23,31.0189,121.4577,263,288,551
24,24,31.0189,121.4677,18,35,53
25,25,31.0189,121.4777,0,15,15
26,26,31.0189,121.4877,0,8,8
27,27,31.0189,121.4977,8,31,39
28,28,31.0189,121.5077,136,68,204
29,29,31.0189,121.5177,13,48,61
30,30,31.0189,121.5277,337,463,800
31,31,31.0189,121.5377,16,56,72
32,32,31.0189,121.5477,8,28,36
33,33,31.0189,121.5577,12,21,33
34,34,31.0189,121.5677,31,34,65
35,35,31.0189,121.5777,12,35,47
36,36,31.0189,121.5877,29,45,74
37,37,31.0189,121.5977,29,71,100
38,38,31.0189,121.6077,22,44,66
39,39,31.0189,121.6177,3,10,13
40,40,31.0189,121.6277,15,25,40
41,41,31.0189,121.6377,142,144,286
42,42,31.0289,121.2177,259,489,748
43,43,31.0289,121.2277,877,1212,2089
44,44,31.0289,121.2377,126,268,394
45,45,31.0289,121.2477,90,170,260
46,46,31.0289,121.2577,179,281,460
47,47,31.0289,121.2677,209,202,411
48,48,31.0289,121.2777,259,233,492
49,49,31.0289,121.2877,417,599,1016
50,50,31.0289,121.2977,183,254,437
51,51,31.0289,121.3077,51,74,125
52,52,31.0289,121.3177,22,63,85
53,53,31.0289,121.3277,0,0,0
54,54,31.0289,121.3377,0,5,5
55,55,31.0289,121.3477,24,20,44
56,56,31.0289,121.3577,104,110,214
57,57,31.0289,121.3677,275,371,646
58,58,31.0289,121.3777,85,131,216
59,59,31.0289,121.3877,822,1135,1957
60,60,31.0289,121.3977,190,284,474
61,61,31.0289,121.4077,1063,1037,2100
62,62,31.0289,121.4177,1544,1425,2969
63,63,31.0289,121.4277,663,905,1568
64,64,31.0289,121.4377,329,474,803
65,65,31.0289,121.4477,1091,809,1900
66,66,31.0289,121.4577,372,541,913
67,67,31.0289,121.4677,60,103,163
68,68,31.0289,121.4777,0,11,11
69,69,31.0289,121.4877,2,6,8
70,70,31.0289,121.4977,60,189,249
71,71,31.0289,121.5077,247,420,667
72,72,31.0289,121.5177,182,322,504
73,73,31.0289,121.5277,234,325,559
74,74,31.0289,121.5377,23,59,82
75,75,31.0289,121.5477,17,24,41
76,76,31.0289,121.5577,5,15,20
77,77,31.0289,121.5677,67,143,210
78,78,31.0289,121.5777,124,260,384
79,79,31.0289,121.5877,95,267,362
80,80,31.0289,121.5977,423,410,833
81,81,31.0289,121.6077,154,126,280
82,82,31.0289,121.6177,52,45,97
83,83,31.0289,121.6277,107,113,220
84,84,31.0289,121.6377,751,616,1367
85,85,31.0389,121.2177,1715,1961,3676
86,86,31.0389,121.2277,423,672,1095
87,87,31.0389,121.2377,218,415,633
88,88,31.0389,121.2477,95,158,253
89,89,31.0389,121.2577,94,122,216
90,90,31.0389,121.2677,163,261,424
91,91,31.0389,121.2777,415,269,684
92,92,31.0389,121.2877,96,161,257
93,93,31.0389,121.2977,32,69,101
94,94,31.0389,121.3077,118,144,262
95,95,31.0389,121.3177,37,132,169
96,96,31.0389,121.3277,25,61,86
97,97,31.0389,121.3377,3,18,21
98,98,31.0389,121.3477,27,42,69
99,99,31.0389,121.3577,56,73,129
100,100,31.0389,121.3677,91,146,237
101,101,31.0389,121.3777,194,198,392
102,102,31.0389,121.3877,86,122,208
103,103,31.0389,121.3977,241,341,582
104,104,31.0389,121.4077,782,793,1575
105,105,31.0389,121.4177,722,825,1547
106,106,31.0389,121.4277,110,383,493
107,107,31.0389,121.4377,747,553,1300
108,108,31.0389,121.4477,1142,1296,2438
109,109,31.0389,121.4577,1633,1828,3461
110,110,31.0389,121.4677,855,1147,2002
111,111,31.0389,121.4777,1,4,5
112,112,31.0389,121.4877,2,21,23
113,113,31.0389,121.4977,39,142,181
114,114,31.0389,121.5077,122,172,294
115,115,31.0389,121.5177,2,8,10
116,116,31.0389,121.5277,441,435,876
117,117,31.0389,121.5377,163,341,504
118,118,31.0389,121.5477,15,28,43
119,119,31.0389,121.5577,8,17,25
120,120,31.0389,121.5677,11,17,28
121,121,31.0389,121.5777,19,75,94
122,122,31.0389,121.5877,500,423,923
123,123,31.0389,121.5977,270,275,545
124,124,31.0389,121.6077,25,89,114
125,125,31.0389,121.6177,12,22,34
126,126,31.0389,121.6277,6,12,18
127,127,31.0389,121.6377,84,113,197
128,128,31.0489,121.2177,640,661,1301
129,129,31.0489,121.2277,318,584,902
130,130,31.0489,121.2377,83,143,226
131,131,31.0489,121.2477,68,96,164
132,132,31.0489,121.2577,26,29,55
133,133,31.0489,121.2677,28,60,88
134,134,31.0489,121.2777,87,180,267
135,135,31.0489,121.2877,224,275,499
136,136,31.0489,121.2977,217,266,483
137,137,31.0489,121.3077,164,271,435
138,138,31.0489,121.3177,67,82,149
139,139,31.0489,121.3277,15,37,52
140,140,31.0489,121.3377,5,27,32
141,141,31.0489,121.3477,33,40,73
142,142,31.0489,121.3577,50,87,137
143,143,31.0489,121.3677,316,277,593
144,144,31.0489,121.3777,926,714,1640
145,145,31.0489,121.3877,579,652,1231
146,146,31.0489,121.3977,533,746,1279
147,147,31.0489,121.4077,1789,1951,3740
148,148,31.0489,121.4177,399,565,964
149,149,31.0489,121.4277,205,217,422
150,150,31.0489,121.4377,235,168,403
151,151,31.0489,121.4477,513,735,1248
152,152,31.0489,121.4577,1067,1586,2653
153,153,31.0489,121.4677,1617,2099,3716
154,154,31.0489,121.4777,21,78,99
155,155,31.0489,121.4877,10,34,44
156,156,31.0489,121.4977,18,37,55
157,157,31.0489,121.5077,55,130,185
158,158,31.0489,121.5177,5,30,35
159,159,31.0489,121.5277,1241,1352,2593
160,160,31.0489,121.5377,572,1033,1605
161,161,31.0489,121.5477,8,24,32
162,162,31.0489,121.5577,7,16,23
163,163,31.0489,121.5677,14,12,26
164,164,31.0489,121.5777,163,246,409
165,165,31.0489,121.5877,448,333,781
166,166,31.0489,121.5977,34,60,94
167,167,31.0489,121.6077,7,29,36
168,168,31.0489,121.6177,1,10,11
169,169,31.0489,121.6277,0,0,0
170,170,31.0489,121.6377,22,70,92
171,171,31.0589,121.2177,229,388,617
172,172,31.0589,121.2277,3118,2507,5625
173,173,31.0589,121.2377,1026,889,1915
174,174,31.0589,121.2477,24,26,50
175,175,31.0589,121.2577,122,208,330
176,176,31.0589,121.2677,15,10,25
177,177,31.0589,121.2777,174,238,412
178,178,31.0589,121.2877,38,132,170
179,179,31.0589,121.2977,298,431,729
180,180,31.0589,121.3077,292,562,854
181,181,31.0589,121.3177,86,227,313
182,182,31.0589,121.3277,13,37,50
183,183,31.0589,121.3377,18,51,69
184,184,31.0589,121.3477,37,69,106
185,185,31.0589,121.3577,198,241,439
186,186,31.0589,121.3677,811,467,1278
187,187,31.0589,121.3777,136,100,236
188,188,31.0589,121.3877,1306,1817,3123
189,189,31.0589,121.3977,601,815,1416
190,190,31.0589,121.4077,941,1014,1955
191,191,31.0589,121.4177,173,288,461
192,192,31.0589,121.4277,330,230,560
193,193,31.0589,121.4377,159,532,691
194,194,31.0589,121.4477,341,411,752
195,195,31.0589,121.4577,215,303,518
196,196,31.0589,121.4677,3,2,5
197,197,31.0589,121.4777,1,9,10
198,198,31.0589,121.4877,10,55,65
199,199,31.0589,121.4977,42,126,168
200,200,31.0589,121.5077,4887,3620,8507
201,201,31.0589,121.5177,59,94,153
202,202,31.0589,121.5277,934,1201,2135
203,203,31.0589,121.5377,645,1002,1647
204,204,31.0589,121.5477,0,10,10
205,205,31.0589,121.5577,11,18,29
206,206,31.0589,121.5677,21,29,50
207,207,31.0589,121.5777,43,102,145
208,208,31.0589,121.5877,420,311,731
209,209,31.0589,121.5977,17,40,57
210,210,31.0589,121.6077,12,41,53
211,211,31.0589,121.6177,25,161,186
212,212,31.0589,121.6277,51,69,120
213,213,31.0589,121.6377,28,48,76
214,214,31.0689,121.2177,38,43,81
215,215,31.0689,121.2277,154,329,483
216,216,31.0689,121.2377,165,319,484
217,217,31.0689,121.2477,72,132,204
218,218,31.0689,121.2577,193,181,374
219,219,31.0689,121.2677,4,26,30
220,220,31.0689,121.2777,119,173,292
221,221,31.0689,121.2877,34,55,89
222,222,31.0689,121.2977,23,85,108
223,223,31.0689,121.3077,1329,1374,2703
224,224,31.0689,121.3177,330,561,891
225,225,31.0689,121.3277,103,190,293
226,226,31.0689,121.3377,49,135,184
227,227,31.0689,121.3477,447,787,1234
228,228,31.0689,121.3577,444,399,843
229,229,31.0689,121.3677,227,160,387
230,230,31.0689,121.3777,814,768,1582
231,231,31.0689,121.3877,2501,3174,5675
232,232,31.0689,121.3977,2966,4259,7225
233,233,31.0689,121.4077,490,719,1209
234,234,31.0689,121.4177,524,705,1229
235,235,31.0689,121.4277,1054,970,2024
236,236,31.0689,121.4377,192,327,519
237,237,31.0689,121.4477,14,47,61
238,238,31.0689,121.4577,280,388,668
239,239,31.0689,121.4677,2,6,8
240,240,31.0689,121.4777,2,18,20
241,241,31.0689,121.4877,130,255,385
242,242,31.0689,121.4977,273,504,777
243,243,31.0689,121.5077,413,471,884
244,244,31.0689,121.5177,854,943,1797
245,245,31.0689,121.5277,377,823,1200
246,246,31.0689,121.5377,193,380,573
247,247,31.0689,121.5477,2,22,24
248,248,31.0689,121.5577,13,38,51
249,249,31.0689,121.5677,6,11,17
250,250,31.0689,121.5777,247,181,428
251,251,31.0689,121.5877,287,260,547
252,252,31.0689,121.5977,18,44,62
253,253,31.0689,121.6077,11,14,25
254,254,31.0689,121.6177,14,23,37
255,255,31.0689,121.6277,32,25,57
256,256,31.0689,121.6377,67,78,145
257,257,31.0789,121.2177,1,1,2
258,258,31.0789,121.2277,39,27,66
259,259,31.0789,121.2377,4,24,28
260,260,31.0789,121.2477,35,113,148
261,261,31.0789,121.2577,295,306,601
262,262,31.0789,121.2677,137,270,407
263,263,31.0789,121.2777,28,147,175
264,264,31.0789,121.2877,7,10,17
265,265,31.0789,121.2977,2,7,9
266,266,31.0789,121.3077,112,198,310
267,267,31.0789,121.3177,687,702,1389
268,268,31.0789,121.3277,533,664,1197
269,269,31.0789,121.3377,1234,1379,2613
270,270,31.0789,121.3477,211,416,627
271,271,31.0789,121.3577,697,779,1476
272,272,31.0789,121.3677,1911,1378,3289
273,273,31.0789,121.3777,2093,1285,3378
274,274,31.0789,121.3877,1534,1277,2811
275,275,31.0789,121.3977,3748,3755,7503
276,276,31.0789,121.4077,992,1344,2336
277,277,31.0789,121.4177,1863,2122,3985
278,278,31.0789,121.4277,339,742,1081
279,279,31.0789,121.4377,935,985,1920
280,280,31.0789,121.4477,86,274,360
281,281,31.0789,121.4577,191,229,420
