idx,prob,score,dem_score,quiet_score,stab_score,d_mean,d_p95,d_var,c_mean,c_p95,selected,Avg_House_Price,Dist_km
1446,0.35136813,0.62334037,1.0,0.984375,0.0,6019.9478,12967.956,21999400.0,1.0416666,1.0,1,37630.625,13.088395251199657
1364,0.3416074,0.6208037,1.0,1.0,0.0,4970.912,9924.7,11197279.0,1.0,1.0,1,44557.93333333333,12.469073270097605
1400,0.33926296,0.61728776,1.0,0.984375,0.0,16882.572,29866.256,83886720.0,1.0416666,1.0,1,36617.16666666666,11.66436778717424
1399,0.34225622,0.58812284,1.0,0.77996486,0.0,8904.88,18370.008,41180910.0,1.125,2.0,1,36786.333333333336,11.70378209249199
1481,0.3415112,0.5877503,1.0,0.77996486,0.0,13993.661,30951.87,118439624.0,1.125,2.0,1,32895.5,14.68141642689967
1398,0.334645,0.5855783,1.0,0.77996486,0.025221705,4970.0366,9217.466,8149600.0,1.125,2.0,1,44589.769230769234,11.819708721084767
1480,0.35867736,0.5784113,0.80957305,1.0,0.12401396,3493.4531,7656.1104,7323650.5,1.0,1.0,1,41214.6,15.016414746174402
975,0.33515742,0.5457508,0.7220061,1.0,0.23140496,2941.4543,7358.1377,6425812.0,1.0,1.0,1,83912.76923076923,4.775458549217875
1317,0.34587657,0.52176064,0.53602695,1.0,0.7602855,2445.9275,4664.6523,2004125.0,1.0,1.0,1,43830.0,9.858842335821972
972,0.3375978,0.513472,0.5575843,1.0,0.5479568,2269.2283,5689.695,3779291.0,1.0,1.0,1,83179.30434782608,1.9688959469202525
1320,0.3351114,0.50202423,0.45917404,1.0,0.93432605,2277.7808,3440.116,549064.56,1.0,1.0,1,54749.15789473684,11.023983484146743
1321,0.344692,0.4958381,0.43412316,0.984375,0.91197795,2105.2751,3399.2979,735905.2,1.0416666,1.0,1,47216.375,11.543456039753297
1060,0.3252702,0.48302773,0.40562472,1.0,0.97410357,2076.9287,2841.6875,216506.17,1.0,1.0,1,69801.28205128205,4.696141785815928
1445,0.366195,0.48210412,0.35494524,1.0,0.8504614,1573.7817,3228.4446,1250212.0,1.0,1.0,1,35888.25,12.91548405537667
1007,0.33513528,0.48189387,0.39093003,0.984375,0.9878188,2030.1246,2652.1626,101840.9,1.0416666,1.0,1,50587.53125,5.949106464971106
922,0.33305082,0.48147172,0.39951235,1.0,0.9018514,1905.2084,3226.3875,820567.7,1.0,1.0,1,72250.8947368421,4.79717855981485
1015,0.3335202,0.48100957,0.40037113,1.0,0.8827625,1843.1234,3434.809,980160.25,1.0,1.0,1,72773.65625,2.514818633105921
1314,0.34843844,0.48051885,0.37353227,0.984375,0.93167347,1864.7129,2762.666,571241.4,1.0416666,1.0,1,45628.40909090909,9.440467095338864
974,0.3603718,0.4791344,0.49480408,0.8215638,0.5454545,2004.0366,5078.582,3800212.0,1.0833334,1.8500004,1,-1.0,3.832446330459354
930,0.3276038,0.47654304,0.39809263,1.0,0.8662671,1738.9108,3700.605,1118069.1,1.0,1.0,1,94928.375,2.898921276755815
1105,0.32654452,0.47468624,0.37203726,1.0,0.9960557,2000.0062,2316.9841,32976.12,1.0,1.0,1,69958.375,6.890788407262821
1016,0.3253219,0.4745461,0.3796528,1.0,0.959786,1900.0065,2793.505,336207.9,1.0,1.0,1,78026.86363636363,3.290204464907552
1279,0.34317836,0.47442818,0.3454158,1.0,0.98428506,1736.6295,2517.3376,131384.44,1.0,1.0,1,53233.769230769234,11.270704430615403
874,0.34253377,0.473796,0.3532466,0.984375,0.9779776,1757.98,2629.2695,184117.62,1.0416666,1.0,1,54870.833333333336,9.6650400556154
1061,0.33503383,0.47319382,0.35979062,1.0,0.9547942,1731.6188,2857.3855,377941.25,1.0,1.0,1,67027.85714285714,5.492666770166781
1442,0.36100635,0.472722,0.32811764,1.0,0.8756705,1453.505,2988.4695,1039452.5,1.0,1.0,1,-1.0,12.81230852257898
969,0.33073992,0.46726644,0.35168263,1.0,0.92783403,1681.4266,2827.0,603340.8,1.0,1.0,1,81271.20689655172,1.1040718708296
887,0.32570255,0.4622838,0.3365769,1.0,0.9691887,1685.9733,2471.85,257596.92,1.0,1.0,1,87525.29310344828,3.301847612633208
1107,0.34195653,0.4620027,0.3135371,0.984375,0.9861409,1615.875,2164.6897,115868.664,1.0416666,1.0,1,61276.07407407407,8.529304187708348
1057,0.33274004,0.4593625,0.31835845,0.984375,0.9965733,1708.0146,1993.1055,28648.467,1.0416666,1.0,1,68473.72727272728,2.9243426139295057
