idx,d_mean,c_mean,Grid ID,real_origin_demand,real_dest_demand,real_total_demand,Avg_House_Price,Dist_km
975,2941.4543,1.0,975,38660,33835,72495,83912.76923076923,4.775458549217875
972,2269.2283,1.0,972,67481,67574,135055,83179.30434782608,1.9688959469202525
1320,2277.7808,1.0,1320,20634,20402,41036,54749.15789473684,11.023983484146743
1060,2076.9287,1.0,1060,40118,35577,75695,69801.28205128205,4.696141785815928
922,1905.2084,1.0,922,22863,25447,48310,72250.8947368421,4.79717855981485
1015,1843.1234,1.0,1015,41791,40179,81970,72773.65625,2.514818633105921
974,2004.0366,1.0833334,974,53768,58714,112482,-1.0,3.832446330459354
1105,2000.0062,1.0,1105,26014,25786,51800,69958.375,6.890788407262821
1102,2140.5725,1.0833334,1102,25340,28393,53733,69294.84090909091,4.810262187344031
969,1681.4266,1.0,969,52107,48702,100809,81271.20689655172,1.1040718708296
1010,2332.4326,1.1666666,1010,61724,55209,116933,65671.89655172414,3.306645800287189
887,1685.9733,1.0,887,30508,31608,62116,87525.29310344828,3.301847612633208
1057,1708.0146,1.0416666,1057,39121,37435,76556,68473.72727272728,2.9243426139295057
1101,1458.5684,1.0,1101,38075,36816,74891,63571.57894736842,4.317226317375342
973,1193.1412,1.0416666,973,93465,93945,187410,88771.11111111111,2.894505223714332
1103,1237.8438,1.0,1103,26078,28475,54553,87095.46875,5.426426300324113
964,1262.87,1.0416666,964,32575,30535,63110,58898.38095238096,5.739963752221881
880,1540.275,1.0833334,880,61172,58544,119716,77933.2027027027,4.1662547009465065
795,1612.0055,1.125,795,87081,77746,164827,95646.75757575755,4.84006500850382
968,1623.4326,1.0833334,968,55284,51669,106953,78835.21428571429,1.9871754471908936
877,958.6159,1.0416666,877,30506,28294,58800,60596.9,6.873731149292677
794,1565.8633,1.0833334,794,60877,56658,117535,84978.53333333334,5.45660673773711
878,1489.8226,1.0833334,878,61256,57226,118482,64684.75,5.956208668184092
1011,1493.1979,1.125,1011,110079,109810,219889,74351.21739130435,2.5291540304385216
834,1488.8442,1.1666666,834,92329,76623,168952,54568.47368421053,7.226572276169041
1062,1068.587,1.0,1062,19687,23072,42759,75244.0,6.331865524589649
492,645.42206,1.0,492,30055,25083,55138,50578.9375,12.621093612852157
931,792.8908,1.0,931,42822,38914,81736,148142.16666666666,3.835869757901983
921,597.54047,1.0416666,921,27874,31318,59192,60516.28571428572,5.742418352281369
963,1150.8962,1.0833334,963,25629,27626,53255,61114.92307692308,6.687036027077119
