idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand,cluster_label,cluster_n_cells,cluster_total_demand
217,217,31.0689,121.2477,72,132,204,0,107,72527.0
882,882,31.2189,121.4477,81497,78097,159594,1,15,2042747.0
1276,1276,31.3089,121.5177,36650,33841,70491,2,54,984229.0
917,917,31.2289,121.3677,4635,5030,9665,3,30,778668.0
855,855,31.2089,121.6077,10911,9898,20809,4,50,363794.0
931,931,31.2289,121.5077,42822,38914,81736,5,18,1227904.0
1182,1182,31.2889,121.4377,17442,17978,35420,6,25,931696.0
708,708,31.1789,121.4277,31915,30878,62793,7,24,1177093.0
508,508,31.1289,121.5777,2221,2757,4978,8,152,232629.0
834,834,31.2089,121.3977,92329,76623,168952,9,18,1320131.0
359,359,31.0989,121.3777,3318,4665,7983,10,96,408174.0
1435,1435,31.3489,121.3877,3540,3250,6790,11,83,333613.0
885,885,31.2189,121.4777,49878,47135,97013,12,15,1372659.0
659,659,31.1689,121.3677,24500,20060,44560,13,32,1052011.0
1091,1091,31.2689,121.3877,15291,15235,30526,14,45,664187.0
1398,1398,31.3389,121.4477,22055,22820,44875,15,69,807046.0
1102,1102,31.2689,121.4977,25340,28393,53733,16,16,904661.0
566,566,31.1489,121.2977,2456,2636,5092,17,92,238211.0
849,849,31.2089,121.5477,35797,31226,67023,18,34,749861.0
1296,1296,31.3189,121.2877,456,341,797,19,179,143411.0
196,196,31.0589,121.4677,3,2,5,20,120,121122.0
1106,1106,31.2689,121.5377,25471,24988,50459,21,22,564327.0
535,535,31.1389,121.4177,21771,20091,41862,22,41,813792.0
1013,1013,31.2489,121.4677,31782,28766,60548,23,17,1868588.0
783,783,31.1989,121.3177,118795,193633,312428,24,83,880256.0
672,672,31.1689,121.4977,10669,13597,24266,25,57,711014.0
1370,1370,31.3289,121.5977,5948,2143,8091,26,101,198518.0
965,965,31.2389,121.4177,46946,43177,90123,27,17,1158902.0
1068,1068,31.2589,121.5877,10891,13104,23995,28,45,559122.0
1229,1229,31.2989,121.4777,23754,23441,47195,29,19,832691.0
