idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand,cluster_label,cluster_n_cells,cluster_total_demand
928,928,31.2289,121.4777,87890,86229,174119,0,16,1344205.0
834,834,31.2089,121.3977,73084,60692,133776,1,17,940601.0
1146,1146,31.2789,121.5077,35570,30091,65661,2,25,758465.0
1138,1138,31.2789,121.4277,17113,16862,33975,3,29,471353.0
932,932,31.2289,121.5177,65590,58907,124497,4,25,994981.0
490,490,31.1289,121.3977,29522,19698,49220,5,58,500168.0
925,925,31.2289,121.4477,106219,98096,204315,6,15,1405184.0
783,783,31.1989,121.3177,94986,153005,247991,7,81,667458.0
1232,1232,31.2989,121.5077,59932,46644,106576,8,46,813682.0
919,919,31.2289,121.3877,23099,21466,44565,9,42,679294.0
1067,1067,31.2589,121.5777,17727,15120,32847,10,50,499590.0
1100,1100,31.2689,121.4777,44247,38751,82998,11,20,859799.0
464,464,31.1189,121.5677,7403,7823,15226,12,177,180798.0
714,714,31.1789,121.4877,25834,21460,47294,13,56,515226.0
1213,1213,31.2989,121.3177,9402,5899,15301,14,179,114415.0
1011,1011,31.2489,121.4477,87675,86158,173833,15,17,1093075.0
665,665,31.1689,121.4277,33246,29576,62822,16,39,784826.0
841,841,31.2089,121.4677,76748,71866,148614,17,19,1311404.0
525,525,31.1389,121.3177,8839,6998,15837,18,92,174650.0
1569,1569,31.3789,121.4377,26741,2999,29740,19,59,161478.0
1412,1412,31.3389,121.5877,4588,22283,26871,20,104,165563.0
1399,1399,31.3389,121.4577,28660,21319,49979,21,30,734836.0
1478,1478,31.3589,121.3877,4278,38266,42544,22,84,263048.0
275,275,31.0789,121.3977,2945,2974,5919,23,123,118824.0
702,702,31.1789,121.3677,26826,25156,51982,24,31,610633.0
873,873,31.2189,121.3577,32246,23763,56009,25,20,474313.0
856,856,31.2089,121.6177,16475,16297,32772,26,58,328209.0
850,850,31.2089,121.5577,28736,25043,53779,27,34,423168.0
387,387,31.1089,121.2277,2275,2183,4458,28,111,59196.0
795,795,31.1989,121.4377,68768,61351,130119,29,19,1154853.0
