time_step,start,end,flow,distance
0,275,464,2,16.786299246363413
0,275,490,29,5.559746332228015
0,275,525,2,10.12518599136286
0,275,665,2,10.407002547302962
0,275,702,1,11.480288934605497
0,387,525,5,9.193524865402116
0,464,275,3,16.786299246363413
0,464,490,1,16.220217265623134
0,464,665,1,14.437065439976935
0,464,714,22,10.122771228736514
0,464,850,15,10.052673626423328
0,464,856,7,11.080793243354975
0,464,932,1,13.123888243144528
0,464,1232,1,20.81259910432051
0,490,275,59,5.559746332228015
0,490,387,1,16.335003277107127
0,490,464,1,16.220217265623134
0,490,525,16,7.695047537855519
0,490,665,65,5.285203950269229
0,490,702,24,6.249832087844286
0,490,714,3,10.210649945944734
0,490,783,1,10.886953387450893
0,490,795,5,8.664310966689927
0,490,834,4,8.89559413156451
0,490,841,2,11.112502041969076
0,490,873,1,10.706681157998364
0,490,919,2,11.160114358194622
0,490,925,2,12.094172194609843
0,490,928,2,13.474619790939986
0,490,932,1,15.936379706858247
0,490,1011,1,14.165704630519825
0,490,1100,1,17.327384898394307
0,490,1138,1,16.92152546753231
0,525,275,2,10.12518599136286
0,525,387,7,9.193524865402116
0,525,490,8,7.695047537855519
0,525,665,1,10.986128513014132
0,525,702,18,6.512937082064592
0,525,783,8,6.671695598673383
0,525,1478,2,25.351799059267154
0,665,275,5,10.407002547302962
0,665,387,1,20.170063271433968
0,665,464,2,14.437065439976935
0,665,490,62,5.285203950269229
0,665,525,4,10.986128513014132
0,665,702,18,5.815596432206299
0,665,714,13,5.815596432206299
0,665,783,1,10.982970394292815
0,665,795,45,3.468835649634453
0,665,834,9,5.284552964469467
0,665,841,7,5.853239452159795
0,665,850,1,13.141598743197903
0,665,873,2,8.674299747549712
0,665,919,5,7.680232708041959
0,665,925,5,6.937588576949019
0,665,928,4,8.193158958741073
0,665,932,2,10.853037990654071
0,665,1011,3,9.096672056123213
0,665,1067,1,17.425076211253867
0,665,1100,2,12.09338155176501
0,665,1138,3,12.231441930901395
0,665,1146,2,14.404004575188315
0,665,1232,1,16.334374285984335
0,665,1399,1,19.117034444088272
0,702,275,4,11.480288934605497
0,702,387,3,15.43059246960743
0,702,464,1,20.168168841470333
0,702,490,30,6.249832087844286
0,702,525,31,6.512937082064592
0,702,665,23,5.815596432206299
0,702,714,3,11.41600413764035
0,702,783,23,5.250413373789177
0,702,795,8,7.0201930989039925
0,702,834,49,4.389831624444016
0,702,841,3,10.079820266623036
0,702,850,1,18.37776366407494
0,702,873,19,4.548357078342699
0,702,919,7,5.876139047107636
0,702,925,6,9.423506251261468
0,702,928,4,11.847457656626572
0,702,932,2,15.311310603006913
0,702,1011,3,10.884143023519666
0,702,1067,1,21.8612627514462
0,702,1100,3,14.476051732619457
0,702,1138,3,12.497598326947594
0,702,1146,1,17.34481470525735
0,702,1213,1,14.16486062369625
0,702,1232,1,18.84696316793992
0,702,1399,1,19.741079331307574
0,702,1478,1,20.105147324397244
0,714,275,1,14.036679297276512
0,714,464,31,10.122771228736514
0,714,490,3,10.210649945944734
0,714,665,17,5.815596432206299
0,714,702,1,11.41600413764035
0,714,795,3,5.250413373789177
0,714,834,1,9.18763012440511
0,714,841,36,3.840166222914322
0,714,850,25,7.4471861231509155
0,714,856,1,12.80743720302119
0,714,919,1,11.016648488425275
0,714,925,3,6.736742718055863
0,714,928,7,5.640508575131163
0,714,932,19,6.249143829436742
0,714,1011,2,8.663428210145675
0,714,1067,3,12.344128539882757
0,714,1100,2,10.052616560945252
0,714,1138,1,12.497598326947594
0,714,1146,1,11.280932297817596
0,714,1232,1,13.478191227023236
0,714,1399,6,18.018266211078156
0,783,275,6,15.362853166146945
0,783,387,3,13.171844823155872
0,783,464,2,25.397194471986413
0,783,490,9,10.886953387450893
0,783,525,20,6.671695598673383
0,783,665,8,10.982970394292815
0,783,702,35,5.250413373789177
0,783,714,5,16.323166899192785
0,783,795,7,11.413592083107416
0,783,834,11,7.689481736045675
0,783,841,5,14.30950419551184
0,783,850,4,22.85304209922013
0,783,856,1,28.55412357877098
0,783,873,37,4.4064860569207775
0,783,919,11,7.445927625754208
0,783,925,12,12.804913262721543
0,783,928,8,15.577087902404868
0,783,932,8,19.30995564938955
0,783,1011,7,13.554200769268274
0,783,1067,3,25.606032905209577
0,783,1100,7,17.088151067057627
0,783,1138,7,13.729603915324352
0,783,1146,4,20.13541784914864
0,783,1213,8,11.11949266445603
0,783,1232,4,21.210313956402903
0,783,1399,3,20.47900955025097
0,783,1478,12,18.994191672564124
0,783,1569,1,23.03531010921908
0,795,275,3,13.875838039824568
0,795,464,2,15.236377115134356
0,795,490,11,8.664310966689927
0,795,525,2,13.223621788778155
0,795,665,53,3.468835649634453
0,795,702,11,7.0201930989039925
0,795,714,10,5.250413373789177
0,795,783,1,11.413592083107416
0,795,834,34,3.9635030205554864
0,795,841,38,3.062262486348145
0,795,850,3,11.467028604487997
0,795,873,4,7.926619804928956
0,795,919,7,5.808359750016211
0,795,925,37,3.4687529535766437
0,795,928,19,5.059421369493096
0,795,932,7,8.30706535795161
0,795,1011,9,5.640474661522764
0,795,1067,3,14.889965169313442
0,795,1100,6,8.663074856804606
0,795,1138,8,8.946255242738866
0,795,1146,4,11.109550005394322
0,795,1213,1,15.930328884281929
0,795,1232,3,12.958558433049214
0,795,1399,2,15.682913042593928
0,795,1478,1,18.41478779436412
0,834,275,2,14.455340463792524
0,834,464,1,19.020751367868925
0,834,490,9,8.89559413156451
0,834,525,3,10.886391578093734
0,834,665,16,5.284552964469467
0,834,702,66,4.389831624444016
0,834,714,4,9.18763012440511
0,834,783,4,7.689481736045675
0,834,795,41,3.9635030205554864
0,834,841,7,6.657225110531033
0,834,850,2,15.216513464969486
0,834,873,25,3.963116935247085
0,834,919,93,2.418676409167948
0,834,925,30,5.249047199856985
0,834,928,9,7.925847526229188
0,834,932,7,11.625864260802492
0,834,1011,11,6.510367578384317
0,834,1067,1,17.994484200739958
0,834,1100,6,10.117329433395268
0,834,1138,8,8.289707955784227
0,834,1146,4,13.036256596755637
0,834,1213,2,12.569063966979074
0,834,1232,3,14.473652063742133
0,834,1399,3,15.539391645120883
0,834,1478,2,16.706287412191738
0,841,275,2,15.916543537141676
0,841,464,3,13.80880648003514
0,841,490,7,11.112502041969076
0,841,525,1,16.25544880839065
0,841,665,15,5.853239452159795
0,841,702,6,10.079820266623036
0,841,714,42,3.840166222914322
0,841,783,1,14.30950419551184
0,841,795,53,3.062262486348145
0,841,834,10,6.657225110531033
0,841,850,5,8.559289334488692
0,841,873,2,10.51973264462815
0,841,919,6,7.925847526229188
0,841,925,36,2.926227644574357
0,841,928,63,2.418676409167948
0,841,932,13,5.24904719985821
0,841,1011,13,4.837273690103386
0,841,1067,4,11.844526521979704
0,841,1100,10,6.739095652327052
0,841,1138,6,8.662898126485421
0,841,1146,7,8.662898126486013
0,841,1213,1,17.420133687372026
0,841,1232,4,10.705537649880329
