time_step,low_battery_ratio,low_battery_count,mean_battery_pct,n_charging,charging_utilization,energy_consumed_pct_this_bin
0,0.0,0,98.08394312543369,0,0.0,38739.79211317586
1,0.0,0,97.2808290854075,7,0.0003333333333333333,43012.51723718912
2,0.0,0,97.93697288834828,29,0.001380952380952381,26616.619957869505
3,0.0,0,97.98758310885204,23,0.0010952380952380953,26707.82392403136
4,0.0,0,98.5587600922643,35,0.0016666666666666668,15877.932443877644
5,0.0,0,98.72135748271984,23,0.0010952380952380953,14951.800250817023
6,0.0,0,99.0174985047557,33,0.0015714285714285715,9271.511610176307
7,4.761904761904762e-05,1,99.06797105146245,14,0.0006666666666666666,9132.332359103919
8,9.523809523809524e-05,2,99.07728147528749,21,0.001,8912.016967822976
9,9.523809523809524e-05,2,99.07191180302075,17,0.0008095238095238096,9003.862731209192
10,0.0,0,98.37550159267666,34,0.0016190476190476191,21602.52909451742
11,0.00038095238095238096,8,98.23035938822827,65,0.0030952380952380953,23769.53036104819
12,0.0008571428571428571,18,96.85424693812001,50,0.002380952380952381,41292.901028920125
13,0.0009523809523809524,20,95.2312412963537,72,0.0034285714285714284,45424.66826717161
14,0.0006666666666666666,14,93.36114604828282,123,0.005857142857142857,53641.653570613205
15,0.0013333333333333333,28,91.32403058297716,112,0.005333333333333333,55288.800952567384
16,0.001142857142857143,24,89.38940680201435,253,0.012047619047619048,60854.61733252011
17,0.0007619047619047619,16,87.18353991268671,257,0.012238095238095239,61503.7631664038
18,0.0009047619047619047,19,84.03191342784964,140,0.006666666666666667,64333.09167540708
19,0.0009523809523809524,20,81.11705545618456,506,0.024095238095238097,78652.73399390638
20,0.0017142857142857142,36,79.26379365780964,985,0.04690476190476191,70437.38878979727
21,0.0010952380952380953,23,78.53563408797179,1712,0.08152380952380953,69087.6642855594
22,0.0005238095238095238,11,78.83615660846338,2311,0.11004761904761905,65083.61318056784
23,0.0012857142857142856,27,79.73242254774676,2505,0.11928571428571429,64311.98700429762
