time_step,low_battery_ratio,low_battery_count,mean_battery_pct,n_charging,charging_utilization,energy_consumed_pct_this_bin
0,0.0,0,99.29246492559112,0,0.0,13428.848350475135
1,0.0,0,98.95012170780578,7,0.0003333333333333333,17606.622526791773
2,0.0,0,99.23410042037845,20,0.0009523809523809524,9655.635237701039
3,0.0,0,99.20533043042425,22,0.0010476190476190477,9814.228270022506
4,0.0,0,99.40119170844147,30,0.0014285714285714286,5243.707143658259
5,0.0,0,99.4008388603292,37,0.0017619047619047618,5366.985873483243
6,0.0,0,99.49171346563068,21,0.001,3151.7766325963753
7,4.761904761904762e-05,1,99.48786182868334,22,0.0010476190476190477,3059.448914004783
8,0.00014285714285714287,3,99.47435981735293,32,0.0015238095238095239,3310.5749247060803
9,0.00028571428571428574,6,99.45531580057136,28,0.0013333333333333333,3506.2826559870596
10,0.0004761904761904762,10,99.11193222396643,34,0.0016190476190476191,10333.528086663066
11,0.0005238095238095238,11,99.11708028242809,63,0.003,10110.832794560782
12,0.00042857142857142855,9,98.52417561619497,61,0.0029047619047619048,22260.575911478743
13,0.0008095238095238096,17,97.89610861494086,49,0.0023333333333333335,22036.10892375661
14,0.001238095238095238,26,97.32044879555805,147,0.007,27552.24354885281
15,0.0014761904761904762,31,97.05852911036081,275,0.013095238095238096,27427.087122490655
16,0.0011904761904761906,25,96.8552948860238,338,0.016095238095238096,29964.014685013557
17,0.0007142857142857143,15,96.8251839184098,350,0.016666666666666666,29965.99400995546
18,0.0008095238095238096,17,96.68580616224452,309,0.014714285714285714,32315.921503475074
19,0.0010476190476190477,22,96.8463400776793,309,0.014714285714285714,32027.92637541784
20,0.0011904761904761906,25,97.17757181110838,346,0.016476190476190478,28451.510140422466
21,0.001238095238095238,26,97.39965075641489,254,0.012095238095238095,28198.764431763288
22,0.0011904761904761906,25,97.60531034008291,213,0.010142857142857143,26352.82031975947
23,0.001238095238095238,26,97.72614462603391,179,0.008523809523809524,26011.988021504592
24,0.0016666666666666668,35,97.62735320502922,147,0.007,28265.116896230913
25,0.0016666666666666668,35,97.54294027307252,136,0.0064761904761904765,27855.543014336206
26,0.0017142857142857142,36,97.44468023021766,178,0.008476190476190476,30508.143602165204
27,0.0015238095238095239,32,97.39300471505011,143,0.00680952380952381,30249.02291505979
28,0.001380952380952381,29,97.41023377926845,163,0.0077619047619047615,31149.83144664542
29,0.0014285714285714286,30,97.36616463441347,155,0.007380952380952381,31154.193665667368
30,0.0015714285714285715,33,97.38026887312604,119,0.005666666666666667,29824.13167407356
31,0.0018095238095238095,38,97.402334167259,139,0.006619047619047619,29935.69214392643
32,0.0015238095238095239,32,97.39142770309844,128,0.006095238095238095,29797.56842562805
33,0.0013333333333333333,28,97.26860570746057,126,0.006,29639.422217670675
34,0.0013333333333333333,28,97.3599596935055,145,0.006904761904761905,27623.22485228256
35,0.0015714285714285715,33,97.26576518671355,135,0.0064285714285714285,27332.319873195975
36,0.0019523809523809524,41,97.36534335480748,158,0.007523809523809524,25412.012462554107
37,0.0019047619047619048,40,97.39219198677455,152,0.007238095238095238,25660.047460520556
