time_step,low_battery_ratio,low_battery_count,mean_battery_pct,n_charging,charging_utilization,energy_consumed_pct_this_bin
0,0.0,0,96.16788625086319,0,0.0,77479.58422635173
1,0.0,0,94.45366167540367,310,0.014761904761904763,86025.03447437823
2,0.0,0,95.59963355897806,687,0.03271428571428572,53233.23991573901
3,9.523809523809524e-05,2,95.76796183773358,508,0.02419047619047619,53415.64784806272
4,9.523809523809524e-05,2,96.86985001825086,531,0.025285714285714286,31755.864887755288
5,0.00028571428571428574,6,97.27715755588096,410,0.019523809523809523,29903.600501634046
6,0.0007142857142857143,15,97.89653556452465,331,0.01576190476190476,18543.023220352614
7,0.00042857142857142855,9,98.05097691738702,237,0.011285714285714286,18264.664718207838
8,0.0004761904761904762,10,98.08616746414602,237,0.011285714285714286,17824.03393564595
9,0.0013333333333333333,28,98.08268249332538,205,0.009761904761904762,18007.725462418384
10,0.0010952380952380953,23,96.67473857368388,241,0.011476190476190477,43205.05818903484
11,0.0006666666666666666,14,96.2529571809061,544,0.025904761904761906,47539.06072209638
12,0.0021904761904761906,46,93.45814031787937,516,0.02457142857142857,82585.80205784025
13,0.004190476190476191,88,90.12471695474876,614,0.029238095238095237,90791.29399909668
14,0.007666666666666666,161,86.09490993083966,945,0.045,107293.33116833572
15,0.014761904761904763,310,81.8596165077596,1004,0.04780952380952381,110326.01245622501
16,0.020714285714285713,435,77.69269729050706,1215,0.05785714285714286,121221.73812852788
17,0.029095238095238094,611,73.06321202378078,1030,0.04904761904761905,123641.94658261494
18,0.049,1029,66.71073906438089,801,0.038142857142857145,130414.28532070968
19,0.09647619047619048,2026,59.99805810700368,1014,0.048285714285714286,152026.0955777111
20,0.11595238095238095,2435,55.036979052916266,1772,0.08438095238095238,139975.7144203398
21,0.1309047619047619,2749,51.270314018467886,2459,0.1170952380952381,136212.02299470094
22,0.1508095238095238,3167,48.871287728558286,3344,0.15923809523809523,132018.36127824048
23,0.19476190476190477,4090,47.535958481189596,4045,0.1926190476190476,125732.8390922249
24,0.26404761904761903,5545,46.029309214904515,4056,0.19314285714285714,129011.06912261853
25,0.3036190476190476,6376,44.37157352698031,4027,0.19176190476190477,126151.88144528905
26,0.36195238095238097,7601,40.182705291014805,2972,0.14152380952380952,132718.92174078786
27,0.4103333333333333,8617,34.79386442674238,3066,0.146,131592.12095884176
28,0.4298571428571429,9027,29.479195674486785,3193,0.15204761904761904,144283.56558783082
29,0.43761904761904763,9190,25.035413435713686,4041,0.19242857142857142,129943.34023045335
30,0.4816190476190476,10114,21.952553558957202,3956,0.18838095238095237,144342.10645452177
31,0.5338095238095238,11210,19.392146038686626,3900,0.18571428571428572,129224.96583846526
32,0.5724285714285714,12021,18.190146015065253,4740,0.2257142857142857,117307.57071205223
33,0.6249523809523809,13124,16.940965323523486,4710,0.22428571428571428,114701.56153999077
34,0.6283809523809524,13196,16.583094595485257,5286,0.2517142857142857,109770.60102006968
35,0.6193333333333333,13006,17.02984075511194,5549,0.2642380952380952,106796.5138583545
36,0.6077619047619047,12763,17.565175535671496,5669,0.26995238095238094,114581.56195645689
37,0.6161904761904762,12940,17.36309969687824,5218,0.2484761904761905,116600.52665551305
38,0.6107619047619047,12826,18.046465736996844,5727,0.2727142857142857,116950.07085712497
39,0.5733333333333334,12040,18.50915167994836,6041,0.2876666666666667,122844.15747858619
40,0.5660952380952381,11888,18.614530877714706,5900,0.28095238095238095,123809.36190008355
41,0.5333333333333333,11200,19.005307011139806,6287,0.29938095238095236,126744.96091607455
42,0.5384761904761904,11308,19.78696467831677,6678,0.318,133708.57677530832
43,0.5152380952380953,10820,20.340158694468442,6722,0.3200952380952381,139312.40592941438
44,0.5236190476190477,10996,19.412671940388243,6301,0.30004761904761906,147716.34374091346
45,0.5313333333333333,11158,19.071492327262757,6398,0.30466666666666664,138870.53671688132
46,0.5483809523809524,11516,18.62746243166803,6496,0.30933333333333335,129668.46193590478
47,0.5551904761904762,11659,18.168455762246364,6478,0.30847619047619046,117251.81544359786
48,0.5476190476190477,11500,18.774945934907983,6771,0.32242857142857145,98260.01842373822
49,0.5089523809523809,10688,20.012791045021228,7496,0.35695238095238097,108119.12798465
50,0.37157142857142855,7803,26.27430526837418,10573,0.5034761904761905,99271.1004510901
51,0.2699047619047619,5668,33.589475678874216,11978,0.5703809523809524,122989.16824061866
52,0.13438095238095238,2822,47.73531677259078,14988,0.7137142857142857,73170.32963002122
53,0.055714285714285716,1170,63.777003309975775,13918,0.6627619047619048,54555.741140283586
54,0.02085714285714286,438,79.20796874689563,11334,0.5397142857142857,22943.204116612622
55,0.010904761904761905,229,89.82522940326854,6725,0.3202380952380952,18682.693257613162
56,0.005333333333333333,112,95.1204489974914,2577,0.12271428571428572,18430.494341292448
57,0.005333333333333333,112,96.81788525292157,926,0.0440952380952381,17630.17108095534
58,0.0035714285714285713,75,95.94639394382651,583,0.027761904761904762,45963.70187692688
59,0.005047619047619047,106,94.85973694684839,514,0.024476190476190478,45514.06241095665
60,0.006238095238095238,131,91.54128503811467,521,0.02480952380952381,90178.33608642138
61,0.00780952380952381,164,89.14923767320882,1019,0.048523809523809525,91580.11343812398
62,0.010333333333333333,217,85.9827142666755,1206,0.057428571428571426,108277.79651457937
