vehicle_id,time_step,battery_after_charge
V6,1,99.68524852323107
V6,2,100.0
V6,12,100.0
V6,14,100.0
V6,17,87.69585851700629
V6,18,94.69585851700629
V6,19,100.0
V7,1,90.74587426791403
V7,2,97.74587426791403
V7,3,100.0
V7,11,100.0
V7,15,100.0
V8,1,100.0
V8,9,91.69150065751478
V8,10,98.69150065751478
V8,11,100.0
V8,17,91.82446111949771
V8,18,98.82446111949771
V8,19,100.0
V11,1,100.0
V11,3,100.0
V11,15,97.520341097458
V11,16,100.0
V11,18,97.23605924808601
V11,19,100.0
V12,1,100.0
V12,4,99.98448241845493
V12,5,100.0
V12,10,91.69150065751478
V12,11,98.69150065751478
V12,12,100.0
V46,1,96.30595992439738
V46,2,100.0
V46,11,88.62599359245951
V46,12,95.62599359245951
V46,13,100.0
V47,1,100.0
V47,19,96.30271443127623
V48,1,94.43093603302093
V48,2,100.0
V48,12,88.15883916446538
V48,13,95.15883916446538
V48,14,100.0
V61,1,100.0
V61,12,88.62599359245951
V61,13,95.62599359245951
V61,14,100.0
V62,1,100.0
V63,1,99.31131428901867
V63,2,100.0
V63,4,95.38040085758814
V63,5,100.0
V63,12,100.0
V66,1,97.87864775334991
V66,2,100.0
V66,11,96.501906096329
V66,12,100.0
V81,1,95.88050733554437
V81,2,100.0
V81,9,100.0
V81,15,99.30969425564824
V81,16,100.0
V106,1,96.796179121688
V106,3,94.22157311477218
V106,4,100.0
V107,1,99.98448241845493
V107,2,100.0
V107,16,90.58755544391006
V107,17,97.58755544391006
V107,18,100.0
V136,1,100.0
V136,17,99.07724374820035
V136,18,100.0
V146,1,97.65852577282142
V146,3,100.0
V146,14,91.62183360168154
V146,15,98.62183360168154
V146,16,100.0
V9,2,100.0
V9,4,98.69588373560173
V9,5,100.0
V9,14,100.0
V9,16,100.0
V9,18,84.39362286074567
V9,19,91.39362286074567
V10,2,97.65852577282142
V10,3,100.0
V10,6,100.0
V10,14,88.19904863504036
V10,15,95.19904863504036
V10,16,100.0
V26,2,100.0
V26,13,85.0968644372572
V26,14,92.0968644372572
V26,15,99.0968644372572
V26,16,100.0
V49,2,100.0
V49,5,100.0
V49,12,96.75889040116778
V49,13,100.0
V64,2,100.0
V64,15,100.0
V64,17,100.0
V65,2,100.0
V65,14,91.30534537033013
V65,15,98.30534537033013
V65,16,100.0
V41,3,92.51339873627326
V41,4,99.51339873627326
V41,5,100.0
V41,11,80.47482169872623
V41,12,87.47482169872623
V41,13,94.47482169872623
V41,14,100.0
V50,3,100.0
V82,3,100.0
V82,12,84.68155292310823
V82,13,91.68155292310823
V82,14,98.68155292310823
V82,15,100.0
V121,3,79.39621176256557
V121,4,86.39621176256557
V121,5,93.39621176256557
V121,6,100.0
V137,3,100.0
V137,8,96.83245373244691
V137,9,100.0
V28,4,100.0
V28,14,85.0968644372572
V28,15,92.0968644372572
V28,16,99.0968644372572
V28,17,100.0
V13,5,96.29460541434128
V13,6,100.0
V13,13,91.62183360168154
V13,14,98.62183360168154
V13,15,100.0
V13,19,96.501906096329
V27,5,97.57039815728177
V27,6,100.0
V27,9,90.68699747095049
V27,10,97.68699747095049
V27,11,100.0
V27,13,80.47482169872623
V27,14,87.47482169872623
V27,15,94.47482169872623
V27,16,100.0
V29,5,100.0
V29,15,95.5206855024421
V29,16,100.0
V29,19,93.87071245941843
V16,6,100.0
V16,12,86.47277868349423
V16,13,93.47277868349423
V16,14,100.0
V14,8,100.0
V14,12,88.15883916446538
V14,13,95.15883916446538
V14,14,100.0
V14,19,96.501906096329
V15,11,84.39362286074567
V15,12,91.39362286074567
V15,13,98.39362286074567
V15,14,100.0
V30,11,88.62599359245951
V30,12,95.62599359245951
V30,13,100.0
V31,11,91.82446111949771
V31,12,98.82446111949771
V31,13,100.0
V32,11,91.82446111949771
V32,12,98.82446111949771
V32,13,100.0
V67,11,100.0
V111,12,95.37957835485753
V111,13,100.0
V112,12,95.37957835485753
V112,13,100.0
V138,12,96.501906096329
V138,13,100.0
V139,12,96.501906096329
V139,13,100.0
V140,12,96.501906096329
V140,13,100.0
V142,12,80.47482169872623
V142,13,87.47482169872623
V142,14,94.47482169872623
V142,15,100.0
V17,13,100.0
V69,13,100.0
V70,13,100.0
V72,13,100.0
V86,13,100.0
V113,13,95.37957835485753
V113,14,100.0
V114,13,95.37957835485753
V114,14,100.0
V115,13,95.37957835485753
V115,14,100.0
V51,14,94.5001987945029
V51,15,100.0
V52,14,94.5001987945029
V52,15,100.0
V56,14,89.04297768976362
V56,15,96.04297768976362
V56,16,100.0
V57,14,89.04297768976362
V57,15,96.04297768976362
V57,16,100.0
V116,14,91.69150065751478
V116,15,98.69150065751478
V116,16,100.0
V117,14,91.69150065751478
V117,15,98.69150065751478
V117,16,100.0
V143,14,80.47482169872623
V143,15,87.47482169872623
V143,16,94.47482169872623
V143,17,100.0
V144,14,80.47482169872623
V144,15,87.47482169872623
V144,16,94.47482169872623
V144,17,100.0
V147,14,88.15883916446538
V147,15,95.15883916446538
V147,16,100.0
V148,14,88.15883916446538
V148,15,95.15883916446538
V148,16,100.0
V36,15,96.30271443127623
V36,16,100.0
V68,15,73.66639169647272
V68,16,80.66639169647272
