vertiport,low_battery_count
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,2
217,2
217,1
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,0
217,0
217,0
217,1
217,1
217,0
217,1
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,1
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,1
217,1
217,1
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,1
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,2
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,1
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,2
217,1
217,1
217,0
217,0
217,0
217,0
217,1
217,2
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,1
217,0
217,0
217,0
217,0
217,0
217,1
217,1
217,1
217,0
217,0
217,0
217,0
217,0
217,1
217,2
217,3
217,2
217,3
217,2
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,1
882,1
882,0
882,0
882,0
882,1
882,0
882,0
882,0
882,0
882,2
882,3
882,7
882,6
882,6
882,8
882,9
882,13
882,9
882,5
882,8
882,13
882,10
882,12
882,8
882,9
882,14
882,13
882,20
882,23
882,26
882,28
882,33
882,42
882,48
882,53
882,54
882,55
882,53
882,58
882,64
882,67
882,62
882,58
882,52
882,44
882,42
882,45
882,50
882,53
882,38
882,33
882,37
882,50
882,44
882,41
882,27
882,29
882,17
882,28
882,28
882,35
882,29
882,29
882,25
882,28
882,28
882,22
882,17
882,21
882,25
882,25
882,23
882,24
882,30
882,31
882,27
882,27
882,34
882,38
882,50
882,45
882,36
882,31
882,39
882,41
882,45
882,40
882,38
882,34
882,32
882,30
882,37
882,40
882,43
882,58
882,53
882,46
882,39
882,42
882,54
882,54
882,41
882,30
882,27
882,33
882,31
882,34
882,34
882,26
882,25
882,20
882,24
882,20
882,22
882,22
882,29
882,33
882,30
882,30
882,33
882,43
882,50
882,52
882,61
882,58
882,56
882,49
882,58
882,58
882,65
882,56
882,49
882,51
882,54
882,47
882,46
882,46
882,42
882,44
882,41
882,44
882,44
882,48
882,48
882,38
882,26
882,21
882,20
882,17
882,15
882,18
882,16
882,17
882,20
882,27
882,36
882,36
882,39
882,41
882,45
882,56
882,58
882,58
882,65
882,67
882,69
882,67
882,72
882,67
882,69
882,63
882,72
882,70
882,76
882,66
882,58
882,59
882,65
882,59
882,55
882,50
882,40
882,37
882,33
882,31
882,27
882,28
882,25
882,23
882,18
882,18
882,17
882,22
882,30
882,37
882,45
882,50
882,47
882,51
882,54
882,66
882,64
882,62
882,63
882,69
882,79
882,84
882,84
882,73
882,73
882,72
882,79
882,83
882,88
882,86
882,77
882,69
882,63
882,62
882,62
882,68
882,58
882,49
882,36
882,32
882,27
882,28
882,23
882,27
882,26
882,31
882,26
882,22
882,19
882,19
882,19
882,22
882,29
882,39
882,55
882,62
882,58
882,56
882,59
882,71
882,77
882,70
882,69
882,69
882,81
882,83
882,87
882,79
882,85
882,80
882,92
882,81
882,76
882,60
882,63
882,55
882,54
882,49
882,52
882,50
882,40
882,37
882,34
882,37
882,28
882,22
882,13
882,12
882,15
882,19
882,25
882,28
882,38
882,44
882,44
882,47
882,47
882,53
882,68
882,61
882,63
882,61
882,72
882,85
882,92
882,90
882,84
882,78
882,87
882,87
882,81
882,67
882,62
882,60
882,66
882,46
882,37
882,15
882,16
882,13
882,10
882,7
882,7
882,10
882,10
882,6
882,5
882,5
882,17
882,15
882,17
882,8
882,15
882,14
882,29
882,24
882,46
882,47
882,60
882,58
882,69
882,66
882,73
882,64
882,70
882,69
882,78
882,80
882,83
882,76
882,69
882,57
882,54
882,52
882,49
882,43
882,32
882,27
882,17
882,13
882,4
882,1
882,1
882,2
882,9
882,7
882,6
882,1
882,1
882,1
882,5
882,7
882,18
882,19
882,26
882,20
882,26
882,28
882,50
882,54
882,80
882,71
882,84
882,80
882,89
882,90
882,95
882,82
882,77
882,66
882,74
882,64
882,58
882,50
882,51
882,45
882,32
882,29
882,20
882,13
882,4
882,1
882,1
882,1
882,4
882,4
882,5
882,4
882,5
882,7
882,10
882,7
882,4
882,3
882,1
882,1
882,3
882,2
882,1
882,2
882,0
882,1
882,2
882,2
882,4
882,1
882,1
882,2
882,3
882,2
882,1
882,1
882,1
882,1
882,7
882,4
882,0
882,0
882,0
882,1
882,1
882,1
882,1
882,1
882,0
882,0
882,0
882,0
882,0
882,0
882,1
882,3
882,2
882,2
882,5
882,8
882,11
882,9
882,15
882,32
882,32
882,24
882,1
882,1
882,1
882,13
882,15
882,20
882,18
882,19
882,11
882,4
882,7
882,5
882,5
882,4
882,7
882,2
882,1
882,4
882,4
882,3
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,0
882,1
882,1
882,2
882,1
882,1
882,0
882,0
882,0
882,1
882,3
882,5
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
