time_step,start,end,vehicle,distance,kind
1,708,834,V141,4.389831624444016,predictive
1,708,834,V142,4.389831624444016,predictive
1,1013,885,V23,3.46869779664105,predictive
1,1013,885,V422,3.46869779664105,predictive
1,931,885,V102,3.0617002345235647,predictive
1,1091,834,V281,6.739095652327052,predictive
1,566,659,V341,7.02219411294688,predictive
1,672,885,V321,5.876204136119103,predictive
2,1013,885,V245,3.46869779664105,predictive
2,1013,885,V461,3.46869779664105,predictive
2,708,834,V143,4.389831624444016,predictive
2,931,885,V103,3.0617002345235647,predictive
2,1091,834,V282,6.739095652327052,predictive
2,566,834,V342,11.619599142411865,predictive
2,849,1106,V101,6.739095652327052,predictive
2,672,885,V501,5.876204136119103,predictive
2,965,882,V24,3.616965677313317,predictive
2,1229,1276,V25,3.959637309104105,predictive
2,917,783,V61,5.8083597500151045,shortage
3,708,882,V144,4.837510953567602,predictive
3,708,882,V145,4.837510953567602,predictive
3,885,882,V23,2.852794790784161,predictive
3,885,882,V26,2.852794790784161,predictive
3,1013,882,V462,3.839767699909249,predictive
3,1013,882,V463,3.839767699909249,predictive
3,1398,882,V301,13.343391197346763,predictive
3,849,882,V27,9.574606006915822,predictive
3,917,783,V62,5.8083597500151045,shortage
4,1013,1276,V424,8.190822817543284,predictive
4,1013,1276,V464,8.190822817543284,predictive
4,708,1276,V146,16.79773773026525,predictive
4,885,1276,V102,10.705394585658723,predictive
4,849,1276,V105,11.479314497557898,predictive
4,1398,1276,V246,7.438993890374081,predictive
4,1102,1276,V21,4.836798739646007,predictive
4,917,783,V63,5.8083597500151045,shortage
5,1276,1229,V21,3.959637309104105,predictive
5,1276,1229,V25,3.959637309104105,predictive
5,885,882,V43,2.852794790784161,predictive
5,849,931,V106,4.4061387562478425,predictive
5,1013,885,V465,3.46869779664105,predictive
5,708,834,V147,4.389831624444016,predictive
5,783,917,V61,5.8083597500151045,predictive
5,1091,965,V283,4.388654712140797,predictive
5,1398,1229,V247,5.282433425576492,predictive
5,1102,1013,V244,3.616251246210677,predictive
5,566,783,V22,5.876334276322891,predictive
5,917,783,V30,5.8083597500151045,shortage
6,1276,1229,V44,3.959637309104105,predictive
6,1013,885,V244,3.46869779664105,predictive
6,783,917,V30,5.8083597500151045,predictive
6,885,882,V245,2.852794790784161,predictive
6,849,931,V361,4.4061387562478425,predictive
6,708,834,V148,4.389831624444016,predictive
6,1091,965,V64,4.388654712140797,predictive
6,1102,1013,V323,3.616251246210677,predictive
6,1229,1102,V21,3.8392690799482057,predictive
6,917,783,V61,5.8083597500151045,shortage
7,1013,885,V323,3.46869779664105,predictive
7,1013,885,V466,3.46869779664105,predictive
7,783,917,V62,5.8083597500151045,predictive
7,783,917,V63,5.8083597500151045,predictive
7,885,882,V244,2.852794790784161,predictive
7,1276,1229,V46,3.959637309104105,predictive
7,1102,1013,V21,3.616251246210677,predictive
7,849,931,V362,4.4061387562478425,predictive
7,965,882,V29,3.616965677313317,predictive
7,1229,1102,V25,3.8392690799482057,predictive
7,917,834,V65,3.617203703030827,predictive
7,708,834,V149,4.389831624444016,predictive
7,1091,965,V284,4.388654712140797,predictive
7,917,783,V66,5.8083597500151045,shortage
8,885,882,V248,2.852794790784161,predictive
8,885,882,V249,2.852794790784161,predictive
8,783,917,V22,5.8083597500151045,predictive
8,783,917,V61,5.8083597500151045,predictive
8,1102,1013,V33,3.616251246210677,predictive
8,1013,885,V468,3.46869779664105,predictive
8,1229,1102,V44,3.8392690799482057,predictive
8,917,834,V62,3.617203703030827,predictive
8,882,885,V23,2.852794790784161,predictive
8,1276,1229,V47,3.959637309104105,predictive
8,849,931,V363,4.4061387562478425,predictive
8,965,882,V32,3.616965677313317,predictive
8,708,834,V150,4.389831624444016,predictive
8,834,917,V65,3.617203703030827,predictive
8,1091,965,V285,4.388654712140797,predictive
8,917,783,V63,5.8083597500151045,shortage
9,885,882,V23,2.852794790784161,predictive
9,885,882,V250,2.852794790784161,predictive
9,783,917,V66,5.8083597500151045,predictive
9,783,917,V481,5.8083597500151045,predictive
9,917,834,V65,3.617203703030827,predictive
9,917,834,V67,3.617203703030827,predictive
9,882,885,V24,2.852794790784161,predictive
9,1102,1013,V25,3.616251246210677,predictive
9,1229,1102,V45,3.8392690799482057,predictive
9,1013,885,V33,3.46869779664105,predictive
9,965,882,V64,3.616965677313317,predictive
9,1276,1229,V48,3.959637309104105,predictive
9,834,917,V62,3.617203703030827,predictive
9,849,931,V364,4.4061387562478425,predictive
9,917,783,V68,5.8083597500151045,shortage
10,917,834,V30,3.617203703030827,predictive
10,917,834,V62,3.617203703030827,predictive
10,885,882,V24,2.852794790784161,predictive
10,885,882,V33,2.852794790784161,predictive
10,783,917,V63,5.8083597500151045,predictive
10,783,917,V68,5.8083597500151045,predictive
10,882,885,V23,2.852794790784161,predictive
10,882,885,V26,2.852794790784161,predictive
10,1102,1013,V44,3.616251246210677,predictive
10,1229,1102,V46,3.8392690799482057,predictive
10,1013,885,V470,3.46869779664105,predictive
10,834,917,V65,3.617203703030827,predictive
10,1276,1229,V49,3.959637309104105,predictive
10,849,931,V365,4.4061387562478425,predictive
10,965,882,V261,3.616965677313317,predictive
10,917,783,V66,5.8083597500151045,shortage
10,1229,1276,V47,3.959637309104105,shortage
10,1106,1068,V41,4.880745078525951,shortage
11,783,917,V143,5.8083597500151045,predictive
11,783,917,V184,5.8083597500151045,predictive
11,783,917,V262,5.8083597500151045,predictive
