time_step,start,end,vehicle,distance,kind
0,172,928,V6,30.387381465680807,shortage
0,172,928,V7,30.387381465680807,shortage
0,172,928,V8,30.387381465680807,shortage
0,172,928,V9,30.387381465680807,shortage
0,172,928,V10,30.387381465680807,shortage
0,172,928,V11,30.387381465680807,shortage
0,172,928,V12,30.387381465680807,shortage
0,172,928,V13,30.387381465680807,shortage
0,172,928,V14,30.387381465680807,shortage
0,172,928,V15,30.387381465680807,shortage
0,172,928,V16,30.387381465680807,shortage
0,172,928,V17,30.387381465680807,shortage
4,200,928,V78,19.11752961089156,shortage
4,200,928,V79,19.11752961089156,shortage
4,200,928,V101,19.11752961089156,shortage
4,200,928,V199,19.11752961089156,shortage
4,200,928,V206,19.11752961089156,shortage
4,200,928,V243,19.11752961089156,shortage
4,200,928,V244,19.11752961089156,shortage
4,200,928,V245,19.11752961089156,shortage
4,200,928,V246,19.11752961089156,shortage
4,200,928,V247,19.11752961089156,shortage
4,200,928,V248,19.11752961089156,shortage
4,200,928,V260,19.11752961089156,shortage
4,200,928,V281,19.11752961089156,shortage
4,200,928,V291,19.11752961089156,shortage
4,172,928,V1,30.387381465680807,shortage
4,172,928,V2,30.387381465680807,shortage
4,172,928,V3,30.387381465680807,shortage
4,172,928,V4,30.387381465680807,shortage
4,172,928,V5,30.387381465680807,shortage
4,172,928,V10,30.387381465680807,shortage
6,200,928,V7,19.11752961089156,shortage
6,200,928,V8,19.11752961089156,shortage
6,200,928,V136,19.11752961089156,shortage
6,200,928,V142,19.11752961089156,shortage
6,200,928,V143,19.11752961089156,shortage
6,200,928,V196,19.11752961089156,shortage
6,200,928,V197,19.11752961089156,shortage
6,200,928,V231,19.11752961089156,shortage
6,200,928,V257,19.11752961089156,shortage
6,200,928,V265,19.11752961089156,shortage
6,200,928,V276,19.11752961089156,shortage
6,200,928,V277,19.11752961089156,shortage
6,200,928,V278,19.11752961089156,shortage
6,200,928,V336,19.11752961089156,shortage
6,200,928,V402,19.11752961089156,shortage
6,200,928,V403,19.11752961089156,shortage
6,200,928,V414,19.11752961089156,shortage
6,200,928,V415,19.11752961089156,shortage
6,200,928,V416,19.11752961089156,shortage
6,200,928,V417,19.11752961089156,shortage
6,200,928,V430,19.11752961089156,shortage
6,200,928,V431,19.11752961089156,shortage
6,200,928,V432,19.11752961089156,shortage
6,200,928,V436,19.11752961089156,shortage
6,200,928,V439,19.11752961089156,shortage
6,200,928,V444,19.11752961089156,shortage
6,200,928,V457,19.11752961089156,shortage
6,200,928,V458,19.11752961089156,shortage
6,200,928,V459,19.11752961089156,shortage
8,200,928,V27,19.11752961089156,shortage
8,200,928,V28,19.11752961089156,shortage
8,200,928,V51,19.11752961089156,shortage
8,200,928,V102,19.11752961089156,shortage
8,200,928,V103,19.11752961089156,shortage
8,200,928,V117,19.11752961089156,shortage
8,200,928,V156,19.11752961089156,shortage
8,200,928,V157,19.11752961089156,shortage
8,200,928,V176,19.11752961089156,shortage
8,200,928,V207,19.11752961089156,shortage
8,200,928,V237,19.11752961089156,shortage
8,200,928,V238,19.11752961089156,shortage
8,200,928,V249,19.11752961089156,shortage
8,200,928,V250,19.11752961089156,shortage
8,200,928,V295,19.11752961089156,shortage
8,200,928,V324,19.11752961089156,shortage
8,200,928,V325,19.11752961089156,shortage
8,200,928,V377,19.11752961089156,shortage
8,172,928,V12,30.387381465680807,shortage
8,172,928,V81,30.387381465680807,shortage
10,172,1399,V82,38.051564242234406,shortage
12,973,1232,V9,6.739053043647001,overflow
24,925,973,V38,4.882215518422521,overflow
24,702,402,V28,7.84160901068824,overflow
26,702,925,V26,9.423506251261468,overflow
26,702,873,V31,4.548357078342699,overflow
58,1067,925,V2,12.80112469343922,overflow
58,794,873,V26,7.018858162934119,overflow
58,794,1140,V107,9.096545861200513,overflow
60,783,873,V23,4.4064860569207775,overflow
72,1187,925,V10,7.6790367656671,overflow
72,1187,873,V26,14.60457664934919,overflow
72,1187,973,V15,5.6404067966465385,overflow
72,1187,1140,V16,3.960411314814771,overflow
72,1187,794,V22,11.519003477970214,overflow
82,1011,925,V3,2.223898532891128,overflow
84,1399,1232,V14,6.507057624431,overflow
84,783,873,V18,4.4064860569207775,overflow
84,783,973,V27,17.685208029543023,overflow
84,783,1140,V77,15.22789003823726,overflow
84,783,794,V84,10.46245949147104,overflow
84,783,834,V85,7.689481736045675,overflow
84,783,402,V110,11.521692668209962,overflow
84,783,1478,V393,18.994191672564124,overflow
84,783,928,V125,15.577087902404868,overflow
84,783,702,V130,5.250413373789177,overflow
84,783,1213,V210,11.11949266445603,overflow
84,579,200,V7,12.57636232869906,overflow
86,928,925,V125,2.8524929798341074,overflow
86,928,873,V399,11.464626189279452,overflow
148,702,873,V29,4.548357078342699,overflow
160,402,925,V10,14.913154476154167,overflow
162,1004,1232,V65,13.548232944538976,overflow
162,1004,873,V46,3.839767699909918,overflow
164,1105,925,V16,8.810192302561815,overflow
164,1105,873,V23,17.09113028720051,overflow
164,1105,973,V17,4.388654712140797,overflow
164,1105,1140,V36,7.683904782943718,overflow
164,1105,464,V43,17.107687775979528,overflow
164,1105,834,V37,14.045233535461502,overflow
164,1105,928,V45,6.509632645551289,overflow
164,1105,1004,V55,14.430329325731782,overflow
164,1105,1399,V56,10.237902514270164,overflow
164,1105,1058,V57,3.961184888937906,overflow
168,402,172,V12,15.328145780625992,overflow
168,402,925,V14,14.913154476154167,overflow
168,402,873,V24,12.378588757843175,overflow
170,928,873,V23,11.464626189279452,overflow
170,928,856,V82,13.497510700081442,overflow
