time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
0,17,0.0,0.0,0.0
1,6,0.0,0.0,0.0
2,9,0.0,0.0,1.0
3,8,0.0,0.0,1.0
4,5,0.0,0.0,1.0
5,2,0.0,0.0,1.0
6,2,0.0,0.0,1.0
7,3,0.0,0.0,1.0
8,3,0.0,0.0,1.0
9,2,0.0,0.0,1.0
10,9,0.0,0.0,3.0
11,16,0.0,0.0,5.0
12,23,0.0,0.0,9.0
13,35,0.0,0.0,14.0
14,33,0.0,0.0,16.0
15,23,0.0,0.0,18.0
16,24,0.0,0.0,20.0
17,17,0.0,0.0,23.0
18,28,0.0,0.0,25.0
19,25,0.0,0.0,29.0
20,32,0.0,0.0,29.0
21,64,0.0,0.0,30.0
22,40,0.0,0.0,36.0
23,29,0.0,0.0,42.0
24,31,0.0,0.0,48.0
25,34,0.0,0.0,47.0
26,34,0.0,0.0,51.0
27,28,0.0,0.0,54.0
28,20,0.0,0.0,62.0
29,31,0.0,0.0,67.0
30,26,0.0,0.0,73.0
31,21,0.0,0.0,78.0
32,25,0.0,0.0,82.0
33,37,0.0,0.0,87.0
34,26,0.0,0.0,90.0
35,18,0.0,0.0,93.0
36,23,0.0,0.0,93.0
37,14,0.0,0.0,104.0
38,26,0.0,0.0,110.0
39,23,0.0,0.0,115.0
40,22,0.0,0.0,121.0
41,21,0.0,0.0,129.0
42,30,0.0,0.0,138.0
43,20,0.0,0.0,147.0
44,18,3.0,0.0,164.0
45,13,0.0,0.0,181.0
46,10,1.0,0.0,188.0
47,10,0.0,0.0,189.0
48,10,0.0,0.0,196.0
49,10,0.0,0.0,201.0
50,6,0.0,0.0,206.0
51,9,0.0,0.0,211.0
52,3,0.0,0.0,209.0
53,9,2.0,0.0,205.0
54,6,2.0,0.0,200.0
55,6,2.0,0.0,195.0
56,7,2.0,0.0,189.0
57,3,0.0,0.0,194.0
58,1,1.0,0.0,200.0
59,11,4.0,0.0,205.0
60,6,12.0,0.0,222.0
61,10,26.0,0.0,239.0
62,11,37.0,0.0,251.0
63,11,41.0,0.0,258.0
64,23,51.0,0.0,261.0
65,11,59.0,0.0,267.0
66,16,69.0,0.0,274.0
67,17,79.0,0.0,281.0
68,16,86.0,0.0,287.0
69,18,92.0,0.0,287.0
70,19,101.0,0.0,284.0
71,21,111.0,0.0,283.0
72,31,119.0,0.0,271.0
73,21,119.0,0.0,274.0
74,31,123.0,0.0,279.0
75,28,126.0,0.0,289.0
76,26,140.0,0.0,290.0
77,19,144.0,0.0,295.0
78,16,140.0,0.0,312.0
79,15,137.0,0.0,325.0
80,21,151.0,0.0,323.0
81,21,162.0,0.0,330.0
82,44,173.0,0.0,313.0
83,25,155.0,0.0,328.0
84,21,144.0,0.0,343.0
85,29,136.0,0.0,357.0
86,26,133.0,0.0,352.0
87,44,116.0,0.0,352.0
88,23,98.0,0.0,371.0
89,14,94.0,0.0,384.0
90,24,96.0,0.0,383.0
91,30,94.0,0.0,376.0
92,26,84.0,0.0,380.0
93,25,78.0,0.0,381.0
94,21,77.0,0.0,384.0
95,24,68.0,0.0,378.0
96,13,65.0,0.0,383.0
97,33,66.0,0.0,364.0
98,17,53.0,0.0,366.0
99,13,48.0,0.0,362.0
100,13,47.0,0.0,357.0
101,14,43.0,0.0,350.0
102,17,42.0,0.0,339.0
103,7,36.0,0.0,341.0
104,13,33.0,0.0,334.0
105,11,33.0,0.0,327.0
106,8,39.0,0.0,326.0
107,12,52.0,0.0,325.0
108,14,70.0,0.0,324.0
109,13,84.0,0.0,327.0
110,18,90.0,0.0,335.0
111,17,96.0,0.0,332.0
112,18,101.0,0.0,333.0
113,15,98.0,0.0,345.0
114,19,101.0,0.0,347.0
115,21,109.0,0.0,350.0
116,21,122.0,0.0,353.0
117,18,134.0,0.0,349.0
118,24,145.0,0.0,341.0
119,22,168.0,0.0,338.0
120,23,184.0,0.0,333.0
121,27,195.0,0.0,334.0
122,27,201.0,0.0,340.0
123,13,217.0,0.0,349.0
124,21,240.0,0.0,340.0
125,26,248.0,0.0,341.0
126,25,246.0,0.0,350.0
127,27,248.0,0.0,353.0
128,19,259.0,0.0,357.0
129,20,269.0,0.0,357.0
130,21,280.0,0.0,361.0
131,24,289.0,0.0,364.0
132,28,298.0,0.0,362.0
133,18,292.0,0.0,367.0
134,20,293.0,0.0,372.0
135,17,294.0,0.0,374.0
136,15,309.0,0.0,377.0
137,26,324.0,0.0,370.0
138,19,328.0,0.0,370.0
139,25,330.0,0.0,364.0
140,23,325.0,0.0,368.0
141,23,340.0,0.0,367.0
142,25,341.0,0.0,366.0
143,21,329.0,0.0,371.0
144,26,331.0,0.0,367.0
145,18,329.0,0.0,368.0
146,14,326.0,0.0,376.0
147,11,325.0,0.0,382.0
148,14,323.0,0.0,381.0
149,14,317.0,0.0,374.0
150,12,309.0,0.0,374.0
151,13,301.0,0.0,375.0
152,10,290.0,0.0,377.0
153,12,285.0,0.0,374.0
154,10,290.0,0.0,376.0
155,8,305.0,0.0,375.0
156,17,332.0,0.0,377.0
157,17,343.0,0.0,381.0
158,9,349.0,0.0,391.0
159,16,363.0,0.0,389.0
160,10,358.0,0.0,396.0
161,10,370.0,0.0,398.0
162,12,382.0,0.0,395.0
163,19,395.0,0.0,388.0
164,36,388.0,0.0,385.0
165,17,369.0,0.0,404.0
166,31,378.0,0.0,397.0
167,26,374.0,0.0,399.0
168,20,381.0,0.0,401.0
169,26,369.0,0.0,413.0
170,20,374.0,0.0,417.0
171,22,380.0,0.0,418.0
172,29,389.0,0.0,410.0
173,27,396.0,0.0,407.0
174,19,388.0,0.0,416.0
175,32,394.0,0.0,410.0
176,14,393.0,0.0,424.0
177,32,399.0,0.0,408.0
178,39,389.0,0.0,407.0
179,36,379.0,0.0,406.0
180,32,362.0,0.0,409.0
181,31,357.0,0.0,400.0
