time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
0,17,0.0,0.0,0.0
1,6,0.0,0.0,0.0
2,9,0.0,0.0,1.0
3,8,0.0,0.0,1.0
4,5,0.0,0.0,1.0
5,2,0.0,0.0,1.0
6,2,0.0,0.0,1.0
7,3,0.0,0.0,1.0
8,3,0.0,0.0,1.0
9,2,0.0,0.0,1.0
10,9,0.0,0.0,3.0
11,16,0.0,0.0,5.0
12,23,0.0,0.0,9.0
13,35,0.0,0.0,14.0
14,33,0.0,0.0,16.0
15,23,0.0,0.0,18.0
16,25,0.0,0.0,19.0
17,16,0.0,0.0,23.0
18,28,0.0,0.0,25.0
19,27,0.0,0.0,27.0
20,30,0.0,0.0,29.0
21,64,0.0,0.0,30.0
22,43,0.0,0.0,33.0
23,31,0.0,0.0,37.0
24,32,0.0,0.0,42.0
25,31,0.0,0.0,44.0
26,36,0.0,0.0,46.0
27,28,0.0,0.0,49.0
28,25,0.0,0.0,52.0
29,30,0.0,0.0,58.0
30,32,0.0,0.0,58.0
31,23,0.0,0.0,61.0
32,25,0.0,0.0,65.0
33,31,0.0,0.0,76.0
34,24,0.0,0.0,81.0
35,23,0.0,0.0,79.0
36,19,0.0,0.0,83.0
37,22,0.0,0.0,86.0
38,27,0.0,0.0,91.0
39,24,0.0,0.0,95.0
40,20,0.0,0.0,103.0
41,24,0.0,0.0,108.0
42,31,0.0,0.0,116.0
43,20,0.0,0.0,125.0
44,16,8.0,0.0,139.0
45,14,0.0,0.0,160.0
46,11,0.0,0.0,167.0
47,8,0.0,0.0,169.0
48,9,0.0,0.0,177.0
49,8,0.0,0.0,184.0
50,5,0.0,0.0,190.0
51,11,0.0,0.0,193.0
52,6,2.0,0.0,186.0
53,10,3.0,0.0,182.0
54,1,1.0,0.0,184.0
55,3,0.0,0.0,183.0
56,2,0.0,0.0,182.0
57,5,0.0,0.0,183.0
58,3,0.0,0.0,188.0
59,5,3.0,0.0,199.0
60,8,13.0,0.0,212.0
61,8,30.0,0.0,228.0
62,9,40.0,0.0,243.0
63,14,42.0,0.0,249.0
64,14,54.0,0.0,259.0
65,15,62.0,0.0,261.0
66,18,71.0,0.0,267.0
67,18,82.0,0.0,272.0
68,15,78.0,0.0,290.0
69,18,72.0,0.0,302.0
70,22,82.0,0.0,295.0
71,20,81.0,0.0,306.0
72,18,87.0,0.0,309.0
73,19,91.0,0.0,310.0
74,30,94.0,0.0,317.0
75,37,101.0,0.0,314.0
76,31,105.0,0.0,320.0
77,34,109.0,0.0,310.0
78,26,99.0,0.0,323.0
79,30,102.0,0.0,315.0
80,23,90.0,0.0,337.0
81,28,105.0,0.0,333.0
82,32,112.0,0.0,332.0
83,14,97.0,0.0,355.0
84,22,101.0,0.0,354.0
85,28,105.0,0.0,357.0
86,30,95.0,0.0,355.0
87,36,81.0,0.0,360.0
88,21,74.0,0.0,370.0
89,13,74.0,0.0,380.0
90,23,80.0,0.0,376.0
91,30,78.0,0.0,369.0
92,32,73.0,0.0,362.0
93,28,57.0,0.0,370.0
94,24,59.0,0.0,367.0
95,26,51.0,0.0,358.0
96,15,49.0,0.0,360.0
97,24,53.0,0.0,347.0
98,13,48.0,0.0,345.0
99,14,44.0,0.0,339.0
100,12,36.0,0.0,342.0
101,8,35.0,0.0,338.0
102,9,35.0,0.0,334.0
103,6,34.0,0.0,332.0
104,4,30.0,0.0,335.0
105,7,30.0,0.0,332.0
106,6,38.0,0.0,331.0
107,9,50.0,0.0,334.0
108,17,69.0,0.0,329.0
109,20,82.0,0.0,326.0
110,15,90.0,0.0,335.0
111,15,98.0,0.0,332.0
112,21,101.0,0.0,332.0
113,10,98.0,0.0,349.0
114,26,108.0,0.0,337.0
115,23,118.0,0.0,336.0
116,33,134.0,0.0,324.0
117,28,136.0,0.0,320.0
118,16,129.0,0.0,338.0
119,28,158.0,0.0,323.0
120,29,171.0,0.0,315.0
121,26,174.0,0.0,325.0
122,25,180.0,0.0,333.0
123,21,199.0,0.0,331.0
124,24,208.0,0.0,333.0
125,19,213.0,0.0,344.0
126,21,217.0,0.0,351.0
127,19,227.0,0.0,354.0
128,21,239.0,0.0,355.0
129,29,248.0,0.0,347.0
130,17,254.0,0.0,360.0
131,32,269.0,0.0,349.0
132,25,277.0,0.0,351.0
133,16,275.0,0.0,354.0
134,21,280.0,0.0,354.0
135,16,285.0,0.0,353.0
136,22,295.0,0.0,354.0
137,26,303.0,0.0,354.0
138,16,308.0,0.0,356.0
139,20,313.0,0.0,352.0
140,33,312.0,0.0,342.0
141,18,318.0,0.0,355.0
142,24,319.0,0.0,355.0
143,7,315.0,0.0,366.0
144,20,322.0,0.0,363.0
145,14,317.0,0.0,371.0
146,11,318.0,0.0,378.0
147,12,318.0,0.0,382.0
148,18,313.0,0.0,380.0
149,14,307.0,0.0,373.0
150,8,298.0,0.0,378.0
151,7,293.0,0.0,382.0
152,10,289.0,0.0,377.0
153,5,284.0,0.0,381.0
154,13,295.0,0.0,374.0
155,8,304.0,0.0,379.0
156,10,330.0,0.0,389.0
157,17,351.0,0.0,383.0
158,7,357.0,0.0,395.0
159,17,372.0,0.0,391.0
160,8,368.0,0.0,399.0
161,10,381.0,0.0,400.0
162,15,390.0,0.0,397.0
163,12,404.0,0.0,396.0
164,31,405.0,0.0,390.0
165,21,386.0,0.0,405.0
166,19,393.0,0.0,412.0
167,19,401.0,0.0,409.0
168,25,409.0,0.0,405.0
169,22,411.0,0.0,407.0
170,23,418.0,0.0,406.0
171,29,422.0,0.0,402.0
172,19,431.0,0.0,404.0
173,22,442.0,0.0,402.0
174,22,437.0,0.0,405.0
175,27,442.0,0.0,405.0
176,20,444.0,0.0,410.0
177,18,442.0,0.0,416.0
178,16,444.0,0.0,426.0
179,22,455.0,0.0,418.0
180,18,449.0,0.0,424.0
181,28,451.0,0.0,411.0
