time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
0,17,0.0,0.0,0.0
1,6,0.0,0.0,0.0
2,9,0.0,0.0,1.0
3,8,0.0,0.0,1.0
4,5,0.0,0.0,1.0
5,2,0.0,0.0,1.0
6,2,0.0,0.0,1.0
7,3,0.0,0.0,1.0
8,3,0.0,0.0,1.0
9,2,0.0,0.0,1.0
10,9,0.0,0.0,3.0
11,16,0.0,0.0,5.0
12,23,0.0,0.0,9.0
13,35,0.0,0.0,14.0
14,33,0.0,0.0,16.0
15,23,0.0,0.0,18.0
16,24,0.0,0.0,20.0
17,17,0.0,0.0,23.0
18,28,0.0,0.0,25.0
19,26,0.0,0.0,28.0
20,31,0.0,0.0,29.0
21,64,0.0,0.0,30.0
22,42,0.0,0.0,34.0
23,26,0.0,0.0,43.0
24,36,0.0,0.0,44.0
25,24,0.0,0.0,53.0
26,35,0.0,0.0,56.0
27,29,0.0,0.0,58.0
28,24,0.0,0.0,62.0
29,31,0.0,0.0,67.0
30,24,0.0,0.0,75.0
31,22,0.0,0.0,79.0
32,26,0.0,0.0,82.0
33,30,0.0,0.0,94.0
34,27,1.0,0.0,95.0
35,27,0.0,0.0,90.0
36,25,0.0,0.0,88.0
37,16,0.0,0.0,97.0
38,21,0.0,0.0,108.0
39,19,0.0,0.0,117.0
40,21,0.0,0.0,124.0
41,19,0.0,0.0,134.0
42,33,0.0,0.0,140.0
43,19,0.0,0.0,150.0
44,20,4.0,0.0,164.0
45,15,0.0,0.0,180.0
46,9,0.0,0.0,189.0
47,6,1.0,0.0,192.0
48,12,1.0,0.0,197.0
49,8,0.0,0.0,205.0
50,8,0.0,0.0,208.0
51,12,1.0,0.0,209.0
52,3,1.0,0.0,207.0
53,8,3.0,0.0,204.0
54,8,3.0,0.0,197.0
55,4,3.0,0.0,194.0
56,7,1.0,0.0,190.0
57,6,0.0,0.0,191.0
58,3,2.0,0.0,194.0
59,9,4.0,0.0,202.0
60,7,14.0,0.0,216.0
61,8,27.0,0.0,236.0
62,10,36.0,0.0,251.0
63,9,45.0,0.0,255.0
64,12,50.0,0.0,274.0
65,8,57.0,0.0,284.0
66,15,64.0,0.0,295.0
67,18,72.0,0.0,303.0
68,14,76.0,0.0,314.0
69,12,81.0,0.0,321.0
70,19,91.0,0.0,317.0
71,24,98.0,0.0,316.0
72,16,102.0,0.0,323.0
73,22,111.0,0.0,316.0
74,32,108.0,0.0,327.0
75,31,118.0,0.0,327.0
76,30,124.0,0.0,332.0
77,35,127.0,0.0,322.0
78,25,123.0,0.0,330.0
79,22,127.0,0.0,329.0
80,17,135.0,0.0,337.0
81,22,152.0,0.0,337.0
82,22,167.0,0.0,338.0
83,24,170.0,0.0,333.0
84,19,162.0,0.0,347.0
85,30,161.0,0.0,353.0
86,26,150.0,0.0,356.0
87,36,136.0,0.0,361.0
88,24,129.0,0.0,368.0
89,27,136.0,0.0,357.0
90,35,131.0,0.0,352.0
91,31,115.0,0.0,358.0
92,32,102.0,0.0,359.0
93,40,95.0,0.0,346.0
94,21,82.0,0.0,361.0
95,24,79.0,0.0,349.0
96,25,67.0,0.0,351.0
97,22,60.0,0.0,351.0
98,21,49.0,0.0,347.0
99,15,38.0,0.0,347.0
100,13,37.0,0.0,342.0
101,15,35.0,0.0,332.0
102,9,36.0,0.0,327.0
103,8,35.0,0.0,323.0
104,9,33.0,0.0,319.0
105,5,33.0,0.0,318.0
106,7,37.0,0.0,320.0
107,18,43.0,0.0,320.0
108,18,55.0,0.0,321.0
109,8,63.0,0.0,335.0
110,23,77.0,0.0,330.0
111,19,85.0,0.0,323.0
112,22,93.0,0.0,317.0
113,12,92.0,0.0,330.0
114,19,104.0,0.0,323.0
115,25,114.0,0.0,320.0
116,31,124.0,0.0,316.0
117,19,127.0,0.0,320.0
118,24,130.0,0.0,320.0
119,20,153.0,0.0,319.0
120,13,169.0,0.0,324.0
121,30,188.0,0.0,314.0
122,37,193.0,0.0,311.0
123,31,200.0,0.0,311.0
124,19,201.0,0.0,326.0
125,19,209.0,0.0,334.0
126,23,215.0,0.0,337.0
127,19,222.0,0.0,343.0
128,30,236.0,0.0,333.0
129,33,241.0,0.0,325.0
130,23,242.0,0.0,337.0
131,20,251.0,0.0,344.0
132,23,266.0,0.0,341.0
133,16,266.0,0.0,342.0
134,18,269.0,0.0,347.0
135,26,275.0,0.0,335.0
136,26,276.0,0.0,341.0
137,34,286.0,0.0,331.0
138,10,287.0,0.0,343.0
139,27,297.0,0.0,327.0
140,21,295.0,0.0,330.0
141,18,311.0,0.0,333.0
142,22,317.0,0.0,330.0
143,14,315.0,0.0,332.0
144,30,323.0,0.0,318.0
145,21,317.0,0.0,320.0
146,13,315.0,0.0,328.0
147,16,314.0,0.0,329.0
148,17,309.0,0.0,328.0
149,20,303.0,0.0,315.0
150,16,289.0,0.0,317.0
151,9,279.0,0.0,324.0
152,6,275.0,0.0,323.0
153,7,274.0,0.0,321.0
154,6,287.0,0.0,319.0
155,9,303.0,0.0,316.0
156,10,329.0,0.0,326.0
157,13,349.0,0.0,325.0
158,11,359.0,0.0,329.0
159,18,375.0,0.0,323.0
160,9,369.0,0.0,332.0
161,13,382.0,0.0,330.0
162,12,389.0,0.0,332.0
163,13,402.0,0.0,331.0
164,21,406.0,0.0,332.0
165,21,399.0,0.0,335.0
166,18,410.0,0.0,339.0
167,16,417.0,0.0,340.0
168,16,427.0,0.0,343.0
169,24,432.0,0.0,340.0
170,14,439.0,0.0,348.0
171,18,456.0,0.0,342.0
172,20,471.0,0.0,337.0
173,24,481.0,0.0,334.0
174,26,473.0,0.0,336.0
175,22,473.0,0.0,346.0
176,13,477.0,0.0,356.0
177,14,483.0,0.0,358.0
178,16,490.0,0.0,363.0
179,24,496.0,0.0,358.0
180,19,490.0,0.0,363.0
181,15,486.0,0.0,369.0
