time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service,unmet_fleet_insufficient,unmet_away_flying,unmet_insufficient_battery,unmet_rounding_jitter,mean_age_at_service_bins,max_backlog_age_bins,backlog_over_threshold
0,2138,328.91423056482427,2466.9142305648243,0.0,328.9142305648222,313,162490.13673549576,162490.13673549576,2451,0.0,0.0,0.0,328.9142305648222,0.0,1,0.0
1,2432,363.8284611296499,2466.9142305648243,328.9142305648222,363.82846112964387,354,177060.5326483757,339550.6693838715,2949,0.0,0.0,0.0,363.82846112964387,0.11056322148429071,2,0.0
2,1539,379.97538431690464,1555.1469231872604,363.82846112964387,379.975384316905,375,151996.8728744006,491547.54225827206,2108,0.0,0.0,0.0,379.975384316905,0.1579170026511929,3,0.0
3,1555,380.1223075041653,1555.1469231872604,379.975384316905,380.12230750416603,372,153003.6289422785,644551.1712005506,2077,0.0,0.0,0.0,380.12230750416603,0.18569185241955374,4,0.0
4,816,385.65597580003555,821.5336682958699,380.12230750416603,385.65597580003595,378,133772.16084370727,778323.3320442579,1359,0.0,0.0,0.0,385.65597580003595,0.2652231516090237,5,0.0
5,821,386.1896440959058,821.5336682958699,385.65597580003595,386.1896440959059,379,133658.33046789645,911981.6625121543,1310,0.0,0.0,0.0,386.1896440959059,0.32034674896717535,6,0.0
6,447,381.40541832421854,442.2157742283127,386.1896440959059,381.4054183242182,376,124981.42210701045,1036963.0846191648,936,0.0,0.0,0.0,381.4054183242182,0.43402424384958405,7,0.0
7,443,380.62119255253083,442.2157742283127,381.4054183242182,380.6211925525316,375,124747.61043182769,1161710.6950509925,912,0.0,0.0,0.0,380.6211925525316,0.4549348830034352,8,0.0
8,393,390.42583716186573,402.8046446093333,380.6211925525316,390.4258371618651,382,124039.48027778372,1285750.1753287762,865,0.0,0.0,0.0,390.4258371618651,0.5950551945175859,9,0.0
9,398,395.23048177119915,402.8046446093333,390.4258371618651,395.2304817711983,389,124573.4166380472,1410323.5919668234,849,0.0,0.0,0.0,395.2304817711983,0.5992843273197858,10,0.0
10,1102,384.03672899127923,1090.8062472200818,395.2304817711983,384.0367289912805,379,147258.89444225776,1557582.4864090811,1540,0.0,0.0,0.0,384.0367289912805,0.5209996251733531,11,24.545299829190185
11,1081,393.8429762113615,1090.8062472200818,384.0367289912805,393.8429762113623,389,146224.55088954928,1703807.0372986305,1500,0.0,0.0,0.0,393.8429762113623,0.33796997411101626,12,46.170872565178286
12,2386,409.59317729231225,2401.750201080949,393.8429762113623,409.59317729231117,404,185302.83049186913,1889109.8677904997,2825,0.0,0.0,0.0,409.59317729231117,0.2726457509168194,13,41.64582778750232
13,2396,415.3433783732621,2401.750201080949,409.59317729231117,415.34337837326103,539,197764.25754879438,2086874.125339294,3035,0.0,0.0,0.0,415.34337837326103,0.23426666949455022,14,37.190293226783815
14,3192,423.2827546086064,3199.939376235344,415.34337837326103,423.28275460860334,776,229948.46228223658,2316822.5876215305,4082,0.0,0.0,0.0,423.28275460860334,0.20126847107741158,15,24.135821152723597
15,3194,429.22213084394843,3199.939376235344,423.28275460860334,429.22213084394656,660,224496.95301979673,2541319.5406413274,4810,0.0,0.0,0.0,429.22213084394656,0.1463754721821224,16,19.187880293804803
16,3597,431.92971296826727,3599.7075821243193,429.22213084394656,431.9297129682692,667,234196.38342201375,2775515.924063341,5232,0.0,0.0,0.0,431.9297129682692,0.13937403285043892,17,13.574554793670533
17,3606,425.63729509258974,3599.7075821243193,431.9297129682692,425.6372950925909,583,230513.33479711445,3006029.258860456,5402,0.0,0.0,0.0,425.6372950925909,0.13037748939546884,18,9.187971163248443
18,4282,428.36149029921944,4284.724195206631,425.6372950925909,428.36149029922115,573,240580.89882403967,3246610.1576844957,6082,0.0,0.0,0.0,428.36149029922115,0.10575689399032051,19,7.189370760361908
19,4284,429.08568550584823,4284.724195206631,428.36149029922115,429.0856855058517,573,240757.1317613378,3487367.2894458333,5778,0.0,0.0,0.0,429.0856855058517,0.10275148303396929,20,5.3177489884042055
20,4283,433.4261563183436,4287.340470812489,429.0856855058517,433.4261563183465,555,231006.27469252137,3718373.5641383547,5746,0.0,0.0,0.0,433.4261563183465,0.08839693193600708,21,4.767272300385279
21,4292,428.76662713083897,4287.340470812489,433.4261563183465,428.76662713084016,530,230168.26815156647,3948541.832289921,5507,0.0,0.0,0.0,428.76662713084016,0.09833869457061149,22,4.164692500890472
22,4112,452.3955627142468,4135.628935583407,428.76662713084016,452.39556271424874,535,221977.14296988212,4170518.9752598032,5342,0.0,0.0,0.0,452.39556271424874,0.08818574996308641,23,4.818454000627371
23,4164,424.0244982976528,4135.628935583407,452.39556271424874,424.02449829765754,487,223717.03082947485,4394236.0060892785,5196,0.0,0.0,0.0,424.02449829765754,0.1048838869356661,24,5.319712569642455
24,4188,438.60088914306834,4202.576390845415,424.02449829765754,438.6008891430708,491,225771.98112337288,4620007.987212651,5251,0.0,0.0,0.0,438.6008891430708,0.10613444514948873,25,5.9600120713489515
25,4223,418.17727998848204,4202.576390845415,438.6008891430708,418.1772799884834,478,227763.1874175885,4847771.17463024,5264,0.0,0.0,0.0,418.1772799884834,0.10813386685566781,26,7.454926002520505
26,4602,432.87437343868896,4616.697093450209,418.1772799884834,432.87437343869146,480,235101.1454490907,5082872.32007933,5652,0.0,0.0,0.0,432.87437343869146,0.09202264163092833,27,9.083715718791316
27,4599,450.5714668888977,4616.697093450209,432.87437343869146,450.57146688889935,490,234416.48251927015,5317288.8025986,5953,0.0,0.0,0.0,450.57146688889935,0.08555185817169973,28,10.373926501958904
28,4564,428.90012922346614,4542.3286623345675,450.57146688889935,428.90012922347114,447,235659.58348177825,5552948.386080379,5875,0.0,0.0,0.0,428.90012922347114,0.0945450864427024,29,11.032281269493911
29,4527,444.2287915580364,4542.3286623345675,428.90012922347114,444.2287915580425,462,234237.9146081429,5787186.300688522,6015,0.0,0.0,0.0,444.2287915580425,0.08704178765532412,30,12.734199166909065
