time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service,unmet_fleet_insufficient,unmet_away_flying,unmet_insufficient_battery,unmet_rounding_jitter,mean_age_at_service_bins,max_backlog_age_bins,backlog_over_threshold
0,1187,344.4285714285729,1531.428571428573,0.0,344.4285714285712,333,164432.94625034023,164432.94625034023,1520,0.0,0.0,0.0,344.4285714285712,0.0,1,0.0
1,1513,362.8571428571431,1531.428571428573,344.4285714285712,362.85714285714283,358,182013.38441316033,346446.3306635006,1902,0.0,0.0,0.0,362.85714285714283,0.19069650332042923,2,0.0
2,830,383.0714285714289,850.2142857142829,362.85714285714283,383.0714285714286,377,150742.1780360486,497188.5086995492,1270,0.0,0.0,0.0,383.0714285714286,0.29632816982214577,3,0.0
3,842,391.28571428571513,850.2142857142829,383.0714285714286,391.2857142857143,386,151753.05369352648,648941.5623930757,1270,0.0,0.0,0.0,391.2857142857143,0.34385250537269557,4,0.0
4,448,387.95238095237755,444.66666666666583,391.2857142857143,387.95238095238034,384,133435.75733046807,782377.3197235437,875,0.0,0.0,0.0,387.95238095238034,0.489477040816327,5,0.0
5,454,378.6190476190437,444.66666666666583,387.95238095238034,378.61904761904765,373,133717.01426225685,916094.3339858006,853,0.0,0.0,0.0,378.61904761904765,0.6154814348646953,6,0.0
6,255,384.2619047619015,260.6428571428569,378.61904761904765,384.2619047619053,377,124890.17387124506,1040984.5078570456,657,0.0,0.0,0.0,384.2619047619053,0.6178338001867418,7,0.0
7,242,402.9047619047591,260.6428571428569,384.2619047619053,402.9047619047617,399,124934.98772002515,1165919.4955770709,670,0.0,0.0,0.0,402.9047619047617,0.6314443132624954,8,0.0
8,248,413.52380952380474,258.6190476190476,402.9047619047617,413.52380952380975,408,126086.6501576522,1292006.145734723,686,0.0,0.0,0.0,413.52380952380975,0.9266513056835642,9,0.0
9,263,409.1428571428527,258.6190476190476,413.52380952380975,409.14285714285677,401,126816.45219821009,1418822.5979329331,692,0.0,0.0,0.0,409.14285714285677,0.9221437624479446,10,0.0
10,733,400.1428571428539,723.9999999999991,409.14285714285677,400.14285714285705,394,154075.83242697926,1572898.4303599123,1155,0.0,0.0,0.0,400.14285714285705,0.8956343792633055,11,20.023809523809522
11,713,411.1428571428544,723.9999999999991,400.14285714285705,411.1428571428571,404,153443.09864001448,1726341.5289999268,1132,0.0,0.0,0.0,411.1428571428571,0.543144326454286,12,37.1904761904762
12,1791,402.19047619047933,1782.0476190476195,411.1428571428571,402.19047619047626,394,201889.9403959259,1928231.4693958526,2198,0.0,0.0,0.0,402.19047619047626,0.5233176464332194,13,27.40476190476195
13,1778,406.23809523809814,1782.0476190476195,402.19047619047626,406.23809523809575,896,237135.75715832927,2165367.226554182,2745,0.0,0.0,0.0,406.23809523809575,0.24602281857624958,14,29.000000000000064
14,2624,423.5238095238119,2641.285714285716,406.23809523809575,423.5238095238097,1032,260819.96082684942,2426187.1873810315,3720,0.0,0.0,0.0,423.5238095238097,0.24964612369337927,15,15.61904761904758
15,2628,436.8095238095261,2641.285714285716,423.5238095238097,436.8095238095241,829,249231.58881807252,2675418.776199104,4025,0.0,0.0,0.0,436.8095238095241,0.18082735377255899,16,11.428571428571402
16,2912,440.3333333333303,2915.5238095238087,436.8095238095241,440.3333333333339,817,259204.7929403764,2934623.56913948,4298,0.0,0.0,0.0,440.3333333333339,0.16362506541077937,17,8.261904761904743
17,2928,427.85714285713993,2915.5238095238087,440.3333333333339,427.85714285714295,652,250877.82486376248,3185501.3940032427,4360,0.0,0.0,0.0,427.85714285714295,0.15104573250065076,18,6.761904761904747
18,3141,425.8095238095261,3138.9523809523835,427.85714285714295,425.80952380952357,648,259278.90191748634,3444780.295920729,4568,0.0,0.0,0.0,425.80952380952357,0.1410909476812055,19,5.452380952380941
19,3132,432.76190476190686,3138.9523809523835,425.80952380952357,432.7619047619048,674,260723.2421577485,3705503.5380784776,4237,0.0,0.0,0.0,432.7619047619048,0.13229033631332462,20,4.571428571428564
20,2771,438.19047619047706,2776.428571428573,432.7619047619048,438.19047619047575,613,239301.14695632545,3944804.685034803,3792,0.0,0.0,0.0,438.19047619047575,0.14799539447680907,21,4.476190476190468
21,2774,440.61904761904816,2776.428571428573,438.19047619047575,440.6190476190475,590,235951.32137675933,4180756.0064115627,3649,0.0,0.0,0.0,440.6190476190475,0.14479692381639006,22,4.666666666666658
22,2540,430.97619047618855,2530.3571428571413,440.6190476190475,430.9761904761906,540,225405.7529869062,4406161.759398469,3358,0.0,0.0,0.0,430.9761904761906,0.16009561304836906,23,5.190476190476179
23,2510,451.3333333333312,2530.3571428571413,430.9761904761906,451.3333333333345,533,222748.39807282877,4628910.157471297,3252,0.0,0.0,0.0,451.3333333333345,0.16148738379814062,24,5.523809523809511
24,2675,432.38095238095684,2656.0476190476234,451.3333333333345,432.38095238095246,501,231925.21026237824,4860835.367733676,3389,0.0,0.0,0.0,432.38095238095246,0.17641299510458422,25,6.166666666666652
25,2645,443.42857142857474,2656.0476190476234,432.38095238095246,443.42857142857133,525,231453.94365546852,5092289.3113891445,3450,0.0,0.0,0.0,443.42857142857133,0.1530020703933745,26,7.238095238095221
26,2992,432.47619047619355,2981.047619047622,443.42857142857133,432.4761904761899,495,239989.46653242552,5332278.77792157,3751,0.0,0.0,0.0,432.4761904761899,0.15929781003310386,27,7.285714285714269
27,2983,430.5238095238119,2981.047619047622,432.4761904761899,430.5238095238091,474,238085.9122732553,5570364.690194826,3853,0.0,0.0,0.0,430.5238095238091,0.15370432450553115,28,7.0476190476190315
