time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,8,3275.861101449657,6808.610483975113,14
2,9,1.0,10.0,0.0,1.0,11,3524.2695844992577,10332.880068474371,20
3,8,1.0,8.0,1.0,1.0,9,3407.965269194227,13740.845337668597,17
4,5,1.0,5.0,1.0,1.0,8,3417.0131520733203,17157.858489741917,13
5,2,1.0,2.0,1.0,1.0,12,3249.9740610500985,20407.832550792016,14
6,2,1.0,2.0,1.0,1.0,10,3196.031021134594,23603.86357192661,12
7,3,1.0,3.0,1.0,1.0,14,3313.345813921315,26917.209385847924,17
8,3,1.0,3.0,1.0,1.0,16,3409.604092952653,30326.813478800577,19
9,2,1.0,2.0,1.0,1.0,15,3314.6709505698864,33641.48442937047,17
10,9,3.0,11.0,1.0,3.0,18,3705.4927529248203,37346.97718229529,27
11,16,5.0,18.0,3.0,5.0,20,4024.078550000632,41371.05573229592,36
12,23,9.0,27.0,5.0,9.0,30,4537.721044662296,45908.77677695821,53
13,35,14.0,40.0,9.0,14.0,38,5876.699459495627,51785.47623645384,73
14,33,16.0,35.0,14.0,16.0,48,6225.015129230695,58010.49136568453,81
15,23,18.0,25.0,16.0,18.0,43,5042.010858554185,63052.50222423871,66
16,25,19.0,26.0,18.0,19.0,53,5844.860144905695,68897.36236914441,78
17,16,23.0,20.0,19.0,23.0,62,4712.960326723495,73610.3226958679,78
18,28,25.0,30.0,23.0,25.0,70,5253.804050628013,78864.12674649591,98
19,26,28.0,29.0,25.0,28.0,78,5321.74974296164,84185.87648945754,104
20,30,30.0,32.0,28.0,30.0,82,5263.948373681729,89449.82486313928,112
21,46,49.0,65.0,30.0,49.0,100,6509.631631039604,95959.45649417888,146
22,29,66.0,46.0,49.0,66.0,123,6568.290735821036,102527.74722999992,152
23,51,50.0,35.0,66.0,50.0,117,6798.718333381548,109326.46556338147,168
24,31,56.0,37.0,50.0,56.0,133,6390.714003190717,115717.17956657219,164
25,28,61.0,33.0,56.0,61.0,145,6752.521047981392,122469.70061455359,173
26,23,76.0,38.0,61.0,76.0,166,7017.988029251535,129487.68864380512,189
27,25,82.0,31.0,76.0,82.0,178,7781.752541411652,137269.44118521677,203
28,16,94.0,28.0,82.0,94.0,193,7933.709680712521,145203.1508659293,209
29,20,110.0,36.0,94.0,110.0,217,9058.347156263368,154261.49802219265,237
30,19,123.0,32.0,110.0,123.0,178,6983.8921702938915,161245.39019248655,197
31,13,136.0,26.0,123.0,136.0,165,5884.837254279413,167130.22744676596,178
32,10,155.0,29.0,136.0,155.0,154,5600.70347580353,172730.93092256947,164
33,14,183.0,42.0,155.0,183.0,168,5760.566015794291,178491.49693836377,182
34,16,196.0,29.0,183.0,196.0,147,5401.550045485866,183893.04698384964,163
35,10,207.0,21.0,196.0,207.0,167,5552.597358812034,189445.64434266166,177
36,10,220.0,23.0,207.0,220.0,159,5392.962315842287,194838.60665850394,169
37,9,236.0,25.0,220.0,236.0,163,5363.378232125975,200201.98489062992,172
38,13,255.0,32.0,236.0,255.0,146,5171.3832302056235,205373.36812083554,159
39,14,269.0,28.0,255.0,269.0,176,5667.817691944985,211041.18581278052,190
40,10,287.0,28.0,269.0,287.0,187,5618.477549306803,216659.66336208733,197
41,9,307.0,29.0,287.0,307.0,136,4898.081067389283,221557.74442947662,145
42,12,334.0,39.0,307.0,334.0,180,5544.376240440526,227102.12066991715,192
43,9,354.0,29.0,334.0,354.0,180,5455.777372512069,232557.8980424292,189
44,13,379.0,38.0,354.0,379.0,168,5363.140050771301,237921.0380932005,181
45,7,399.0,27.0,379.0,399.0,162,5211.031992976166,243132.07008617668,169
46,7,410.0,18.0,399.0,410.0,192,5494.701834408705,248626.7719205854,199
47,7,413.0,10.0,410.0,413.0,168,5241.337807206088,253868.10972779148,175
48,6,424.0,17.0,413.0,424.0,161,5128.619090331316,258996.7288181228,167
49,6,433.0,15.0,424.0,433.0,199,5522.275489686801,264519.0043078096,205
50,6,438.0,11.0,433.0,438.0,172,5259.198775323145,269778.20308313274,178
51,3,449.0,14.0,438.0,449.0,162,5102.477608243342,274880.6806913761,165
52,0,450.0,1.0,449.0,450.0,217,5656.415114057118,280537.09580543323,217
53,5,452.0,7.0,450.0,452.0,178,5295.900775150228,285832.99658058345,183
54,2,451.0,1.0,452.0,451.0,152,4940.980488499154,290773.9770690826,154
55,0,452.0,1.0,451.0,452.0,214,5597.335831178263,296371.31290026085,214
56,1,452.0,1.0,452.0,452.0,172,5150.413852862138,301521.726753123,173
57,3,455.0,6.0,452.0,455.0,161,5060.518901613992,306582.245654737,164
58,1,462.0,8.0,455.0,462.0,225,5795.67616202504,312377.921816762,226
59,7,474.0,19.0,462.0,474.0,159,5088.403046688046,317466.3248634501,166
60,4,501.0,31.0,474.0,501.0,179,5361.111064797942,322827.43592824804,183
61,2,540.0,41.0,501.0,540.0,211,5584.875405935888,328412.3113341839,213
62,4,570.0,34.0,540.0,570.0,161,5068.2820224828465,333480.59335666674,165
63,5,587.0,22.0,570.0,587.0,170,5233.657463419034,338714.25082008576,175
64,4,619.0,36.0,587.0,619.0,215,5652.818769605485,344367.06958969124,219
65,4,640.0,25.0,619.0,640.0,165,5102.430170798609,349469.49976048985,169
66,2,671.0,33.0,640.0,671.0,160,5012.991378906882,354482.49113939673,162
67,4,701.0,34.0,671.0,701.0,211,5614.861264143812,360097.3524035406,215
68,6,724.0,29.0,701.0,724.0,162,5109.448404647368,365206.8008081879,168
69,5,743.0,24.0,724.0,743.0,179,5306.520122588532,370513.3209307765,184
70,7,761.0,25.0,743.0,761.0,218,5754.312329991154,376267.6332607676,225
71,4,787.0,30.0,761.0,787.0,161,5042.567809477955,381310.2010702456,165
72,5,809.0,27.0,787.0,809.0,161,5111.1256259432375,386421.32669618883,166
73,4,829.0,24.0,809.0,829.0,216,5692.455880414607,392113.78257660347,220
74,8,861.0,40.0,829.0,861.0,160,5097.47507112728,397211.25764773076,168
75,11,891.0,41.0,861.0,891.0,161,5118.495051636928,402329.7526993677,172
76,5,927.0,41.0,891.0,927.0,218,5727.654956207112,408057.4076555748,223
77,7,948.0,28.0,927.0,948.0,162,5097.13068069216,413154.53833626694,169
78,7,970.0,29.0,948.0,970.0,177,5304.601751287265,418459.14008755423,184
79,6,989.0,25.0,970.0,989.0,190,5381.5389152150055,423840.67900276923,196
80,4,1018.0,33.0,989.0,1018.0,171,5161.114813026992,429001.7938157962,175
81,9,1048.0,39.0,1018.0,1048.0,172,5230.343082906637,434232.1368987028,181
