time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,0,3122.19608953731,6654.945472062766,6
2,9,1.0,10.0,0.0,1.0,1,3312.511484411849,9967.456956474616,10
3,8,1.0,8.0,1.0,1.0,1,3224.0526928230884,13191.509649297705,9
4,5,1.0,5.0,1.0,1.0,1,3146.4536117589664,16337.963261056671,6
5,2,1.0,2.0,1.0,1.0,1,3057.9389770637335,19395.902238120405,3
6,2,1.0,2.0,1.0,1.0,1,3049.1124808724503,22445.014718992854,3
7,3,1.0,3.0,1.0,1.0,1,3100.3823659511695,25545.397084944023,4
8,3,1.0,3.0,1.0,1.0,1,3173.224263030676,28718.6213479747,4
9,2,1.0,2.0,1.0,1.0,1,3098.9362511821246,31817.557599156822,3
10,9,3.0,11.0,1.0,3.0,3,3478.346874373922,35295.90447353075,12
11,16,5.0,18.0,3.0,5.0,7,3834.6339731590474,39130.538446689796,23
12,23,9.0,27.0,5.0,9.0,19,4335.7546889962905,43466.293135686086,42
13,35,14.0,40.0,9.0,14.0,29,5568.871577535369,49035.16471322146,64
14,33,16.0,35.0,14.0,16.0,22,4828.487158085279,53863.651871306734,55
15,23,18.0,25.0,16.0,18.0,25,4332.021600406171,58195.67347171291,48
16,24,20.0,26.0,18.0,20.0,34,4645.683789281959,62841.35726099487,58
17,16,24.0,20.0,20.0,24.0,44,4518.949078444482,67360.30633943935,60
18,29,25.0,30.0,24.0,25.0,44,4887.565737041927,72247.87207648128,73
19,27,27.0,29.0,25.0,27.0,51,5171.585611642818,77419.4576881241,78
20,30,29.0,32.0,27.0,29.0,51,4919.710530949258,82339.16821907336,81
21,64,30.0,65.0,29.0,30.0,47,6239.471563285469,88578.63978235882,111
22,41,35.0,46.0,30.0,35.0,57,5372.312348395242,93950.95213075406,98
23,29,41.0,35.0,35.0,41.0,69,5513.391107726544,99464.3432384806,98
24,35,43.0,37.0,41.0,43.0,73,5822.348273606137,105286.69151208673,108
25,27,49.0,33.0,43.0,49.0,72,5262.416756786618,110549.10826887336,99
26,34,53.0,38.0,49.0,53.0,76,5370.370241133221,115919.47851000658,110
27,23,61.0,31.0,53.0,61.0,88,5466.203030206138,121385.68154021271,111
28,27,62.0,28.0,61.0,62.0,93,5834.701042731236,127220.38258294394,120
29,32,66.0,36.0,62.0,66.0,94,5723.2561048940315,132943.63868783799,126
30,24,74.0,32.0,66.0,74.0,105,5668.365867367815,138612.0045552058,129
31,21,79.0,26.0,74.0,79.0,114,5705.800880932955,144317.80543613876,135
32,21,87.0,29.0,79.0,87.0,127,6145.795319571381,150463.60075571015,148
33,31,98.0,42.0,87.0,98.0,138,7265.695694766615,157729.29645047677,169
34,25,102.0,29.0,98.0,102.0,146,6723.59394238463,164452.89039286142,171
35,21,102.0,21.0,102.0,102.0,146,7010.551172806789,171463.4415656682,167
36,18,107.0,23.0,102.0,107.0,157,7504.543648240198,178967.9852139084,175
37,17,115.0,25.0,107.0,115.0,159,7243.790995503925,186211.77620941232,176
38,24,123.0,32.0,115.0,123.0,162,7379.976240270915,193591.75244968323,186
39,13,138.0,28.0,123.0,138.0,165,7014.416960771168,200606.1694104544,178
40,18,148.0,28.0,138.0,148.0,129,5398.449098489011,206004.61850894341,147
