time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,0,3122.19608953731,6654.945472062766,6
2,9,1.0,10.0,0.0,1.0,1,3312.511484411849,9967.456956474616,10
3,8,1.0,8.0,1.0,1.0,1,3224.0526928230884,13191.509649297705,9
4,5,1.0,5.0,1.0,1.0,1,3146.4536117589664,16337.963261056671,6
5,2,1.0,2.0,1.0,1.0,1,3057.9389770637335,19395.902238120405,3
6,2,1.0,2.0,1.0,1.0,1,3049.1124808724503,22445.014718992854,3
7,3,1.0,3.0,1.0,1.0,1,3100.3823659511695,25545.397084944023,4
8,3,1.0,3.0,1.0,1.0,1,3173.224263030676,28718.6213479747,4
9,2,1.0,2.0,1.0,1.0,1,3098.9362511821246,31817.557599156822,3
10,9,3.0,11.0,1.0,3.0,3,3478.346874373922,35295.90447353075,12
11,16,5.0,18.0,3.0,5.0,7,3834.6339731590474,39130.538446689796,23
12,23,9.0,27.0,5.0,9.0,19,4335.7546889962905,43466.293135686086,42
13,35,14.0,40.0,9.0,14.0,29,5568.871577535369,49035.16471322146,64
14,33,16.0,35.0,14.0,16.0,21,4805.253719085218,53840.41843230667,54
15,23,18.0,25.0,16.0,18.0,21,4242.798303091887,58083.21673539856,44
16,24,20.0,26.0,18.0,20.0,31,4604.964775636238,62688.181511034796,55
17,17,23.0,20.0,20.0,23.0,39,4462.950604917603,67151.1321159524,56
18,28,25.0,30.0,23.0,25.0,40,4799.311974954333,71950.44409090673,68
19,26,28.0,29.0,25.0,28.0,47,5085.415756268047,77035.85984717478,73
20,31,29.0,32.0,28.0,29.0,46,5035.279809260114,82071.1396564349,77
21,64,30.0,65.0,29.0,30.0,44,6290.953504960462,88362.09316139536,108
22,42,34.0,46.0,30.0,34.0,51,5443.9219927414215,93806.01515413678,93
23,26,43.0,35.0,34.0,43.0,74,5757.002029886553,99563.01718402334,100
24,36,44.0,37.0,43.0,44.0,61,5435.439220213526,104998.45640423686,97
25,24,53.0,33.0,44.0,53.0,67,5205.828184105094,110204.28458834195,91
26,35,56.0,38.0,53.0,56.0,71,5375.394791591566,115579.67937993351,106
27,29,58.0,31.0,56.0,58.0,70,5356.341947088544,120936.02132702206,99
28,24,62.0,28.0,58.0,62.0,81,5616.299022164034,126552.32034918609,105
29,31,67.0,36.0,62.0,67.0,80,5472.26423988045,132024.58458906654,111
30,24,75.0,32.0,67.0,75.0,86,5469.531025132107,137494.11561419864,110
31,22,79.0,26.0,75.0,79.0,95,5599.370809614948,143093.4864238136,117
32,26,82.0,29.0,79.0,82.0,92,5875.830437161194,148969.3168609748,118
33,30,94.0,42.0,82.0,94.0,105,6231.66186721739,155200.9787281922,135
34,27,96.0,29.0,94.0,96.0,108,6034.446165836226,161235.4248940284,135
35,27,90.0,21.0,96.0,90.0,99,6069.367491258743,167304.79238528715,126
36,25,88.0,23.0,90.0,88.0,97,6343.456432006313,173648.24881729347,122
37,16,97.0,25.0,88.0,97.0,121,6571.2480245713905,180219.49684186486,137
38,21,108.0,32.0,97.0,108.0,129,6921.887631266451,187141.38447313133,150
39,19,117.0,28.0,108.0,117.0,135,6979.999419065867,194121.3838921972,154
40,21,124.0,28.0,117.0,124.0,132,7056.099856642584,201177.48374883976,153
