time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,2032.7493825254564,2032.7493825254564,17
1,6,0.0,6.0,0.0,0.0,1622.19608953731,3654.9454720627664,6
2,10,0.0,10.0,0.0,0.0,1899.6931983615261,5554.638670424292,10
3,8,0.0,8.0,0.0,0.0,1700.819253823028,7255.45792424732,8
4,5,0.0,5.0,0.0,0.0,1623.220172758906,8878.678097006226,5
5,2,0.0,2.0,0.0,0.0,1534.7055380636732,10413.3836350699,2
6,2,0.0,2.0,0.0,0.0,1525.87904187239,11939.26267694229,2
7,3,0.0,3.0,0.0,0.0,1577.1489269511094,13516.411603893399,3
8,3,0.0,3.0,0.0,0.0,1649.9908240306154,15166.402427924015,3
9,2,0.0,2.0,0.0,0.0,1575.7028121820642,16742.10524010608,2
10,11,0.0,11.0,0.0,0.0,2116.278127585454,18858.383367691535,11
11,18,0.0,18.0,0.0,0.0,2390.2167952182,21248.600162909734,18
12,25,2.0,27.0,0.0,2.0,2624.420635356887,23873.02079826662,25
13,36,6.0,40.0,2.0,6.0,3280.667780497808,27153.688578764428,36
14,28,13.0,35.0,6.0,13.0,2675.887883537362,29829.57646230179,28
15,18,20.0,25.0,13.0,20.0,2256.666783579774,32086.243245881564,18
16,23,23.0,26.0,20.0,23.0,2319.0009869717205,34405.244232853285,23
17,17,26.0,20.0,23.0,26.0,2169.591984316129,36574.83621716942,17
18,23,33.0,30.0,26.0,33.0,2346.373963482187,38921.2101806516,23
19,24,38.0,29.0,33.0,38.0,2403.020053429512,41324.230234081115,24
20,21,49.0,32.0,38.0,49.0,2244.2786284379263,43568.50886251904,21
21,56,58.0,65.0,49.0,58.0,3632.899429215776,47201.40829173481,56
22,38,66.0,46.0,58.0,66.0,2565.8047160003116,49767.213007735125,38
23,22,79.0,35.0,66.0,79.0,2219.2748192000568,51986.48782693518,22
24,22,94.0,37.0,79.0,94.0,2519.712764818634,54506.20059175382,22
25,22,105.0,33.0,94.0,105.0,2327.5893865076396,56833.789978261455,22
