time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,60,0.0,60.0,0.0,0.0,0,4569.5186428147135,4569.5186428147135,60
1,32,0.0,32.0,0.0,0.0,0,3820.885658351018,8390.40430116573,32
2,27,0.0,27.0,0.0,0.0,0,3469.2226615697127,11859.626962735443,27
3,30,0.0,30.0,0.0,0.0,0,3595.748144632365,15455.375107367809,30
4,19,0.0,19.0,0.0,0.0,0,3356.034418671496,18811.409526039304,19
5,9,0.0,9.0,0.0,0.0,0,3158.9755052692976,21970.3850313086,9
6,10,0.0,10.0,0.0,0.0,0,3168.7971118490227,25139.182143157625,10
7,3,2.0,5.0,0.0,2.0,0,3050.9680307580697,28190.150173915696,3
8,2,4.0,4.0,2.0,4.0,0,3018.100851305452,31208.251025221147,2
9,4,5.0,5.0,4.0,5.0,0,3044.575855991147,34252.82688121229,4
10,22,6.0,23.0,5.0,6.0,0,3849.058284140133,38101.885165352425,22
11,33,8.0,35.0,6.0,8.0,0,4402.777526503109,42504.662691855534,33
12,55,10.0,57.0,8.0,10.0,0,5416.777896696272,47921.440588551806,55
13,66,13.0,69.0,10.0,13.0,0,5636.094942345608,53557.53553089741,66
14,77,17.0,81.0,13.0,17.0,0,5297.57715948418,58855.11269038159,77
15,70,20.0,73.0,17.0,20.0,0,5222.2540242329405,64077.36671461453,70
16,85,33.0,98.0,20.0,33.0,0,5544.423616659238,69621.79033127378,85
17,98,46.0,111.0,33.0,46.0,0,5899.137821186394,75520.92815246017,98
18,97,67.0,118.0,46.0,67.0,0,6050.178493875512,81571.10664633568,97
19,102,99.0,134.0,67.0,99.0,0,5599.651297537623,87170.75794387331,102
20,110,122.0,133.0,99.0,122.0,0,6112.544183367945,93283.30212724126,110
21,113,149.0,140.0,122.0,149.0,0,6520.8847971542655,99804.18692439553,113
22,100,177.0,128.0,149.0,177.0,0,5585.639454689115,105389.82637908464,100
23,99,204.0,126.0,177.0,204.0,0,6320.24743708374,111710.07381616838,99
24,79,248.0,123.0,204.0,248.0,0,5002.854558375757,116712.92837454414,79
25,93,267.0,112.0,248.0,267.0,0,5717.2306545488,122430.15902909293,93
