time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,60,0.0,60.0,0.0,0.0,0,4569.5186428147135,4569.5186428147135,60
1,32,0.0,32.0,0.0,0.0,0,3820.885658351018,8390.40430116573,32
2,27,0.0,27.0,0.0,0.0,0,3469.2226615697127,11859.626962735443,27
3,30,0.0,30.0,0.0,0.0,0,3595.748144632365,15455.375107367809,30
4,19,0.0,19.0,0.0,0.0,0,3356.034418671496,18811.409526039304,19
5,9,0.0,9.0,0.0,0.0,0,3158.9755052692976,21970.3850313086,9
6,10,0.0,10.0,0.0,0.0,0,3168.7971118490227,25139.182143157625,10
7,3,2.0,5.0,0.0,2.0,0,3050.9680307580697,28190.150173915696,3
8,2,4.0,4.0,2.0,4.0,0,3018.100851305452,31208.251025221147,2
9,4,5.0,5.0,4.0,5.0,0,3044.575855991147,34252.82688121229,4
10,22,6.0,23.0,5.0,6.0,0,3849.058284140133,38101.885165352425,22
11,33,8.0,35.0,6.0,8.0,0,4402.777526503109,42504.662691855534,33
12,55,10.0,57.0,8.0,10.0,0,5416.777896696272,47921.440588551806,55
13,66,13.0,69.0,10.0,13.0,0,5636.094942345608,53557.53553089741,66
14,77,17.0,81.0,13.0,17.0,0,5297.57715948418,58855.11269038159,77
15,70,20.0,73.0,17.0,20.0,0,5222.2540242329405,64077.36671461453,70
16,85,33.0,98.0,20.0,33.0,0,5607.648609299322,69685.01532391386,85
17,98,46.0,111.0,33.0,46.0,0,5847.815155634782,75532.83047954865,98
18,99,65.0,118.0,46.0,65.0,0,6052.428253393396,81585.25873294205,99
19,107,92.0,134.0,65.0,92.0,0,5925.900754917322,87511.15948785938,107
20,98,127.0,133.0,92.0,127.0,0,5465.965614240538,92977.12510209992,98
21,112,155.0,140.0,127.0,155.0,0,6105.161769660402,99082.28687176033,112
22,110,173.0,128.0,155.0,173.0,0,5550.674991545626,104632.96186330596,110
23,94,205.0,126.0,173.0,205.0,0,6113.79704500859,110746.75890831454,94
24,83,245.0,123.0,205.0,245.0,0,5543.031355433672,116289.79026374822,83
25,87,270.0,112.0,245.0,270.0,0,5854.314510903645,122144.10477465186,87
