time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,4356,2103.5238095238046,6459.523809523805,0.0,2103.5238095238165,0,136086.5679149708,136086.5679149708,4356
1,3845,4718.047619047627,6459.523809523805,2103.5238095238165,4718.047619047626,0,128552.32893323636,264638.89684820717,4623
2,3621,5263.476190476204,4166.428571428578,4718.047619047626,5263.476190476196,0,132481.2688357196,397120.1656839268,4136
3,3519,5910.904761904774,4166.428571428578,5263.476190476196,5910.904761904769,0,124069.0088427816,521189.1745267084,4092
4,2424,5748.119047619054,2261.214285714292,5910.904761904769,5748.119047619055,0,101407.15026090873,622596.3247876171,3280
5,2063,5946.33333333334,2261.214285714292,5748.119047619055,5946.333333333344,0,88554.50556654189,711150.830354159,2484
6,1597,5603.809523809528,1254.47619047619,5946.333333333344,5603.80952380953,0,75628.35263603867,786779.1829901977,2254
7,1473,5385.285714285715,1254.47619047619,5603.80952380953,5385.285714285714,0,71826.74370940767,858605.9266996053,1900
8,1259,5263.666666666663,1137.3809523809502,5385.285714285714,5263.666666666668,0,77783.09895622052,936389.0256558259,1563
9,998,5403.047619047617,1137.3809523809502,5263.666666666668,5403.047619047617,0,63834.50257620048,1000223.5282320264,1262
10,2000,6299.404761904752,2896.3571428571463,5403.047619047617,6299.404761904752,0,94331.76201837622,1094555.2902504026,2136
11,2226,6969.761904761886,2896.3571428571463,6299.404761904752,6969.761904761912,0,100108.81230408658,1194664.1025544892,2287
12,2940,10145.452380952414,6115.690476190477,6969.761904761912,10145.45238095238,0,128023.20117115007,1322687.3037256391,2994
13,3040,13221.142857142904,6115.690476190477,10145.45238095238,13221.142857142859,0,133036.83517960034,1455724.1389052395,3508
14,3166,18019.142857142917,7963.999999999997,13221.142857142859,18019.142857142815,0,129281.9267546985,1585006.065659938,3682
15,2268,23715.14285714286,7963.999999999997,18019.142857142815,23715.142857142902,0,102640.91210202423,1687646.9777619622,3841
16,3060,29674.309523809563,9019.166666666664,23715.142857142902,29674.30952380953,0,123831.81526884821,1811478.7930308105,4012
17,2530,36163.47619047608,9019.166666666664,29674.30952380953,36163.47619047619,0,104234.14130306068,1915712.9343338711,4294
18,3204,43807.261904761755,10847.78571428571,36163.47619047619,43807.26190476191,0,123025.50919682429,2038738.4435306955,4488
19,3831,50824.04761904747,10847.78571428571,43807.26190476191,50824.04761904756,0,149855.19642011158,2188593.639950807,4788
20,3186,58617.119047618944,10979.071428571422,50824.04761904756,58617.1190476191,0,147187.38641561553,2335781.026366423,4735
21,3770,65826.1904761905,10979.071428571422,58617.1190476191,65826.19047619065,0,166123.56270095092,2501904.589067374,4550
22,3423,73027.66666666714,10624.476190476189,65826.19047619065,73027.6666666668,0,141239.1685124563,2643143.75757983,4735
23,3854,79798.14285714329,10624.476190476189,73027.6666666668,79798.14285714296,0,150065.79959752946,2793209.5571773592,4960
24,4169,86404.04761904801,10774.904761904767,79798.14285714296,86404.04761904762,0,168614.35055061156,2961823.9077279707,5111
25,3906,93272.95238095267,10774.904761904767,86404.04761904762,93272.95238095269,0,158411.81790906095,3120235.7256370317,5030
26,3776,101289.09523809573,11792.142857142855,93272.95238095269,101289.09523809521,0,161584.1488986843,3281819.874535716,4699
27,2729,110352.23809523825,11792.142857142855,101289.09523809521,110352.23809523814,0,123908.4196978764,3405728.2942335927,4352
28,3549,118344.54761904784,11541.30952380952,110352.23809523814,118344.54761904763,0,145166.24232251922,3550894.536556112,4557
29,3255,126630.85714285733,11541.30952380952,118344.54761904763,126630.85714285707,0,133746.41659131472,3684640.9531474267,4966
30,3704,134132.73809523843,11205.880952380967,126630.85714285707,134132.73809523802,0,151390.0463895743,3836030.999537001,4898
31,3518,141820.61904761917,11205.880952380967,134132.73809523802,141820.6190476193,0,137000.23583316477,3973031.2353701657,5153
32,3717,148648.80952380926,10545.190476190486,141820.6190476193,148648.8095238089,0,152916.32750646575,4125947.5628766315,5241
33,2957,156236.99999999886,10545.190476190486,148648.8095238089,156237.0000000001,0,129411.84404396189,4255359.406920593,4617
34,3596,162283.71428571458,9642.71428571429,156237.0000000001,162283.7142857145,0,128914.42629416235,4384273.833214755,4546
35,3046,168880.428571429,9642.71428571429,162283.7142857145,168880.42857142878,0,105599.901522089,4489873.734736844,5083
36,2738,175697.1904761909,9554.761904761912,168880.42857142878,175697.19047619018,0,104043.83912374281,4593917.573860587,4302
37,2847,182404.9523809523,9554.761904761912,175697.19047619018,182404.95238095266,0,97904.68283648405,4691822.256697071,4182
38,3163,189982.4761904762,10740.523809523826,182404.95238095266,189982.47619047604,0,121004.17821784537,4812826.434914916,4458
39,2446,198276.9999999996,10740.523809523826,189982.47619047604,198277.00000000012,0,101906.86726209024,4914733.302177006,3041
40,3260,206330.7619047622,11313.761904761905,198277.00000000012,206330.76190476184,0,99952.2141394416,5014685.516316448,3667
41,3225,214419.52380952393,11313.761904761905,206330.76190476184,214419.52380952405,0,110859.44513495617,5125544.961451405,4001
42,2283,223281.21428571464,11144.690476190484,214419.52380952405,223281.21428571446,0,85944.17310939412,5211489.134560799,2802
43,3442,230983.90476190505,11144.690476190484,223281.21428571446,230983.9047619049,0,122834.68874380435,5334323.823304604,3644
44,2687,238503.9047619053,10207.000000000002,230983.9047619049,238503.90476190468,0,109109.09697497568,5443432.920279579,3471
45,2448,246262.90476190505,10207.000000000002,238503.90476190468,246262.90476190482,0,104398.57705035235,5547831.497329932,2503
46,3300,251610.8571428577,8647.95238095239,246262.90476190482,251610.85714285672,0,112565.8143390472,5660397.311668979,3578
47,3053,257205.8095238096,8647.95238095239,251610.85714285672,257205.80952380935,0,105918.42412217688,5766315.735791156,3295
48,3111,260554.33333333285,6459.523809523805,257205.80952380935,260554.33333333355,0,104856.31830255451,5871172.05409371,3200
49,2637,264376.85714285716,6459.523809523805,260554.33333333355,264376.8571428573,0,110547.13232643668,5981719.186420146,3261
50,2882,265661.28571428603,4166.428571428578,264376.8571428573,265661.285714286,0,117201.0471140825,6098920.233534229,3043
51,2174,267653.7142857147,4166.428571428578,265661.285714286,267653.7142857149,0,94063.72336421622,6192983.956898445,2448
52,2569,267345.92857142916,2261.214285714292,267653.7142857149,267345.92857142875,0,105366.69115584124,6298350.648054287,2970
53,3038,266569.142857143,2261.214285714292,267345.92857142875,266569.14285714325,0,119443.58769749987,6417794.235751786,3398
54,3338,264485.61904761905,1254.47619047619,266569.14285714325,264485.61904761934,0,115251.13386274251,6533045.3696145285,3610
55,2523,263217.09523809515,1254.47619047619,264485.61904761934,263217.09523809544,0,104900.53621988637,6637945.905834415,3158
