time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,5889,570.5238095238046,6459.523809523805,0.0,570.5238095238094,0,209567.31473810895,209567.31473810895,5889
1,5759,1271.0476190476174,6459.523809523805,570.5238095238094,1271.047619047618,0,213492.063329703,423059.37806781195,6677
2,4150,1287.4761904761926,4166.428571428578,1271.047619047618,1287.4761904761872,0,168646.5581264511,591705.936194263,5044
3,3711,1742.9047619047615,4166.428571428578,1287.4761904761872,1742.9047619047615,0,155611.78973395977,747317.7259282228,4430
4,2501,1503.1190476190668,2261.214285714292,1742.9047619047615,1503.1190476190488,0,124842.43613616998,872160.1620643927,3083
5,2017,1747.333333333353,2261.214285714292,1503.1190476190488,1747.333333333329,0,116603.45407163163,988763.6161360244,2553
6,1296,1705.8095238095339,1254.47619047619,1747.333333333329,1705.8095238095211,0,98124.59046211469,1086888.2065981391,1772
7,1196,1764.2857142857265,1254.47619047619,1705.8095238095211,1764.28571428571,0,97168.32667863791,1184056.533276777,1556
8,1096,1805.6666666666824,1137.3809523809502,1764.28571428571,1805.6666666666688,0,96269.92031104362,1280326.4535878208,1461
9,1066,1877.047619047641,1137.3809523809502,1805.6666666666688,1877.0476190476184,0,95647.82015311663,1375974.2737409375,1309
10,2357,2416.4047619047715,2896.3571428571463,1877.0476190476184,2416.4047619047587,0,135336.32628769721,1511310.6000286348,2594
11,2631,2681.7619047619155,2896.3571428571463,2416.4047619047587,2681.7619047619132,0,146731.1669792086,1658041.7670078434,2774
12,4190,4607.452380952398,6115.690476190475,2681.7619047619132,4607.452380952391,0,191952.9813427269,1849994.7483505702,4290
13,4620,6103.142857142877,6115.690476190475,4607.452380952391,6103.1428571428505,0,192683.92420712882,2042678.672557699,4954
14,5684,8383.142857142844,7963.999999999989,6103.1428571428505,8383.142857142864,0,232231.0064517869,2274909.679009486,5978
15,5008,11339.142857142871,7963.999999999989,8383.142857142864,11339.142857142839,0,195020.44865125563,2469930.1276607416,7304
16,5464,14894.309523809512,9019.166666666664,11339.142857142839,14894.309523809523,0,226957.98313085697,2696888.1107915984,7521
17,5170,18743.476190476176,9019.166666666664,14894.309523809523,18743.476190476184,0,210517.72837788658,2907405.839169485,7669
18,5556,24035.261904761817,10847.785714285717,18743.476190476184,24035.261904761846,0,220282.68576464197,3127688.524934127,8039
19,6006,28877.04761904748,10847.785714285717,24035.261904761846,28877.04761904759,0,231651.19271553165,3359339.7176496587,7926
20,6217,33639.11904761894,10979.071428571422,28877.04761904759,33639.11904761908,0,252968.2490815632,3612307.966731222,7928
21,5459,39159.190476190466,10979.071428571422,33639.11904761908,39159.190476190444,0,222468.3104568184,3834776.2771880403,7727
22,6338,43445.66666666658,10624.476190476189,39159.190476190444,43445.66666666665,0,244277.5053030465,4079053.782491087,7616
23,6000,48070.14285714278,10624.476190476189,43445.66666666665,48070.1428571429,0,223939.85054159412,4302993.633032681,7708
24,6657,52188.04761904757,10774.904761904767,48070.1428571429,52188.04761904768,0,238865.07757156668,4541858.710604249,7712
25,6566,56396.952380952345,10774.904761904767,52188.04761904768,56396.95238095232,0,251285.73724710275,4793144.447851351,7857
26,6537,61652.095238095164,11792.142857142855,56396.95238095232,61652.0952380952,0,260750.36052711806,5053894.808378469,7443
27,5650,67794.23809523827,11792.142857142855,61652.0952380952,67794.23809523809,0,229768.51852831565,5283663.326906784,7267
28,5332,74003.5476190478,11541.30952380952,67794.23809523809,74003.5476190477,0,219996.90194402408,5503660.228850809,6694
29,4754,80790.8571428574,11541.30952380952,74003.5476190477,80790.8571428572,0,201194.70855449588,5704854.937405305,6763
30,5180,86816.7380952384,11205.880952380967,80790.8571428572,86816.73809523802,0,223518.33387513593,5928373.2712804405,6891
31,5356,92666.61904761921,11205.880952380967,86816.73809523802,92666.61904761907,0,212802.31121335502,6141175.582493795,7046
32,5358,97853.80952380972,10545.190476190486,92666.61904761907,97853.80952380948,0,217167.01920190122,6358342.601695696,7391
33,5659,102740.00000000013,10545.190476190486,97853.80952380948,102739.99999999999,0,244966.69663252818,6603309.298328224,7497
34,5525,106857.71428571423,9642.714285714286,102739.99999999999,106857.71428571401,0,223229.8413474036,6826539.139675627,7669
35,5185,111315.42857142826,9642.714285714286,106857.71428571401,111315.42857142857,0,203848.03642377074,7030387.176099398,7841
