time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,5889,570.5238095238046,6459.523809523805,0.0,570.5238095238094,556,217700.7857355279,217700.7857355279,6445
1,5929,1101.0476190476174,6459.523809523805,570.5238095238094,1101.047619047618,1085,240994.80439575823,458695.5901312861,7932
2,4617,650.4761904761899,4166.428571428578,1101.047619047618,650.4761904761904,634,187747.7082910954,646443.2984223815,6135
3,4241,575.9047619047606,4166.428571428578,650.4761904761904,575.9047619047624,558,180674.08176616498,827117.3801885465,5528
4,2427,410.11904761905726,2261.214285714292,575.9047619047624,410.11904761904725,397,131804.42306503723,958921.8032535837,3468
5,2218,453.33333333333985,2261.214285714292,410.11904761904725,453.3333333333336,439,126680.06255640664,1085601.8658099903,3140
6,1294,413.8095238095275,1254.47619047619,453.3333333333336,413.8095238095243,397,105161.64578631971,1190763.51159631,2167
7,1253,415.2857142857172,1254.47619047619,413.8095238095243,415.28571428571445,429,104916.38587841231,1295679.8974747222,2042
8,1138,414.6666666666665,1137.3809523809502,415.28571428571445,414.6666666666662,487,107686.88526007056,1403366.7827347927,1985
9,1135,417.0476190476181,1137.3809523809502,414.6666666666662,417.04761904761904,474,106284.08773619731,1509650.87047099,1853
10,2824,489.4047619047674,2896.3571428571463,417.04761904761904,489.40476190476215,509,159931.31157522733,1669582.1820462174,3576
11,2877,508.76190476191186,2896.3571428571463,489.40476190476215,508.761904761905,539,161083.64378017874,1830665.8258263962,3559
12,4455,2169.4523809523826,6115.690476190475,508.761904761905,2169.4523809523816,2169,261272.49944843425,2091938.3252748305,6771
13,5899,2386.1428571428623,6115.690476190475,2169.4523809523816,2386.1428571428632,2434,299575.9515062465,2391514.276781077,8756
14,7759,2591.1428571428714,7963.999999999989,2386.1428571428632,2591.142857142857,2576,370896.761257872,2762411.038038949,10689
15,7056,3499.1428571428587,7963.999999999989,2591.142857142857,3499.1428571428573,1782,366038.0958759232,3128449.133914872,11867
16,9341,3177.309523809512,9019.166666666664,3499.1428571428573,3177.3095238095225,476,344768.2646839777,3473217.39859885,11898
17,6808,5388.476190476182,9019.166666666664,3177.3095238095225,5388.476190476187,632,272801.0309496684,3746018.4295485183,11857
18,9448,6788.261904761914,10847.785714285717,5388.476190476187,6788.2619047619055,187,313818.1963320164,4059836.6258805348,11948
19,8572,9064.047619047615,10847.785714285717,6788.2619047619055,9064.047619047615,260,287826.4456577721,4347663.071538307,11934
20,10014,10029.119047619017,10979.071428571422,9064.047619047615,10029.11904761906,200,318758.7543655543,4666421.825903861,11879
21,9066,11942.19047619047,10979.071428571422,10029.11904761906,11942.190476190468,166,287075.49073461373,4953497.316638474,11917
22,9925,12641.666666666646,10624.476190476189,11942.190476190468,12641.666666666655,141,314581.81426184333,5268079.130900318,11867
23,10117,13149.142857142833,10624.476190476189,12641.666666666655,13149.142857142839,9,306489.0693323622,5574568.20023268,11843
24,9052,14872.047619047611,10774.904761904767,13149.142857142839,14872.047619047615,175,298810.31289989426,5873378.513132574,11668
25,10003,15643.952380952378,10774.904761904767,14872.047619047615,15643.952380952373,226,314353.53275293607,6187732.04588551,11630
26,9172,18264.095238095237,11792.142857142855,15643.952380952373,18264.095238095233,42,288585.2245794349,6476317.270464945,11526
27,9215,20841.23809523806,11792.142857142855,18264.095238095233,20841.238095238095,96,302042.3674084292,6778359.637873374,11298
28,7869,24513.547619047593,11541.30952380952,20841.238095238095,24513.5476190476,0,244007.28515064827,7022366.923024022,11045
29,8159,27895.857142857072,11541.30952380952,24513.5476190476,27895.857142857065,2,248587.9147152868,7270954.837739309,9927
