time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,6099,360.52380952380554,6459.5238095238055,0.0,360.5238095238093,348,261970.02052940088,261970.02052940088,6447
1,6403,417.04761904761745,6459.5238095238055,360.5238095238093,417.04761904761887,412,278366.0059053469,540336.0264347477,7108
2,4153,430.4761904761899,4166.428571428577,417.04761904761887,430.47619047619014,425,217587.09784135877,757923.1242761065,4903
3,3952,644.9047619047606,4166.428571428577,430.47619047619014,644.9047619047618,635,214749.40305862133,972672.5273347278,4811
4,2337,569.1190476190541,2261.2142857142876,644.9047619047618,569.1190476190482,564,175551.89380362286,1148224.4211383506,3130
5,2115,715.3333333333389,2261.2142857142876,569.1190476190482,715.3333333333334,710,171826.4994602098,1320050.9205985605,2954
6,1340,629.8095238095286,1254.4761904761874,715.3333333333334,629.8095238095236,623,152109.13341233128,1472160.0540108918,2095
7,1234,650.2857142857188,1254.4761904761874,629.8095238095236,650.2857142857149,646,150073.2117027868,1622233.2657136787,1949
8,1169,618.6666666666706,1137.38095238095,650.2857142857149,618.666666666667,612,150278.21429859594,1772511.4800122746,1848
9,1137,619.0476190476222,1137.38095238095,618.666666666667,619.0476190476184,611,149768.83845567363,1922280.3184679481,1788
10,2775,740.4047619047683,2896.357142857149,619.0476190476184,740.4047619047618,788,208114.80459988845,2130395.1230678367,3604
11,3059,577.7619047619137,2896.357142857149,740.4047619047618,577.7619047619038,572,206832.9035574565,2337228.0266252933,3680
12,5364,1329.4523809523853,6115.690476190477,577.7619047619038,1329.4523809523835,1320,282030.13698570733,2619258.1636110004,6734
13,6371,1074.142857142865,6115.690476190477,1329.4523809523835,1074.1428571428555,1694,346976.6133084358,2966234.776919436,8311
14,8011,1027.1428571428442,7963.999999999993,1074.1428571428555,1027.1428571428567,1727,386813.07241247833,3353047.8493319144,9966
15,8111,880.142857142846,7963.999999999993,1027.1428571428567,880.1428571428579,1253,371955.63239897904,3725003.4817308933,10724
16,8975,924.3095238095193,9019.166666666657,880.1428571428579,924.3095238095243,1222,379595.82313464454,4104599.3048655377,11450
17,8936,1007.4761904761835,9019.166666666657,924.3095238095243,1007.4761904761918,1207,385201.65035251074,4489800.955218049,12105
18,10558,1297.2619047618919,10847.785714285705,1007.4761904761918,1297.261904761904,1432,405699.962935194,4895500.918153243,13701
19,10981,1164.047619047602,10847.785714285705,1297.261904761904,1164.0476190476188,1310,428973.653303547,5324474.57145679,14039
20,11308,835.119047619055,10979.071428571438,1164.0476190476188,835.1190476190469,1141,416559.4700694774,5741034.041526267,13817
21,11162,652.1904761904807,10979.071428571438,835.1190476190469,652.1904761904757,827,399527.24574812804,6140561.287274395,13454
22,10745,531.6666666666733,10624.47619047619,652.1904761904757,531.6666666666664,660,380927.21641139826,6521488.503685793,12673
23,10559,597.1428571428623,10624.47619047619,531.6666666666664,597.1428571428564,726,374153.7277933275,6895642.23147912,12295
24,10673,699.0476190476074,10774.904761904749,597.1428571428564,699.0476190476185,745,379005.5305334869,7274647.762012607,12408
25,10804,669.9523809523616,10774.904761904749,699.0476190476185,669.9523809523808,753,386577.07199982775,7661224.834012435,12525
26,11513,949.0952380952458,11792.142857142862,669.9523809523808,949.095238095239,942,396211.8043546018,8057436.638367036,13436
27,11719,1022.2380952381027,11792.142857142862,949.095238095239,1022.2380952380963,1017,407501.97261439863,8464938.610981435,14060
28,11898,665.5476190476256,11541.309523809534,1022.2380952380963,665.54761904762,661,413368.3554308301,8878306.966412265,13813
29,11578,628.857142857154,11541.309523809534,665.54761904762,628.8571428571429,622,396964.50166586594,9275271.46807813,13714
30,11187,647.7380952380972,11205.880952380956,628.8571428571429,647.7380952380954,641,387478.2165212309,9662749.684599362,13297
31,11115,738.6190476190513,11205.880952380956,647.7380952380954,738.6190476190477,733,387772.6529161203,10050522.337515483,13295
32,10767,516.8095238095175,10545.190476190475,738.6190476190477,516.8095238095243,519,385789.8581515181,10436312.195667,12724
33,10316,745.9999999999945,10545.190476190475,516.8095238095243,746.0000000000007,762,372725.5472214439,10809037.742888445,12587
34,9898,490.7142857142899,9642.71428571429,746.0000000000007,490.714285714286,508,365849.3850428266,11174887.12793127,11891
35,9579,554.4285714285743,9642.71428571429,490.714285714286,554.4285714285726,580,354196.94561650686,11529084.073547777,11791
36,9410,699.1904761904698,9554.761904761897,554.4285714285726,699.1904761904767,735,352225.66459681315,11881309.73814459,11749
37,9491,762.9523809523653,9554.761904761897,699.1904761904767,762.9523809523826,799,356533.40094696474,12237843.139091555,11854
38,10201,1302.4761904761908,10740.52380952382,762.9523809523826,1302.4761904761915,1307,392654.11836515245,12630497.257456707,13048
39,10772,1271.0000000000036,10740.52380952382,1302.4761904761915,1271.000000000003,1278,410478.9699487256,13040976.227405433,13420
40,11334,1250.7619047618919,11313.761904761883,1271.000000000003,1250.7619047619078,1283,436060.39755529043,13477036.624960722,13952
41,11067,1497.5238095237983,11313.761904761883,1250.7619047619078,1497.523809523809,1573,418046.4112118998,13895083.036172623,13773
42,11343,1299.2142857143226,11144.690476190497,1497.523809523809,1299.2142857142871,1369,443532.64342151815,14338615.67959414,13797
43,10959,1484.9047619047979,11144.690476190497,1299.2142857142871,1484.904761904763,1604,439218.386371699,14777834.065965839,13564
44,10394,1297.9047619047687,10207.000000000007,1484.904761904763,1297.9047619047615,1469,424511.9249661626,15202345.990932,12833
45,10026,1478.904761904767,10207.000000000007,1297.9047619047615,1478.9047619047592,1682,425353.140834299,15627699.1317663,12367
