time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,0,3122.19608953731,6654.945472062766,6
2,10,0.0,10.0,0.0,0.0,0,3399.6931983615264,10054.638670424292,10
3,8,0.0,8.0,0.0,0.0,0,3200.8192538230282,13255.457924247321,8
4,5,0.0,5.0,0.0,0.0,0,3123.220172758906,16378.678097006226,5
5,2,0.0,2.0,0.0,0.0,0,3034.705538063673,19413.3836350699,2
6,2,0.0,2.0,0.0,0.0,0,3025.8790418723897,22439.26267694229,2
7,3,0.0,3.0,0.0,0.0,0,3077.1489269511094,25516.4116038934,3
8,3,0.0,3.0,0.0,0.0,0,3149.9908240306154,28666.402427924015,3
9,2,0.0,2.0,0.0,0.0,0,3075.702812182064,31742.10524010608,2
10,11,0.0,11.0,0.0,0.0,0,3616.278127585454,35358.38336769154,11
11,18,0.0,18.0,0.0,0.0,0,3890.2167952182,39248.60016290974,18
12,27,0.0,27.0,0.0,0.0,0,4185.936489245252,43434.53665215499,27
13,40,0.0,40.0,0.0,0.0,0,4945.657817226122,48380.19446938111,40
14,35,0.0,35.0,0.0,0.0,0,4490.892786126383,52871.08725550749,35
15,25,0.0,25.0,0.0,0.0,0,3976.6801898562053,56847.767445363694,25
16,26,0.0,26.0,0.0,0.0,0,3940.0095734179567,60787.77701878165,26
17,20,0.0,20.0,0.0,0.0,0,3808.330930222595,64596.10794900425,20
18,29,1.0,30.0,0.0,1.0,0,4055.508736637972,68651.61668564222,29
19,27,3.0,29.0,1.0,3.0,0,3975.108111716493,72626.72479735871,27
20,32,3.0,32.0,3.0,3.0,3,4047.0124926053095,76673.73728996402,35
21,68,0.0,65.0,3.0,0.0,0,5388.618608928067,82062.35589889208,68
22,46,0.0,46.0,0.0,0.0,0,4455.45386831867,86517.80976721075,46
23,31,4.0,35.0,0.0,4.0,0,4122.844198128445,90640.6539653392,31
24,29,12.0,37.0,4.0,12.0,12,4146.336379621367,94786.99034496056,41
25,40,5.0,33.0,12.0,5.0,0,4463.928527148333,99250.9188721089,40
26,42,1.0,38.0,5.0,1.0,0,4304.882659357806,103555.80153146671,42
27,26,6.0,31.0,1.0,6.0,0,3906.3368918740766,107462.13842334079,26
28,25,9.0,28.0,6.0,9.0,9,4034.520686530026,111496.65910987082,34
29,36,9.0,36.0,9.0,9.0,0,4017.946008809504,115514.60511868032,36
30,30,11.0,32.0,9.0,11.0,0,4070.7243358390733,119585.3294545194,30
31,27,10.0,26.0,11.0,10.0,0,3867.2331597030084,123452.5626142224,27
32,29,10.0,29.0,10.0,10.0,10,4155.9121158751,127608.47473009751,39
33,47,5.0,42.0,10.0,5.0,0,4836.400238721895,132444.8749688194,47
34,26,8.0,29.0,5.0,8.0,0,3882.4294971903637,136327.30446600978,26
35,20,9.0,21.0,8.0,9.0,0,3705.237891056928,140032.5423570667,20
36,27,5.0,23.0,9.0,5.0,5,3930.0823316055285,143962.62468867222,32
37,26,4.0,25.0,5.0,4.0,0,3971.019834127702,147933.64452279994,26
38,32,4.0,32.0,4.0,4.0,0,3761.0649875313084,151694.70951033125,32
39,28,4.0,28.0,4.0,4.0,0,3879.944116767033,155574.65362709828,28
40,26,6.0,28.0,4.0,6.0,6,3966.9668523170194,159541.6204794153,32
