time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,60,0.0,60.0,0.0,0.0,0,4569.5186428147135,4569.5186428147135,60
1,32,0.0,32.0,0.0,0.0,0,3820.885658351018,8390.40430116573,32
2,27,0.0,27.0,0.0,0.0,0,3469.2226615697127,11859.626962735443,27
3,30,0.0,30.0,0.0,0.0,0,3595.748144632365,15455.375107367809,30
4,19,0.0,19.0,0.0,0.0,0,3356.034418671496,18811.409526039304,19
5,9,0.0,9.0,0.0,0.0,0,3158.9755052692976,21970.3850313086,9
6,10,0.0,10.0,0.0,0.0,0,3168.7971118490227,25139.182143157625,10
7,3,2.0,5.0,0.0,2.0,0,3050.9680307580697,28190.150173915696,3
8,2,4.0,4.0,2.0,4.0,4,3053.3457927052946,31243.49596662099,6
9,8,1.0,5.0,4.0,1.0,0,3100.176796884628,34343.672763505616,8
10,22,2.0,23.0,1.0,2.0,2,3869.27949140943,38212.95225491504,24
11,35,2.0,35.0,2.0,2.0,0,4449.960073857317,42662.91232877236,35
12,55,4.0,57.0,2.0,4.0,19,6386.226677188926,49049.13900596129,74
13,73,0.0,69.0,4.0,0.0,0,5765.95155420937,54815.09056017066,73
14,79,2.0,81.0,0.0,2.0,69,8556.23249749852,63371.323057669186,148
15,75,0.0,73.0,2.0,0.0,0,5333.168602779851,68704.49166044904,75
16,98,0.0,98.0,0.0,0.0,39,7964.138024238078,76668.62968468713,137
17,111,0.0,111.0,0.0,0.0,0,5982.207131427918,82650.83681611504,111
18,113,5.0,118.0,0.0,5.0,37,7870.07706442747,90520.91388054252,150
19,139,0.0,134.0,5.0,0.0,0,6552.747942915055,97073.66182345757,139
20,132,1.0,133.0,0.0,1.0,45,8276.131763420504,105349.79358687808,177
21,141,0.0,140.0,1.0,0.0,0,6831.430510961443,112181.22409783953,141
22,121,7.0,128.0,0.0,7.0,43,7858.304583417073,120039.5286812566,164
23,133,0.0,126.0,7.0,0.0,0,7002.689326424137,127042.21800768074,133
24,123,0.0,123.0,0.0,0.0,29,7725.75974204086,134767.9777497216,152
25,112,0.0,112.0,0.0,0.0,0,6202.981972268356,140970.95972198996,112
