time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,0,3122.19608953731,6654.945472062766,6
2,10,0.0,10.0,0.0,0.0,0,3399.6931983615264,10054.638670424292,10
3,8,0.0,8.0,0.0,0.0,0,3200.8192538230282,13255.457924247321,8
4,5,0.0,5.0,0.0,0.0,0,3123.220172758906,16378.678097006226,5
5,2,0.0,2.0,0.0,0.0,0,3034.705538063673,19413.3836350699,2
6,2,0.0,2.0,0.0,0.0,0,3025.8790418723897,22439.26267694229,2
7,3,0.0,3.0,0.0,0.0,0,3077.1489269511094,25516.4116038934,3
8,3,0.0,3.0,0.0,0.0,0,3149.9908240306154,28666.402427924015,3
9,2,0.0,2.0,0.0,0.0,0,3075.702812182064,31742.10524010608,2
10,11,0.0,11.0,0.0,0.0,0,3616.278127585454,35358.38336769154,11
11,18,0.0,18.0,0.0,0.0,0,3890.2167952182,39248.60016290974,18
12,27,0.0,27.0,0.0,0.0,0,4185.936489245252,43434.53665215499,27
13,40,0.0,40.0,0.0,0.0,0,4945.657817226122,48380.19446938111,40
14,35,0.0,35.0,0.0,0.0,0,4490.892786126383,52871.08725550749,35
15,25,0.0,25.0,0.0,0.0,0,3976.6801898562053,56847.767445363694,25
16,26,0.0,26.0,0.0,0.0,0,3940.0095734179567,60787.77701878165,26
17,20,0.0,20.0,0.0,0.0,0,3808.330930222595,64596.10794900425,20
18,29,1.0,30.0,0.0,1.0,0,4055.508736637972,68651.61668564222,29
19,27,3.0,29.0,1.0,3.0,0,3975.108111716493,72626.72479735871,27
20,32,3.0,32.0,3.0,3.0,0,4010.272089791027,76636.99688714974,32
21,66,2.0,65.0,3.0,2.0,0,5358.178800326208,81995.17568747594,66
22,45,3.0,46.0,2.0,3.0,0,4365.825476308665,86361.0011637846,45
23,29,9.0,35.0,3.0,9.0,0,4022.1333923283646,90383.13455611297,29
24,30,16.0,37.0,9.0,16.0,16,4286.885512339,94670.02006845197,46
25,48,1.0,33.0,16.0,1.0,0,4665.972862450526,99335.99293090249,48
26,38,1.0,38.0,1.0,1.0,0,4245.552223542263,103581.54515444476,38
27,27,5.0,31.0,1.0,5.0,0,3890.088528762314,107471.63368320707,27
28,26,7.0,28.0,5.0,7.0,0,3907.5488391982935,111379.18252240536,26
29,27,16.0,36.0,7.0,16.0,0,3848.482854403025,115227.66537680839,27
30,32,16.0,32.0,16.0,16.0,0,4140.390742091005,119368.0561188994,32
31,29,13.0,26.0,16.0,13.0,0,3932.890134895737,123300.94625379515,29
32,27,15.0,29.0,13.0,15.0,15,4135.371612005187,127436.31786580033,42
33,50,7.0,42.0,15.0,7.0,0,4905.068135296295,132341.38600109663,50
34,28,8.0,29.0,7.0,8.0,0,3933.4147572372704,136274.8007583339,28
35,19,10.0,21.0,8.0,10.0,0,3660.492030621689,139935.2927889556,19
36,27,6.0,23.0,10.0,6.0,0,3826.5588829297158,143761.8516718853,27
37,21,10.0,25.0,6.0,10.0,0,3844.57263111974,147606.42430300504,21
38,32,10.0,32.0,10.0,10.0,0,3837.9063641090816,151444.33066711412,32
39,27,11.0,28.0,10.0,11.0,0,3788.7937637991527,155233.12443091327,27
40,30,9.0,28.0,11.0,9.0,9,4102.849147382539,159335.97357829582,39
