time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service,unmet_fleet_insufficient,unmet_away_flying,unmet_insufficient_battery,mean_age_at_service_bins,max_backlog_age_bins,backlog_over_threshold
0,6092,367.52380952380463,6459.523809523805,0.0,367.5238095238095,353,265948.77746369457,265948.77746369457,6445,0.0,0.0,0.0,0.0,1,0.0
1,6445,382.04761904761654,6459.523809523805,367.5238095238095,382.047619047619,366,283626.5686402919,549575.3461039865,7730,5.19047619047619,0.0,0.0,0.04940707081901805,2,0.0
2,4102,446.4761904761908,4166.428571428578,382.047619047619,446.47619047619094,439,219010.4975938665,768585.8436978529,5508,40.333333333333364,0.0,0.0,0.06722040351976974,3,0.0
3,4041,571.9047619047615,4166.428571428578,446.47619047619094,571.9047619047616,563,220501.79428915263,989087.6379870055,5252,166.19047619047626,0.0,0.0,0.08912810360471832,4,0.0
4,2422,411.1190476190568,2261.214285714292,571.9047619047616,411.11904761904714,407,175981.67943771655,1165069.317424722,3469,0.0,0.0,0.0,0.18231685737878964,5,0.0
5,2220,452.33333333333985,2261.214285714292,411.11904761904714,452.3333333333336,447,172514.02736272654,1337583.3447874486,3151,48.61904761904762,0.0,0.0,0.14166666666666664,6,0.0
6,1293,413.8095238095275,1254.47619047619,452.3333333333336,413.8095238095245,406,149505.0362582393,1487088.381045688,2176,0.0,0.0,0.0,0.2078959967591059,7,0.0
7,1260,408.2857142857174,1254.47619047619,413.8095238095245,408.28571428571456,403,148994.7243313348,1636083.1053770226,2022,0.0,0.0,0.0,0.19164777021919888,8,0.0
8,1129,416.66666666666674,1137.3809523809502,408.28571428571456,416.66666666666663,408,148270.3964925622,1784353.501869585,1898,0.0,0.0,0.0,0.2850816145767432,9,0.0
9,1137,417.0476190476186,1137.3809523809502,416.66666666666663,417.0476190476189,410,148709.6726530587,1933063.1745226437,1791,0.0,0.0,0.0,0.2739875193701054,10,0.0
10,2769,544.4047619047674,2896.3571428571463,417.0476190476189,544.4047619047622,539,200562.0191056556,2133625.193628299,3551,135.88095238095235,0.0,0.0,0.21446628488882005,11,17.928571428571416
11,2986,454.76190476191323,2896.3571428571463,544.4047619047622,454.76190476190567,447,208259.9928632051,2341885.1864915043,3576,41.66666666666661,0.0,0.0,0.1906595860045288,12,32.61904761904763
12,5597,973.4523809523835,6115.690476190475,454.76190476190567,973.4523809523824,1168,295992.6609679071,2637877.8474594112,6914,586.2380952380952,0.0,0.0,0.12434382364702104,13,25.761904761904795
13,6312,777.1428571428623,6115.690476190475,973.4523809523824,777.142857142858,1483,341403.65034627303,2979281.4978056843,8219,338.0,46.85714285714286,1.0,0.1617440702516744,14,25.71428571428576
14,7703,1038.142857142846,7963.999999999989,777.142857142858,1038.142857142857,1763,378392.8313866034,3357674.3291922878,9881,618.7142857142854,20.26190476190494,10.357142857142858,0.10653857804318626,15,16.45238095238093
15,7755,1247.1428571428496,7963.999999999989,1038.142857142857,1247.1428571428562,1431,360050.3286746101,3717724.657866898,12057,176.66666666666686,526.7142857142858,124.95238095238095,0.15062478892266112,16,12.047619047619017
16,8997,1269.309523809512,9019.166666666664,1247.1428571428562,1269.3095238095243,1545,388159.87786570675,4105884.5357326046,13365,214.26190476190482,487.80952380952385,174.16666666666674,0.1309007764492925,17,8.42857142857141
17,8898,1390.4761904761817,9019.166666666664,1269.3095238095243,1390.4761904761904,1395,388460.70285372634,4494345.238586331,14397,108.38095238095221,687.8571428571429,203.04761904761904,0.12204454719626656,18,6.904761904761888
18,10092,2146.261904761899,10847.785714285717,1390.4761904761904,2146.2619047619064,2140,426978.25815858785,4921323.496744919,16231,718.2619047619045,616.8571428571429,474.76190476190465,0.1271280410697771,19,5.166666666666656
19,11820,1174.047619047611,10847.785714285717,2146.2619047619064,1174.047619047618,1303,454144.0676059775,5375467.5643508965,16182,218.9047619047619,191.0952380952381,366.0,0.17648054145516082,20,4.904761904761894
20,11260,893.1190476190422,10979.071428571422,1174.047619047618,893.1190476190466,1214,421668.5635875091,5797136.127938406,15549,113.78571428571425,7.047619047618905,388.9047619047619,0.11634525924046359,21,4.952380952380942
21,11041,831.1904761904698,10979.071428571422,893.1190476190466,831.1904761904765,1004,401126.5452424483,6198262.673180854,14907,26.42857142857145,0.0,403.42857142857144,0.08196721311475408,22,4.952380952380941
22,10471,984.6666666666624,10624.476190476189,831.1904761904765,984.666666666667,1130,380895.4156856632,6579158.088866517,14182,0.0,0.0,588.5714285714288,0.05585722016817414,23,5.64285714285713
23,10183,1426.1428571428532,10624.476190476189,984.666666666667,1426.142857142858,1420,375315.9955972451,6954474.084463762,13538,21.476190476190474,0.0,1017.3333333333334,0.045615241088087906,24,6.142857142857128
24,10347,1854.0476190476238,10774.904761904767,1426.142857142858,1854.0476190476193,1845,402306.22458498285,7356780.309048745,14101,0.0,0.0,1511.5476190476195,0.07173691937391562,25,7.999999999999982
25,10011,2617.95238095238,10774.904761904767,1854.0476190476193,2617.95238095238,2609,419676.3565187255,7776456.665567471,14449,0.0,0.0,2294.0,0.06625569016938511,26,12.238095238095216
26,10535,3875.095238095233,11792.142857142855,2617.95238095238,3875.0952380952376,3849,567549.281100692,8344005.946668163,16114,34.38095238095237,40.476190476190425,3485.3095238095248,0.07507401631749035,27,25.071428571428633
27,11391,4276.238095238094,11792.142857142855,3875.0952380952376,4276.238095238098,2374,436697.11687275284,8780703.063540915,16458,61.761904761904944,169.66666666666669,3752.333333333335,0.2692392908352875,28,37.761904761904894
28,10564,5253.547619047613,11541.30952380952,4276.238095238098,5253.547619047622,2056,377547.0131189659,9158250.07665988,15454,181.90476190476187,57.214285714285666,4741.2380952381,0.15257568381385095,29,51.428571428571566
29,10467,6327.857142857116,11541.30952380952,5253.547619047622,6327.857142857144,1877,359839.8532647846,9518089.929924665,14890,368.1428571428574,37.999999999999986,5680.190476190478,0.20377876955692945,30,77.047619047619
30,9938,7595.738095238066,11205.880952380967,6327.857142857144,7595.738095238096,2134,351815.2064280866,9869905.136352751,14880,990.7857142857144,353.88095238095235,6073.666666666665,0.27945883525476983,31,123.57142857142837
31,9466,9335.619047619017,11205.880952380967,7595.738095238096,9335.619047619048,2041,339358.50640533067,10209263.642758083,14477,1423.8571428571436,140.66666666666669,7634.428571428572,0.2893010574185307,32,183.7142857142854
32,9323,10557.809523809545,10545.190476190486,9335.619047619048,10557.809523809528,1825,322831.8114428465,10532095.454200929,13680,2712.5952380952385,181.66666666666669,7539.071428571428,0.5368111633798647,33,253.95238095238082
33,9518,11585.000000000036,10545.190476190486,10557.809523809528,11584.999999999998,1401,333041.9160910812,10865137.37029201,14010,3021.4285714285716,90.66666666666674,8350.571428571428,0.4645183561972801,34,376.04761904761733
34,9149,12078.714285714275,9642.714285714286,11584.999999999998,12078.714285714286,1343,332890.6042645775,11198027.974556588,13461,3072.333333333335,159.52380952380952,8728.476190476198,0.5963545326317217,35,592.8095238095218
35,8907,12814.428571428565,9642.714285714286,12078.714285714286,12814.428571428567,1080,319471.36207167385,11517499.336628262,14011,3412.5714285714303,197.95238095238076,9094.523809523815,0.5642164803498589,36,833.90476190476
36,8208,14161.190476190499,9554.761904761903,12814.428571428567,14161.190476190473,1047,309558.72567074007,11827058.062299002,12937,3805.0238095238087,160.78571428571433,10076.666666666679,0.9375261069340005,37,996.8571428571413
37,9328,14387.952380952396,9554.761904761903,14161.190476190473,14387.952380952382,539,332335.4321931121,12159393.494492114,13231,4711.238095238092,255.99999999999994,9318.095238095237,0.7790089234664703,38,1329.7142857142912
38,9203,15925.47619047615,10740.523809523826,14387.952380952382,15925.476190476187,460,322590.8885842501,12481984.383076364,13911,5746.5714285714275,33.666666666666586,10037.047619047626,0.6871982738547988,39,1744.3571428571427
39,9183,17482.99999999998,10740.523809523826,15925.476190476187,17483.000000000004,573,324609.1531212393,12806593.536197603,11902,7220.666666666676,71.7142857142859,10100.4761904762,0.7772773707108891,40,2355.4761904761895
40,9902,18894.76190476193,11313.761904761905,17483.000000000004,18894.76190476191,500,350880.5335324873,13157474.06973009,13282,9124.333333333332,221.11904761904773,9447.999999999998,1.0423723923017,41,2849.714285714292
41,9872,20336.523809523835,11313.761904761905,18894.76190476191,20336.52380952383,254,340428.1139550649,13497902.183685156,12100,10254.571428571422,43.380952380952436,9954.571428571418,1.075765030485453,42,3484.0952380952685
42,10400,21081.214285714323,11144.690476190484,20336.52380952383,21081.21428571429,122,365978.88490916445,13863881.06859432,13417,11205.976190476189,373.95238095238074,9415.404761904763,1.296472069597067,43,4026.523809523845
43,9002,23223.90476190478,11144.690476190484,21081.21428571429,23223.904761904767,616,330607.76619949494,14194488.834793815,11318,13068.000000000005,57.047619047619094,10030.09523809524,1.1494800097332873,44,4576.428571428606
44,9651,23779.90476190475,10207.000000000002,23223.904761904767,23779.904761904763,749,367669.19608002825,14562158.030873844,12710,14342.428571428587,177.85714285714292,9165.357142857143,1.2333387608488637,45,5058.000000000017
45,9241,24745.904761904756,10207.000000000002,23779.904761904763,24745.904761904832,917,385313.5837312485,14947471.614605093,11895,15503.142857142857,103.09523809523816,9038.190476190479,2.0076805746646644,46,5188.333333333351
46,9225,24168.857142857138,8647.95238095239,24745.904761904832,24168.857142857138,1354,350692.7587055038,15298164.373310598,12191,14798.64285714286,0.0,9274.690476190475,1.5749645115498778,47,5572.976190476214
