time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service,unmet_fleet_insufficient,unmet_away_flying,unmet_insufficient_battery,unmet_rounding_jitter,mean_age_at_service_bins,max_backlog_age_bins,backlog_over_threshold
0,6092,367.52380952380463,6459.523809523805,0.0,367.5238095238095,353,265948.77746369457,265948.77746369457,6445,0.0,0.0,1.2857142857142851,366.2380952380952,0.0,1,0.0
1,6445,382.04761904761654,6459.523809523805,367.5238095238095,382.047619047619,366,283626.5686402919,549575.3461039865,7730,5.19047619047619,0.0,2.5714285714285703,374.28571428571433,0.04940707081901805,2,0.0
2,4102,446.4761904761908,4166.428571428578,382.047619047619,446.47619047619094,439,219010.4975938665,768585.8436978529,5508,40.333333333333364,0.0,2.8571428571428563,403.2857142857148,0.06722040351976974,3,0.0
3,4041,571.9047619047615,4166.428571428578,446.47619047619094,571.9047619047616,563,220501.79428915263,989087.6379870055,5252,166.19047619047626,0.0,3.1428571428571423,402.5714285714285,0.08912810360471832,4,0.0
4,2422,411.1190476190568,2261.214285714292,571.9047619047616,411.11904761904714,407,175981.67943771655,1165069.317424722,3469,0.0,0.0,3.2380952380952377,407.88095238095195,0.18231685737878964,5,0.0
5,2220,452.33333333333985,2261.214285714292,411.11904761904714,452.3333333333336,447,172514.02736272654,1337583.3447874486,3151,48.61904761904762,0.0,3.3333333333333326,400.38095238095264,0.14166666666666664,6,0.0
6,1293,413.8095238095275,1254.47619047619,452.3333333333336,413.8095238095245,406,149505.0362582393,1487088.381045688,2176,0.0,0.0,3.4285714285714275,410.38095238095303,0.2078959967591059,7,0.0
7,1260,408.2857142857174,1254.47619047619,413.8095238095245,408.28571428571456,403,148994.7243313348,1636083.1053770226,2022,0.0,0.0,3.523809523809523,404.761904761905,0.19164777021919888,8,0.0
8,1129,416.66666666666674,1137.3809523809502,408.28571428571456,416.66666666666663,408,148270.3964925622,1784353.501869585,1898,0.0,0.0,3.6904761904761894,412.97619047619054,0.2850816145767432,9,0.0
9,1137,417.0476190476186,1137.3809523809502,416.66666666666663,417.0476190476189,410,148709.6726530587,1933063.1745226437,1791,0.0,0.0,3.8571428571428563,413.19047619047615,0.2739875193701054,10,0.0
10,2769,544.4047619047674,2896.3571428571463,417.0476190476189,544.4047619047622,539,200562.0191056556,2133625.193628299,3551,135.88095238095235,0.0,3.7857142857142843,404.7380952380953,0.21446628488882005,11,17.928571428571416
11,2986,454.76190476191323,2896.3571428571463,544.4047619047622,454.76190476190567,447,208259.9928632051,2341885.1864915043,3576,41.66666666666661,0.0,4.9047619047619735,408.19047619047706,0.1906595860045288,12,32.61904761904763
12,5597,973.4523809523835,6115.690476190475,454.76190476190567,973.4523809523824,1168,295992.6609679071,2637877.8474594112,6914,586.2380952380952,0.0,4.690476190476189,382.5238095238101,0.12434382364702104,13,25.761904761904795
13,6277,812.1428571428623,6115.690476190475,973.4523809523824,812.1428571428578,1518,339974.1742608704,2977852.021720282,8219,338.0,40.61904761904762,53.000000000000036,380.5238095238099,0.16107937519439783,14,26.09523809523815
14,7621,1155.142857142846,7963.999999999989,812.1428571428578,1155.142857142858,1880,376880.8753891605,3354732.8971094424,9914,601.7142857142856,16.95238095238099,164.85714285714297,371.6190476190478,0.10618841421885615,15,17.571428571428562
15,7703,1416.1428571428514,7963.999999999989,1155.142857142858,1416.1428571428576,1532,354945.40670004685,3709678.303809489,12036,197.04761904761924,195.47619047619054,636.0952380952377,387.5238095238098,0.1445602517262909,16,14.380952380952344
16,8818,1617.3095238095138,9019.166666666664,1416.1428571428576,1617.309523809525,1781,388481.4003919177,4098159.704201407,13434,216.95238095238088,160.85714285714295,880.047619047619,359.4523809523811,0.13795645271036505,17,11.976190476190448
17,8639,1997.4761904761854,9019.166666666664,1617.309523809525,1997.476190476192,1995,395731.7679696791,4493891.472171086,14631,157.09523809523773,208.2857142857144,1289.095238095238,343.0000000000005,0.10854982113229593,18,10.619047619047596
18,9996,2849.2619047618973,10847.785714285717,1997.476190476192,2849.2619047619046,2843,456887.5827317216,4950779.054902808,16677,554.8095238095237,129.6190476190477,1866.0476190476184,298.7857142857145,0.14037757960326983,19,9.047619047619028
19,11397,2300.0476190476093,10847.785714285717,2849.2619047619046,2300.0476190476206,2290,457086.87908392434,5407865.933986732,16799,85.57142857142848,38.95238095238096,1852.142857142857,323.38095238095264,0.2073937585914421,20,9.190476190476168
20,10740,2539.119047619055,10979.071428571422,2300.0476190476206,2539.119047619046,2504,430460.3764069978,5838326.310393729,16307,0.8095238095240187,0.0,2247.928571428571,290.380952380952,0.11528997073689824,21,9.499999999999977
21,10196,3322.1904761904825,10979.071428571422,2539.119047619046,3322.190476190475,3156,432830.79135621426,6271157.101749944,16045,52.428571428571445,0.0,3046.7142857142862,223.04761904761892,0.07930747818939268,22,9.90476190476188
22,9601,4345.666666666662,10624.476190476189,3322.190476190475,4345.666666666669,3607,421151.4383594216,6692308.540109365,15598,10.45238095238096,0.0,4158.404761904765,176.80952380952368,0.05154472996364465,23,15.642857142857109
23,9381,5589.142857142857,10624.476190476189,4345.666666666669,5589.142857142857,2589,346540.29683531885,7038848.836944684,13768,7.476190476190468,0.0,5431.809523809525,149.85714285714278,0.07257069761067195,24,36.47619047619062
24,9910,6454.04761904762,10774.904761904767,5589.142857142857,6454.047619047616,2429,346539.38733512216,7385388.224279807,14074,110.33333333333337,0.0,6193.1190476190495,150.59523809523807,0.1822786026620535,25,83.14285714285705
25,9380,7848.952380952374,10774.904761904767,6454.047619047616,7848.952380952376,2738,331371.24415117316,7716759.46843098,13785,503.09523809523824,17.285714285714285,7203.523809523804,125.04761904761891,0.13639455782312923,26,153.99999999999997
26,10131,9510.09523809527,11792.142857142855,7848.952380952376,9510.095238095242,2223,348168.70653742965,8064928.174968409,13825,1478.8809523809523,12.76190476190476,7893.809523809526,124.64285714285728,0.27503278480477167,27,293.9761904761901
27,9859,11443.23809523815,11792.142857142855,9510.095238095242,11443.238095238086,1627,330618.66315864015,8395546.838127049,13685,2467.666666666667,26.476190476190467,8844.523809523807,104.57142857142898,0.23969155569723566,28,470.09523809523705
28,9743,13241.547619047618,11541.30952380952,11443.238095238086,13241.547619047618,1299,331637.04071447824,8727183.878841527,13083,3750.142857142856,28.404761904761926,9355.142857142851,107.85714285714306,0.42165804020468894,29,719.3333333333298
29,10420,14362.857142857138,11541.30952380952,13241.547619047618,14362.85714285716,880,348925.9218345154,9076109.800676042,13726,5066.666666666669,58.80952380952381,9123.857142857147,113.52380952381023,0.49036194132163385,30,1067.476190476187
30,9912,15656.738095238117,11205.880952380967,14362.85714285716,15656.738095238099,915,342745.0140244192,9418854.814700462,13284,5901.761904761906,171.09523809523807,9479.071428571433,104.8095238095243,0.7305622814097384,31,1459.2142857142844
31,10428,16434.619047619042,11205.880952380967,15656.738095238099,16434.61904761904,823,361504.3466697954,9780359.161370257,13847,7207.809523809524,122.04761904761912,9005.142857142857,99.61904761904786,0.8708947522238658,32,1927.8571428571408
32,9918,17061.809523809494,10545.190476190486,16434.61904761904,17061.809523809523,326,333215.4970000622,10113574.65837032,13639,6837.023809523812,259.16666666666663,9871.904761904763,93.71428571428602,0.912532768703368,33,2370.380952380944
33,10267,17339.999999999978,10545.190476190486,17061.809523809523,17340.00000000002,119,343513.949843423,10457088.608213743,13485,7205.476190476192,22.66666666666668,10017.476190476187,94.38095238095259,0.8969351644427133,34,2840.6190476190573
34,9749,17233.714285714323,9642.714285714286,17340.00000000002,17233.714285714294,202,347640.7763705849,10804729.384584328,13319,6689.928571428571,252.6190476190477,10178.785714285716,112.38095238095306,1.0608120979441116,35,3326.28571428574
35,9647,17229.428571428598,9642.714285714286,17233.714285714294,17229.42857142856,9,348314.7883146887,11153044.172899017,14372,6455.380952380957,160.3333333333332,10501.09523809524,112.61904761904714,1.2870692591331119,36,3727.7142857142867
36,9316,17468.190476190495,9554.761904761903,17229.42857142856,17468.19047619049,149,323696.12322229845,11476740.296121316,14117,6876.38095238095,266.9047619047618,10205.78571428571,119.11904761904846,0.9569608865443993,37,4260.857142857161
37,9502,17520.952380952425,9554.761904761903,17468.19047619049,17520.952380952363,197,352001.0691837624,11828741.36530508,13286,7371.523809523809,53.666666666666615,9987.428571428567,108.3333333333344,1.428210602279221,38,4507.904761904806
38,9917,18344.476190476144,10740.523809523826,17520.952380952363,18344.47619047621,44,352279.2157920146,12181020.581097094,14458,8604.238095238103,183.0476190476191,9449.071428571428,108.11904761904862,1.238176868004437,39,4806.285714285752
39,8866,20218.99999999999,10740.523809523826,18344.47619047621,20219.00000000003,423,331660.2136065275,12512680.794703621,12336,10120.047619047626,289.3809523809524,9710.999999999998,98.57142857142905,1.040873105389234,40,5248.047619047673
40,10061,21471.761904761956,11313.761904761905,20219.00000000003,21471.761904761905,539,360343.49269188376,12873024.287395505,13427,12074.833333333334,464.7380952380952,8834.95238095238,97.238095238096,1.0067587714938864,41,5676.261904761954
41,10093,22692.52380952383,11313.761904761905,21471.761904761905,22692.523809523787,538,363913.1684196625,13236937.455815168,12831,13618.523809523798,199.04761904761904,8768.904761904754,106.0476190476199,1.5178412195156479,42,6021.047619047674
42,10291,23546.21428571429,11144.690476190484,22692.523809523787,23546.214285714304,380,372234.6693517127,13609172.12516688,13389,14333.952380952382,391.7619047619046,8722.547619047618,97.95238095238143,1.385725391118452,43,6441.833333333397
43,10451,24239.904761904807,11144.690476190484,23546.214285714304,24239.904761904763,445,373509.8580486574,13982681.983215537,12996,15451.476190476198,14.666666666666657,8673.809523809527,99.95238095238165,1.6771760278123289,44,6526.190476190515
44,9339,25107.904761904756,10207.000000000002,24239.904761904763,25107.904761904745,1150,372690.21559004794,14355372.198805586,12668,16144.380952380949,0.0,8850.904761904767,112.6190476190476,1.531623657065352,45,6712.6904761904925
45,9011,26303.90476190472,10207.000000000002,25107.904761904745,26303.904761904843,908,379921.29526300257,14735293.494068587,11353,16414.285714285706,0.0,9768.666666666666,120.95238095238199,2.0085583228963495,46,6656.6666666666515
46,9856,25095.857142857203,8647.95238095239,26303.904761904843,25095.857142857138,1304,417670.3916579857,15152963.885726573,12868,16353.666666666677,0.0,8615.952380952376,126.23809523809713,2.292980828695115,47,6617.833333333336
47,8687,25056.80952380946,8647.95238095239,25095.857142857138,25056.80952380952,2021,385815.28328249353,15538779.169009067,11978,16108.42857142859,0.0,8813.428571428569,134.95238095238193,2.011182555213865,48,6745.71428571427
48,8466,23050.33333333328,6459.523809523805,25056.80952380952,23050.33333333337,1792,357802.4981456454,15896581.667154713,11266,13527.2380952381,0.0,9380.714285714283,142.38095238095414,1.960309023207673,49,7017.785714285704
49,9908,19601.85714285713,6459.523809523805,23050.33333333337,19601.85714285711,1642,418462.0626478733,16315043.729802586,12587,10864.238095238097,0.0,8580.571428571433,157.0476190476201,2.8519017821096955,50,6874.095238095252
50,7914,15854.285714285623,4166.428571428578,19601.85714285711,15854.285714285706,3070,396343.5905056202,16711387.320308207,12149,7169.214285714286,0.0,8518.738095238099,166.33333333333243,3.2763336823230684,51,6993.761904761921
51,6860,13160.714285714239,4166.428571428578,15854.285714285706,13160.714285714297,4097,426919.6820753017,17138307.002383508,11839,3903.380952380953,0.0,9078.999999999996,178.33333333333425,3.252262945994712,52,6906.0000000000055
52,4830,10591.928571428565,2261.214285714292,13160.714285714297,10591.928571428562,5496,413360.44522397727,17551667.447607484,11161,697.4523809523815,0.0,9663.7619047619,230.7142857142872,4.495543724736264,53,6625.142857142857
53,4498,8355.14285714283,2261.214285714292,10591.928571428562,8355.14285714287,7215,462440.8460183685,18014108.293625854,12329,120.23809523809467,0.0,7990.2380952380945,244.66666666666814,5.965381439369857,54,5969.428571428597
54,2359,7250.619047619044,1254.47619047619,8355.14285714287,7250.619047619052,7181,362558.88995310955,18376667.183578964,10185,0.0,0.0,6970.428571428573,280.1904761904779,9.989372009931508,55,5369.11904761907
55,2897,5608.095238095235,1254.47619047619,7250.619047619052,5608.095238095242,5607,373205.33754062385,18749872.521119587,8912,0.0,0.0,5316.523809523807,291.5714285714303,11.965834935976464,56,4201.190476190562
56,2665,4080.4761904761917,1137.3809523809502,5608.095238095242,4080.4761904761867,4432,360679.4365796001,19110551.957699187,7807,0.0,0.0,3764.309523809524,316.1666666666681,10.661270436880185,57,3184.5000000000937
57,2386,2831.8571428571404,1137.3809523809502,4080.4761904761867,2831.8571428571418,5048,427195.7730876588,19537747.730786845,7764,0.0,0.0,2473.3333333333344,358.52380952381105,11.651798187841738,58,2170.047619047675
