time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,0,3122.19608953731,6654.945472062766,6
2,10,0.0,10.0,0.0,0.0,0,3399.6931983615264,10054.638670424292,10
3,8,0.0,8.0,0.0,0.0,0,3200.8192538230282,13255.457924247321,8
4,5,0.0,5.0,0.0,0.0,0,3123.220172758906,16378.678097006226,5
5,2,0.0,2.0,0.0,0.0,0,3034.705538063673,19413.3836350699,2
6,2,0.0,2.0,0.0,0.0,0,3025.8790418723897,22439.26267694229,2
7,3,0.0,3.0,0.0,0.0,0,3077.1489269511094,25516.4116038934,3
8,3,0.0,3.0,0.0,0.0,0,3149.9908240306154,28666.402427924015,3
9,2,0.0,2.0,0.0,0.0,0,3075.702812182064,31742.10524010608,2
10,11,0.0,11.0,0.0,0.0,0,3616.278127585454,35358.38336769154,11
11,18,0.0,18.0,0.0,0.0,0,3890.2167952182,39248.60016290974,18
12,27,0.0,27.0,0.0,0.0,5,4378.704987187325,43627.30515009706,32
13,40,0.0,40.0,0.0,0.0,18,5963.896179988076,49591.20133008514,58
14,35,0.0,35.0,0.0,0.0,24,5583.156371719744,55174.35770180488,59
15,25,0.0,25.0,0.0,0.0,23,5091.013025407204,60265.37072721209,48
16,26,0.0,26.0,0.0,0.0,6,4325.234203555021,64590.604930767106,32
17,20,0.0,20.0,0.0,0.0,9,4478.427836517978,69069.03276728508,29
18,30,0.0,30.0,0.0,0.0,2,4153.825020095075,73222.85778738016,32
19,29,0.0,29.0,0.0,0.0,6,4382.508748346538,77605.36653572669,35
20,32,0.0,32.0,0.0,0.0,12,4605.300727558572,82210.66726328526,44
21,65,0.0,65.0,0.0,0.0,0,5335.176491214319,87545.84375449957,65
22,36,10.0,46.0,0.0,10.0,23,4987.991567457946,92533.83532195751,59
23,45,0.0,35.0,10.0,0.0,0,4451.033577352293,96984.8688993098,45
24,37,0.0,37.0,0.0,0.0,1,4219.626642145056,101204.49554145486,38
25,33,0.0,33.0,0.0,0.0,0,4237.081196482771,105441.57673793763,33
26,38,0.0,38.0,0.0,0.0,5,4404.719612350074,109846.29635028771,43
27,31,0.0,31.0,0.0,0.0,3,4111.817098754376,113958.11344904208,34
28,28,0.0,28.0,0.0,0.0,5,4176.610572977113,118134.72402201919,33
29,36,0.0,36.0,0.0,0.0,5,4254.745750799635,122389.46977281882,41
30,32,0.0,32.0,0.0,0.0,2,4245.249646805123,126634.71941962394,34
31,26,0.0,26.0,0.0,0.0,9,4218.625138842405,130853.34455846634,35
32,29,0.0,29.0,0.0,0.0,0,4011.8443073951753,134865.1888658615,29
33,42,0.0,42.0,0.0,0.0,0,4607.323393420136,139472.51225928165,42
34,29,0.0,29.0,0.0,0.0,0,3954.519663082554,143427.0319223642,29
35,21,0.0,21.0,0.0,0.0,0,3717.952406365432,147144.98432872962,21
36,23,0.0,23.0,0.0,0.0,0,3744.956308456768,150889.9406371864,23
37,25,0.0,25.0,0.0,0.0,0,3942.1024063383175,154832.04304352473,25
38,32,0.0,32.0,0.0,0.0,0,3837.9063641090816,158669.9494076338,32
39,28,0.0,28.0,0.0,0.0,0,3805.160667705086,162475.1100753389,28
40,28,0.0,28.0,0.0,0.0,0,3920.6893604176107,166395.7994357565,28
