time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,0,3122.19608953731,6654.945472062766,6
2,10,0.0,10.0,0.0,0.0,0,3399.6931983615264,10054.638670424292,10
3,8,0.0,8.0,0.0,0.0,0,3200.8192538230282,13255.457924247321,8
4,5,0.0,5.0,0.0,0.0,0,3123.220172758906,16378.678097006226,5
5,2,0.0,2.0,0.0,0.0,0,3034.705538063673,19413.3836350699,2
6,2,0.0,2.0,0.0,0.0,0,3025.8790418723897,22439.26267694229,2
7,3,0.0,3.0,0.0,0.0,0,3077.1489269511094,25516.4116038934,3
8,3,0.0,3.0,0.0,0.0,0,3149.9908240306154,28666.402427924015,3
9,2,0.0,2.0,0.0,0.0,0,3075.702812182064,31742.10524010608,2
10,11,0.0,11.0,0.0,0.0,0,3616.278127585454,35358.38336769154,11
11,18,0.0,18.0,0.0,0.0,0,3890.2167952182,39248.60016290974,18
12,27,0.0,27.0,0.0,0.0,0,4185.936489245252,43434.53665215499,27
13,40,0.0,40.0,0.0,0.0,0,4945.657817226122,48380.19446938111,40
14,35,0.0,35.0,0.0,0.0,0,4490.892786126383,52871.08725550749,35
15,25,0.0,25.0,0.0,0.0,0,3976.6801898562053,56847.767445363694,25
16,26,0.0,26.0,0.0,0.0,0,3940.0095734179567,60787.77701878165,26
17,20,0.0,20.0,0.0,0.0,0,3808.330930222595,64596.10794900425,20
18,29,1.0,30.0,0.0,1.0,0,4055.508736637972,68651.61668564222,29
19,27,3.0,29.0,1.0,3.0,0,3975.108111716493,72626.72479735871,27
20,32,3.0,32.0,3.0,3.0,3,4047.0124926053095,76673.73728996402,35
21,68,0.0,65.0,3.0,0.0,0,5388.618608928067,82062.35589889208,68
22,46,0.0,46.0,0.0,0.0,0,4455.45386831867,86517.80976721075,46
23,31,4.0,35.0,0.0,4.0,0,4122.844198128445,90640.6539653392,31
24,29,12.0,37.0,4.0,12.0,12,4189.872438111759,94830.52640345096,41
25,42,3.0,33.0,12.0,3.0,0,4457.057614277794,99287.58401772875,42
26,39,2.0,38.0,3.0,2.0,0,4243.725037116739,103531.30905484548,39
27,27,6.0,31.0,2.0,6.0,0,3929.2239371179535,107460.53299196344,27
28,26,8.0,28.0,6.0,8.0,8,4037.5074616877255,111498.04045365116,34
29,35,9.0,36.0,8.0,9.0,0,4001.2055942295056,115499.24604788068,35
30,30,11.0,32.0,9.0,11.0,0,4074.482666853272,119573.72871473395,30
31,28,9.0,26.0,11.0,9.0,0,3894.2327556329924,123467.96147036695,28
32,28,10.0,29.0,9.0,10.0,10,4136.37933539456,127604.34080576152,38
33,46,6.0,42.0,10.0,6.0,0,4814.5995348700735,132418.94034063158,46
34,28,7.0,29.0,6.0,7.0,0,3905.251855516637,136324.19219614821,28
35,19,9.0,21.0,7.0,9.0,0,3660.492030621689,139984.6842267699,19
36,27,5.0,23.0,9.0,5.0,5,3931.75919244213,143916.44341921204,32
37,26,4.0,25.0,5.0,4.0,0,3971.019834127702,147887.46325333975,26
38,34,2.0,32.0,4.0,2.0,0,3875.8082792943815,151763.27153263413,34
39,27,3.0,28.0,2.0,3.0,0,3818.710119397092,155581.98165203122,27
40,26,5.0,28.0,3.0,5.0,5,3953.092061130455,159535.07371316166,31
