time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0,0,1282.7493825254564,1282.7493825254564,17
1,6,0.0,6.0,0,0,872.1960895373101,2154.9454720627664,6
2,8,2.0,10.0,0,0,1040.536669491844,3195.4821415546103,8
3,5,3.0,8.0,0,0,898.6320316400319,4094.1141731946423,5
4,4,1.0,5.0,0,0,842.4686149254427,4936.582788120085,4
5,2,0.0,2.0,0,0,784.7055380636732,5721.288326183758,2
6,1,1.0,2.0,0,0,761.4111791631367,6482.6995053468945,1
7,2,1.0,3.0,0,0,795.0975551434922,7277.797060490387,2
8,3,0.0,3.0,0,0,899.9908240306154,8177.787884521002,3
9,1,1.0,2.0,0,0,811.2339973699409,8989.021881890942,1
10,10,1.0,11.0,0,0,1335.5202006412712,10324.542082532213,10
11,15,3.0,18.0,0,0,1574.7493550126565,11899.291437544869,15
12,15,12.0,27.0,0,0,1415.8156440562598,13315.107081601129,15
13,24,16.0,40.0,0,0,1953.8235396530285,15268.930621254158,24
14,19,16.0,35.0,0,0,1524.4866742949712,16793.41729554913,19
15,16,9.0,25.0,0,0,1453.6702291108927,18247.087524660023,16
16,15,11.0,26.0,0,0,1281.5692885515314,19528.656813211554,15
17,13,7.0,20.0,0,0,1274.9093629284264,20803.56617613998,13
18,21,9.0,30.0,0,0,1505.4226094272926,22308.98878556727,21
19,20,9.0,29.0,0,0,1529.7902048719639,23838.778990439234,20
