time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,1282.7493825254564,1282.7493825254564,17
1,6,0.0,6.0,0.0,0.0,872.1960895373101,2154.9454720627664,6
2,8,2.0,10.0,0.0,2.0,1040.536669491844,3195.4821415546103,8
3,7,3.0,8.0,2.0,3.0,1007.788560509714,4203.270702064325,7
4,4,4.0,5.0,3.0,4.0,858.7523100496528,5062.0230121139775,4
5,2,4.0,2.0,4.0,4.0,784.7055380636732,5846.7285501776505,2
6,1,5.0,2.0,4.0,5.0,761.4111791631367,6608.139729340787,1
7,2,6.0,3.0,5.0,6.0,795.0975551434922,7403.237284484279,2
8,3,6.0,3.0,6.0,6.0,899.9908240306154,8303.228108514895,3
9,1,7.0,2.0,6.0,7.0,811.2339973699409,9114.462105884835,1
10,10,8.0,11.0,7.0,8.0,1335.5202006412712,10449.982306526106,10
11,14,12.0,18.0,8.0,12.0,1501.8596646574806,11951.841971183587,14
12,15,24.0,27.0,12.0,24.0,1451.5951399017686,13403.437111085355,15
13,21,43.0,40.0,24.0,43.0,1870.2237277280587,15273.660838813414,21
14,16,62.0,35.0,43.0,62.0,1362.764551513107,16636.42539032652,16
15,18,69.0,25.0,62.0,69.0,1577.527228028535,18213.952618355055,18
16,20,75.0,26.0,69.0,75.0,1497.4349205523292,19711.387538907384,20
17,16,79.0,20.0,75.0,79.0,1395.1958457442477,21106.583384651633,16
18,20,89.0,30.0,79.0,89.0,1505.3217795918708,22611.905164243504,20
19,21,97.0,29.0,89.0,97.0,1459.226734097835,24071.13189834134,21
