time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,0,3122.19608953731,6654.945472062766,6
2,9,1.0,10.0,0.0,1.0,1,3312.511484411849,9967.456956474616,10
3,8,1.0,8.0,1.0,1.0,1,3224.0526928230884,13191.509649297705,9
4,5,1.0,5.0,1.0,1.0,1,3146.4536117589664,16337.963261056671,6
5,2,1.0,2.0,1.0,1.0,1,3057.9389770637335,19395.902238120405,3
6,2,1.0,2.0,1.0,1.0,1,3049.1124808724503,22445.014718992854,3
7,3,1.0,3.0,1.0,1.0,1,3100.3823659511695,25545.397084944023,4
8,3,1.0,3.0,1.0,1.0,1,3173.224263030676,28718.6213479747,4
9,2,1.0,2.0,1.0,1.0,1,3098.9362511821246,31817.557599156822,3
10,9,3.0,11.0,1.0,3.0,3,3478.346874373922,35295.90447353075,12
11,16,5.0,18.0,3.0,5.0,5,3788.1670951589267,39084.07156868967,21
12,23,9.0,27.0,5.0,9.0,21,4389.746054940533,43473.81762363021,44
13,35,14.0,40.0,9.0,14.0,25,5468.4133335910055,48942.23095722122,60
14,33,16.0,35.0,14.0,16.0,18,4735.553402085037,53677.78435930626,51
15,23,18.0,25.0,16.0,18.0,18,4173.097986091705,57850.882345397964,41
16,24,20.0,26.0,18.0,20.0,28,4535.264458636057,62386.14680403402,52
17,17,23.0,20.0,20.0,23.0,36,4459.6930441984305,66845.83984823246,53
18,28,25.0,30.0,23.0,25.0,37,4792.301155488238,71638.1410037207,65
19,25,29.0,29.0,25.0,29.0,42,5200.526391972584,76838.66739569328,67
20,32,29.0,32.0,29.0,29.0,41,5040.0708906257505,81878.73828631903,73
21,64,30.0,65.0,29.0,30.0,40,6322.145518169003,88200.88380448802,104
22,40,36.0,46.0,30.0,36.0,54,5662.875059626216,93863.75886411424,94
23,29,42.0,35.0,36.0,42.0,69,5939.777936501447,99803.53680061568,98
24,31,48.0,37.0,42.0,48.0,60,5268.494638132184,105072.03143874786,91
25,34,47.0,33.0,48.0,47.0,54,5341.666249274845,110413.6976880227,88
26,34,51.0,38.0,47.0,51.0,58,5365.300300472546,115778.99798849525,92
27,28,54.0,31.0,51.0,54.0,59,5218.682099287496,120997.68008778275,87
28,20,62.0,28.0,54.0,62.0,68,5203.5426183566715,126201.22270613942,88
29,31,67.0,36.0,62.0,67.0,88,6255.38701787141,132456.60972401084,119
