time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,17,0.0,17.0,0.0,0.0,0,3532.7493825254564,3532.7493825254564,17
1,6,0.0,6.0,0.0,0.0,8,3275.861101449657,6808.610483975113,14
2,9,1.0,10.0,0.0,1.0,11,3524.2695844992577,10332.880068474371,20
3,8,1.0,8.0,1.0,1.0,9,3407.965269194227,13740.845337668597,17
4,5,1.0,5.0,1.0,1.0,8,3417.0131520733203,17157.858489741917,13
5,2,1.0,2.0,1.0,1.0,12,3249.9740610500985,20407.832550792016,14
6,2,1.0,2.0,1.0,1.0,10,3196.031021134594,23603.86357192661,12
7,3,1.0,3.0,1.0,1.0,14,3313.345813921315,26917.209385847924,17
8,3,1.0,3.0,1.0,1.0,16,3409.604092952653,30326.813478800577,19
9,2,1.0,2.0,1.0,1.0,15,3314.6709505698864,33641.48442937047,17
10,9,3.0,11.0,1.0,3.0,18,3705.4927529248203,37346.97718229529,27
11,16,5.0,18.0,3.0,5.0,20,4024.078550000632,41371.05573229592,36
12,23,9.0,27.0,5.0,9.0,30,4537.721044662296,45908.77677695821,53
13,35,14.0,40.0,9.0,14.0,38,5876.699459495627,51785.47623645384,73
14,33,16.0,35.0,14.0,16.0,48,6225.015129230695,58010.49136568453,81
15,23,18.0,25.0,16.0,18.0,43,5042.010858554185,63052.50222423871,66
16,25,19.0,26.0,18.0,19.0,53,5844.860144905695,68897.36236914441,78
17,16,23.0,20.0,19.0,23.0,62,4712.960326723495,73610.3226958679,78
18,28,25.0,30.0,23.0,25.0,70,5253.804050628013,78864.12674649591,98
19,26,28.0,29.0,25.0,28.0,78,5321.74974296164,84185.87648945754,104
20,30,30.0,32.0,28.0,30.0,82,5263.948373681729,89449.82486313928,112
21,46,49.0,65.0,30.0,49.0,100,6509.631631039604,95959.45649417888,146
22,29,66.0,46.0,49.0,66.0,123,6568.290735821036,102527.74722999992,152
23,51,50.0,35.0,66.0,50.0,117,6798.718333381548,109326.46556338147,168
24,31,56.0,37.0,50.0,56.0,133,6390.714003190717,115717.17956657219,164
25,28,61.0,33.0,56.0,61.0,145,6752.521047981392,122469.70061455359,173
26,23,76.0,38.0,61.0,76.0,166,7017.988029251535,129487.68864380512,189
27,25,82.0,31.0,76.0,82.0,178,7781.752541411652,137269.44118521677,203
28,16,94.0,28.0,82.0,94.0,193,7933.709680712521,145203.1508659293,209
29,20,110.0,36.0,94.0,110.0,217,9058.347156263368,154261.49802219265,237
