vp_id,grid_id,total_orders_ri1,total_unmet_ri1,assignment_ratio_ri1,total_orders_ri2,total_unmet_ri2,assignment_ratio_ri2,total_orders_ri4,total_unmet_ri4,assignment_ratio_ri4,total_orders_ri8,total_unmet_ri8,assignment_ratio_ri8,total_orders_ri16,total_unmet_ri16,assignment_ratio_ri16
VP_1,217,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
VP_2,882,3525.0,55.0,0.9843971631205674,3563.0,93.0,0.97389840022453,3640.0,170.0,0.9532967032967034,3709.0,239.0,0.9355621461310326,4179.0,709.0,0.8303421871261067
VP_3,1276,1267.0,21.0,0.9834254143646408,1278.0,32.0,0.974960876369327,1327.0,81.0,0.9389600602863604,1377.0,131.0,0.9048656499636892,1478.0,232.0,0.8430311231393776
VP_4,917,408.0,12.0,0.9705882352941176,414.0,18.0,0.9565217391304348,420.0,24.0,0.9428571428571428,424.0,28.0,0.9339622641509434,503.0,107.0,0.7872763419483101
VP_5,855,238.0,0.0,1.0,238.0,0.0,1.0,238.0,0.0,1.0,238.0,0.0,1.0,238.0,0.0,1.0
VP_6,931,1833.0,13.0,0.9929078014184396,1838.0,18.0,0.9902067464635472,1874.0,54.0,0.9711846318036286,1929.0,109.0,0.9434940383618456,2070.0,250.0,0.8792270531400966
VP_7,1182,859.0,6.0,0.9930151338766008,866.0,13.0,0.9849884526558892,867.0,14.0,0.983852364475202,926.0,73.0,0.9211663066954644,903.0,50.0,0.9446290143964564
VP_8,708,1649.0,33.0,0.9799878714372346,1660.0,44.0,0.9734939759036144,1682.0,66.0,0.9607609988109392,1686.0,70.0,0.9584816132858838,1965.0,349.0,0.8223918575063613
VP_9,508,106.0,0.0,1.0,106.0,0.0,1.0,106.0,0.0,1.0,106.0,0.0,1.0,106.0,0.0,1.0
VP_10,834,4595.0,501.0,0.890968443960827,4919.0,824.0,0.8324862776987193,5693.0,1602.0,0.7186017916739856,6956.0,2867.0,0.5878378378378378,9526.0,5447.0,0.4281965148015956
VP_11,359,171.0,0.0,1.0,171.0,0.0,1.0,171.0,0.0,1.0,171.0,0.0,1.0,171.0,0.0,1.0
VP_12,1435,98.0,0.0,1.0,98.0,0.0,1.0,98.0,0.0,1.0,98.0,0.0,1.0,98.0,0.0,1.0
VP_13,885,2311.0,60.0,0.974037213327564,2326.0,75.0,0.967755803955288,2403.0,152.0,0.9367457344985436,2602.0,351.0,0.8651037663335895,3084.0,833.0,0.7298962386511024
VP_14,659,1100.0,9.0,0.9918181818181818,1105.0,14.0,0.9873303167420816,1144.0,53.0,0.9536713286713286,1214.0,123.0,0.8986820428336079,1380.0,289.0,0.7905797101449276
VP_15,1091,722.0,0.0,1.0,722.0,0.0,1.0,729.0,7.0,0.99039780521262,725.0,3.0,0.9958620689655172,773.0,51.0,0.9340232858990944
VP_16,1398,594.0,43.0,0.9276094276094276,610.0,59.0,0.90327868852459,674.0,123.0,0.8175074183976261,984.0,433.0,0.5599593495934959,1451.0,900.0,0.3797381116471399
VP_17,1102,1020.0,2.0,0.9980392156862744,1018.0,0.0,1.0,1018.0,0.0,1.0,1018.0,0.0,1.0,1018.0,0.0,1.0
VP_18,566,232.0,0.0,1.0,232.0,0.0,1.0,232.0,0.0,1.0,232.0,0.0,1.0,232.0,0.0,1.0
VP_19,849,881.0,0.0,1.0,881.0,0.0,1.0,881.0,0.0,1.0,881.0,0.0,1.0,882.0,1.0,0.9988662131519276
VP_20,1296,20.0,0.0,1.0,20.0,0.0,1.0,20.0,0.0,1.0,20.0,0.0,1.0,20.0,0.0,1.0
VP_21,196,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
VP_22,1106,742.0,3.0,0.995956873315364,744.0,5.0,0.9932795698924732,747.0,8.0,0.9892904953145916,743.0,4.0,0.9946164199192464,763.0,24.0,0.9685452162516384
VP_23,535,898.0,4.0,0.9955456570155902,903.0,9.0,0.9900332225913622,917.0,23.0,0.9749182115594328,926.0,32.0,0.9654427645788336,1043.0,149.0,0.8571428571428571
VP_24,1013,1220.0,3.0,0.9975409836065574,1220.0,3.0,0.9975409836065574,1238.0,21.0,0.983037156704362,1248.0,31.0,0.9751602564102564,1449.0,232.0,0.8398895790200138
VP_25,783,4214.0,121.0,0.9712861888941624,4247.0,154.0,0.9637391099599716,4320.0,227.0,0.9474537037037036,4275.0,182.0,0.9574269005847952,4148.0,55.0,0.9867405978784956
VP_26,672,373.0,0.0,1.0,373.0,0.0,1.0,373.0,0.0,1.0,373.0,0.0,1.0,373.0,0.0,1.0
VP_27,1370,282.0,63.0,0.776595744680851,298.0,79.0,0.7348993288590604,390.0,171.0,0.5615384615384615,631.0,412.0,0.347068145800317,657.0,438.0,0.3333333333333333
VP_28,965,2452.0,127.0,0.9482055464926592,2502.0,177.0,0.9292565947242206,2709.0,384.0,0.858250276854928,3054.0,729.0,0.7612966601178782,3614.0,1289.0,0.6433314886552297
VP_29,1068,343.0,0.0,1.0,343.0,0.0,1.0,343.0,0.0,1.0,343.0,0.0,1.0,343.0,0.0,1.0
VP_30,1229,1447.0,114.0,0.9212163096060816,1550.0,217.0,0.86,1629.0,296.0,0.8182934315531001,1924.0,591.0,0.6928274428274428,2414.0,1081.0,0.552195526097763
