grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,67.0,0.0,67.0,1.0
925,8228801.0,8226524.0,2277.0,0.0002767110299544247
1232,2335869.0,2334706.0,1163.0,0.0004978875099588204
873,1301289.0,1300376.0,913.0,0.0007016120170077515
856,45876.0,45593.0,283.0,0.006168802859883163
973,3364312.0,3362126.0,2186.0,0.0006497613776605737
1140,1237712.0,1236561.0,1151.0,0.0009299416988766369
794,2092652.0,2091130.0,1522.0,0.0007273067858392127
464,37928.0,37701.0,227.0,0.005985024256485973
834,3553086.0,3551502.0,1584.0,0.00044580964265992997
402,284012.0,283557.0,455.0,0.00160204498401476
1478,246.0,26.0,220.0,0.8943089430894309
928,5138838.0,5136719.0,2119.0,0.0004123500293256958
702,1006174.0,1005153.0,1021.0,0.001014735025949786
1004,542425.0,541468.0,957.0,0.001764299211872609
1399,495156.0,494771.0,385.0,0.0007775327371575826
1058,2283938.0,2282625.0,1313.0,0.0005748842569281653
525,82198.0,81822.0,376.0,0.004574320543078907
850,941614.0,940611.0,1003.0,0.0010651923187208346
1213,103873.0,103591.0,282.0,0.0027148537155950053
200,31.0,0.0,31.0,1.0
1105,657177.0,656220.0,957.0,0.0014562286872486408
579,652443.0,651637.0,806.0,0.0012353569583856366
1011,5843601.0,5841182.0,2419.0,0.00041395707886284503
783,3675829.0,3673667.0,2162.0,0.0005881666421370526
714,346078.0,345215.0,863.0,0.0024936574991764864
1412,66932.0,66687.0,245.0,0.0036604314826988583
967,4853427.0,4851874.0,1553.0,0.00031998008829637285
1067,157846.0,157236.0,610.0,0.0038645261837487173
1187,1856094.0,1854991.0,1103.0,0.0005942586959496663
