grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,14836436.714287426,14836057.71428577,379.00000165589154,2.5545217423460993e-05
925,548357446.428562,548354973.428565,2472.9999970197678,4.50983206871057e-06
1232,380410603.92856663,380407413.9285721,3189.9999945163727,8.385675797605763e-06
873,227359345.4999938,227357425.5000013,1919.9999924898148,8.444781490144935e-06
856,103574198.21428117,103573336.2142834,861.9999977648258,8.322536043015878e-06
973,444541978.7142812,444539886.71428174,2091.999999463558,4.705967264360745e-06
1140,414081039.857155,414077931.8571543,3108.0000007152557,7.505777134319935e-06
794,562985084.1428584,562982607.1428574,2477.0000009536743,4.399761327113831e-06
464,76631393.21428466,76629619.21428585,1773.999998807907,2.3149781367634333e-05
834,423026315.00000024,423024001.9999996,2313.000000655651,5.467744957321744e-06
402,209972017.3571469,209969315.3571504,2701.999996483326,1.2868381370491972e-05
1478,118165516.35713944,118161229.35714263,4286.9999968111515,3.627961971455588e-05
928,566697459.4285659,566695046.428572,2412.999993801117,4.2580039025307895e-06
702,322349841.5714215,322347477.571422,2363.999999523163,7.33364715800359e-06
1004,253681373.14285353,253679111.14285302,2262.0000005066395,8.916697243013021e-06
1399,278113715.1428543,278110536.14285934,3178.999994933605,1.1430576134300672e-05
1058,288288377.42856616,288285994.4285679,2382.9999982714653,8.266028688103944e-06
525,108516724.92857134,108514913.92857344,1810.9999978989363,1.6688671714806963e-05
850,302767845.9999985,302766001.9999994,1843.9999991059303,6.0904750073954e-06
1213,67943248.78571482,67941011.78571582,2236.999999001622,3.292453685953203e-05
200,26541920.1428575,26540191.142856434,1729.000001065433,6.514223506661825e-05
1105,244755920.0714227,244753808.07142708,2111.9999956190586,8.629004744819868e-06
579,339102274.21428144,339099237.214282,3036.999999463558,8.956000093188563e-06
1011,317427486.78571403,317424055.7857159,3430.999998152256,1.0808767800465948e-05
783,239908511.07141668,239906676.07141852,1834.999998152256,7.648749058369204e-06
714,250835897.71427414,250833560.71428072,2336.9999934136868,9.316848245045656e-06
1412,56084897.9999974,56083466.99999754,1430.999999858439,2.5514889941647132e-05
967,302926336.4999959,302923306.4999999,3029.999996006489,1.000243171661811e-05
1067,180654628.42857125,180652419.4285729,2208.9999983608723,1.2227752023714605e-05
1187,288318862.8571379,288314975.857141,3886.9999969005585,1.3481601440785953e-05
