grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,287922.7142857442,266309.7142857107,21613.00000003347,0.07506528289596492
925,2477851.428571418,1684458.428571386,793393.0000000319,0.32019393529879847
1232,2528038.928571303,1979779.9285713849,548258.999999918,0.21687126483837865
873,1954419.4999999497,1625261.4999999844,329157.9999999653,0.1684172717269623
856,1319214.2142856417,1167973.2142857257,151240.99999991595,0.1146447622851103
973,2351432.714285715,1706871.7142857416,644560.9999999735,0.27411415860809313
1140,2349329.8571428633,1752481.8571428151,596848.0000000482,0.25405031915182175
794,2642001.1428571246,1828820.1428571728,813180.9999999518,0.30778979872830714
464,1002095.2142857099,890645.2142857154,111449.99999999453,0.11121697660180496
834,1767395.999999943,1154841.9999999998,612553.9999999432,0.3465855982473441
402,1551636.3571428717,1247111.357142832,304525.0000000398,0.19626054687245237
1478,1017262.3571428609,845404.3571428639,171857.99999999697,0.168941668580647
928,2179357.4285714263,1359839.4285714345,819517.9999999919,0.37603652767375
702,1714364.5714286726,1247155.5714285441,467209.0000001285,0.272526047135224
1004,1153171.1428571471,785404.1428571591,367766.999999988,0.31891797004978156
1399,1703953.1428571462,1305179.1428571348,398774.0000000114,0.23402873586732384
1058,1500131.4285714896,1083407.428571445,416724.0000000447,0.27779166015931883
525,778276.9285714612,620140.928571425,158136.0000000362,0.2031873157158817
850,2019541.9999999485,1578118.999999973,441422.99999997555,0.2185757958982714
1213,398771.78571427765,299037.7857142872,99733.99999999045,0.25010295004032823
200,323581.14285716106,283422.14285714267,40159.00000001839,0.12410797380039493
1105,1153114.0714285555,798401.0714285856,354712.99999996996,0.30761310505952594
579,1411017.2142856852,919855.2142857411,491161.9999999441,0.3480907213797462
1011,1245051.7857142554,785554.7857142834,459496.99999997206,0.3690585446101505
783,2404099.071428573,2056366.071428623,347732.9999999502,0.1446417097084601
714,1216908.714285753,853575.7142857509,363333.0000000021,0.2985704644355803
1412,574785.0000000038,492005.0000000048,82779.99999999907,0.1440190679993363
967,938942.5000000276,500032.4999999808,438910.0000000468,0.4674514147565308
1067,1076802.4285714107,813364.4285714204,263437.99999999034,0.2446484081109405
1187,1071194.8571428913,653984.8571428583,417210.00000003295,0.38948095877982686
