grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,67.0,0.0,67.0,1.0
925,18768.0,3889.0,14879.0,0.7927855924978687
1232,6232.0,1526.0,4706.0,0.7551347881899871
873,5224.0,2383.0,2841.0,0.5438361408882083
856,370.0,8.0,362.0,0.9783783783783784
973,11293.0,3542.0,7751.0,0.6863543788187373
1140,3635.0,611.0,3024.0,0.8319119669876204
794,5579.0,763.0,4816.0,0.863237139272271
464,296.0,0.0,296.0,1.0
834,11378.0,4089.0,7289.0,0.6406222534716118
402,944.0,19.0,925.0,0.9798728813559322
1478,220.0,0.0,220.0,1.0
928,12490.0,2275.0,10215.0,0.8178542834267414
702,3436.0,879.0,2557.0,0.7441792782305006
1004,2192.0,421.0,1771.0,0.8079379562043796
1399,1879.0,994.0,885.0,0.4709952102182012
1058,7650.0,2740.0,4910.0,0.6418300653594772
525,507.0,0.0,507.0,1.0
850,4055.0,1513.0,2542.0,0.6268803945745992
1213,417.0,1.0,416.0,0.9976019184652278
200,31.0,0.0,31.0,1.0
1105,2010.0,48.0,1962.0,0.9761194029850746
579,2458.0,632.0,1826.0,0.7428803905614321
1011,15004.0,3645.0,11359.0,0.7570647827246068
783,12851.0,5079.0,7772.0,0.6047778383005213
714,1554.0,127.0,1427.0,0.9182754182754183
1412,346.0,7.0,339.0,0.9797687861271677
967,12370.0,3625.0,8745.0,0.7069523039611965
1067,899.0,58.0,841.0,0.9354838709677419
1187,4983.0,981.0,4002.0,0.8031306441902468
