vp_id,grid_id,real_total_demand,served_veh5,service_rate_veh5,served_veh10,service_rate_veh10,served_veh20,service_rate_veh20,served_veh40,service_rate_veh40,served_veh80,service_rate_veh80
VP_1,172,247.0,145.0,0.5870445344129555,131.0,0.5303643724696356,158.0,0.6396761133603239,191.0,0.7732793522267206,228.0,0.9230769230769231
VP_2,925,28791.0,3295.0,0.1144454864367337,4795.0,0.16654510089958668,4056.0,0.14087735750755445,7346.0,0.2551491785627453,11121.0,0.38626654162759194
VP_3,1232,8818.0,2117.0,0.2400771149920617,2358.0,0.26740757541392607,2189.0,0.24824223179859378,3648.0,0.4136992515309594,5729.0,0.6496938081197551
VP_4,873,4641.0,1521.0,0.3277310924369748,1723.0,0.37125619478560656,1684.0,0.3628528334410687,2143.0,0.46175393234216766,2972.0,0.6403792286145227
VP_5,856,746.0,514.0,0.6890080428954424,563.0,0.7546916890080428,541.0,0.725201072386059,617.0,0.8270777479892761,728.0,0.9758713136729222
VP_6,973,15513.0,2833.0,0.18262102752530135,3474.0,0.22394121059756333,3621.0,0.23341713401663122,6488.0,0.4182298717204925,8515.0,0.5488944756011087
VP_7,1140,5788.0,1927.0,0.332930200414651,2406.0,0.41568762957843813,2120.0,0.36627505183137526,3394.0,0.5863856254319282,4550.0,0.7861091914305459
VP_8,794,9552.0,2421.0,0.25345477386934673,2833.0,0.29658710217755446,2632.0,0.27554438860971525,4183.0,0.43791876046901174,5961.0,0.6240577889447236
VP_9,464,713.0,404.0,0.5666199158485273,504.0,0.7068723702664796,578.0,0.8106591865357644,644.0,0.9032258064516129,695.0,0.9747545582047685
VP_10,834,12943.0,2711.0,0.2094568492621494,2785.0,0.21517422545005022,2722.0,0.21030672950629684,4650.0,0.35926755775322566,7425.0,0.5736691647995055
VP_11,402,1843.0,931.0,0.5051546391752577,984.0,0.5339120998372219,920.0,0.4991861096039067,1272.0,0.6901790558871406,1773.0,0.9620184481823114
VP_12,1478,1823.0,532.0,0.2918266593527153,680.0,0.3730115194733955,906.0,0.49698299506308286,1320.0,0.7240811848601206,1775.0,0.9736697750959956
VP_13,928,20621.0,3183.0,0.15435720867077252,3836.0,0.1860239561611949,3604.0,0.17477328936521022,6938.0,0.336453130304059,10865.0,0.526890063527472
VP_14,702,4691.0,1665.0,0.3549349818801961,1596.0,0.3402259646130889,1686.0,0.3594116393093157,2695.0,0.5745043700703475,3538.0,0.7542101897250053
VP_15,1004,3398.0,1485.0,0.437021777516186,1642.0,0.48322542672160096,1323.0,0.38934667451442023,2204.0,0.6486168334314303,3008.0,0.885226603884638
VP_16,1399,1431.0,698.0,0.48777078965758214,844.0,0.5897973445143256,738.0,0.5157232704402516,992.0,0.6932215234102026,1148.0,0.8022361984626135
VP_17,1058,9312.0,2269.0,0.24366408934707903,2582.0,0.2772766323024055,2664.0,0.2860824742268041,4364.0,0.4686426116838488,5935.0,0.6373496563573883
VP_18,525,1084.0,550.0,0.507380073800738,576.0,0.5313653136531366,606.0,0.559040590405904,704.0,0.6494464944649446,1039.0,0.9584870848708487
VP_19,850,4782.0,1875.0,0.39209535759096614,1990.0,0.41614387285654536,1996.0,0.41739857800083646,2911.0,0.6087411125052279,3782.0,0.7908824759514848
VP_20,1213,798.0,477.0,0.5977443609022557,600.0,0.7518796992481203,576.0,0.7218045112781954,632.0,0.7919799498746867,782.0,0.9799498746867168
VP_21,200,80.0,67.0,0.8375,72.0,0.9,72.0,0.9,75.0,0.9375,79.0,0.9875
VP_22,1105,4203.0,1561.0,0.3714013799666905,1850.0,0.44016178919819177,1911.0,0.45467523197715914,2542.0,0.6048060908874613,3490.0,0.8303592671901023
VP_23,579,3261.0,1382.0,0.4237963814780742,1656.0,0.5078196872125115,1718.0,0.5268322600429316,2225.0,0.6823060410916897,2778.0,0.8518859245630175
VP_24,1011,22497.0,3018.0,0.13415122016268835,4090.0,0.1818020180468507,3818.0,0.16971151709116772,7518.0,0.3341778903853847,11352.0,0.504600613415122
VP_25,783,20606.0,3550.0,0.17227991847034843,4128.0,0.2003300009705911,4501.0,0.21843152479860234,7242.0,0.3514510336795108,13999.0,0.6793652334271572
VP_26,714,3050.0,1291.0,0.42327868852459016,1552.0,0.5088524590163934,1448.0,0.47475409836065574,2402.0,0.7875409836065573,2931.0,0.960983606557377
VP_27,1412,671.0,399.0,0.5946348733233979,458.0,0.6825633383010432,456.0,0.6795827123695977,556.0,0.8286140089418778,661.0,0.9850968703427719
VP_28,967,16983.0,2478.0,0.1459106164988518,3018.0,0.17770711888358948,2677.0,0.15762821645174585,4846.0,0.28534416769710885,6975.0,0.41070482246952833
VP_29,1067,1692.0,1010.0,0.5969267139479906,1224.0,0.723404255319149,1172.0,0.6926713947990544,1472.0,0.8699763593380615,1655.0,0.9781323877068558
VP_30,1187,7996.0,2077.0,0.25975487743871933,2554.0,0.3194097048524262,2497.0,0.31228114057028517,3878.0,0.48499249624812407,5077.0,0.6349424712356178
