vp_id,grid_id,real_origin_demand,real_dest_demand,served_origin_veh5,served_dest_veh5,origin_service_rate_veh5,dest_service_rate_veh5,served_origin_veh10,served_dest_veh10,origin_service_rate_veh10,dest_service_rate_veh10,served_origin_veh20,served_dest_veh20,origin_service_rate_veh20,dest_service_rate_veh20,served_origin_veh40,served_dest_veh40,origin_service_rate_veh40,dest_service_rate_veh40,served_origin_veh80,served_dest_veh80,origin_service_rate_veh80,dest_service_rate_veh80
VP_1,217,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VP_2,882,2586.0,2490.0,567.0,566.0,0.21925754060324826,0.22730923694779118,692.0,689.0,0.2675947409126063,0.27670682730923696,666.0,648.0,0.25754060324825984,0.26024096385542167,727.0,690.0,0.2811291569992266,0.27710843373493976,910.0,833.0,0.3518948182521268,0.3345381526104418
VP_3,1276,1212.0,1136.0,290.0,285.0,0.23927392739273928,0.25088028169014087,288.0,278.0,0.2376237623762376,0.24471830985915494,319.0,299.0,0.2632013201320132,0.2632042253521127,360.0,320.0,0.297029702970297,0.28169014084507044,396.0,316.0,0.32673267326732675,0.27816901408450706
VP_4,917,286.0,290.0,129.0,124.0,0.45104895104895104,0.42758620689655175,134.0,136.0,0.46853146853146854,0.4689655172413793,134.0,138.0,0.46853146853146854,0.47586206896551725,134.0,127.0,0.46853146853146854,0.4379310344827586,134.0,138.0,0.46853146853146854,0.47586206896551725
VP_5,855,257.0,266.0,79.0,79.0,0.30739299610894943,0.29699248120300753,79.0,78.0,0.30739299610894943,0.2932330827067669,79.0,84.0,0.30739299610894943,0.3157894736842105,79.0,85.0,0.30739299610894943,0.31954887218045114,79.0,84.0,0.30739299610894943,0.3157894736842105
VP_6,931,1386.0,1253.0,351.0,347.0,0.2532467532467532,0.27693535514764567,409.0,402.0,0.2950937950937951,0.320830007980846,421.0,402.0,0.3037518037518038,0.320830007980846,470.0,432.0,0.33910533910533913,0.34477254588986433,524.0,447.0,0.37806637806637805,0.3567438148443735
VP_7,1182,633.0,640.0,286.0,281.0,0.4518167456556082,0.4390625,299.0,290.0,0.47235387045813587,0.453125,299.0,302.0,0.47235387045813587,0.471875,299.0,299.0,0.47235387045813587,0.4671875,299.0,300.0,0.47235387045813587,0.46875
VP_8,708,1062.0,967.0,325.0,321.0,0.3060263653483992,0.33195449844881075,406.0,396.0,0.3822975517890772,0.4095139607032058,379.0,360.0,0.3568738229755179,0.37228541882109617,404.0,365.0,0.3804143126177024,0.37745604963805585,480.0,400.0,0.4519774011299435,0.4136504653567735
VP_9,508,83.0,99.0,40.0,50.0,0.4819277108433735,0.5050505050505051,40.0,49.0,0.4819277108433735,0.494949494949495,40.0,46.0,0.4819277108433735,0.46464646464646464,40.0,54.0,0.4819277108433735,0.5454545454545454,40.0,55.0,0.4819277108433735,0.5555555555555556
VP_10,834,2894.0,2418.0,584.0,580.0,0.2017968210089841,0.23986765922249792,697.0,687.0,0.24084312370421562,0.2841191066997519,686.0,667.0,0.23704215618521077,0.2758478081058726,762.0,722.0,0.26330338631651695,0.2985938792390405,846.0,770.0,0.2923289564616448,0.3184449958643507
VP_11,359,160.0,202.0,62.0,92.0,0.3875,0.45544554455445546,62.0,103.0,0.3875,0.5099009900990099,62.0,102.0,0.3875,0.504950495049505,62.0,102.0,0.3875,0.504950495049505,62.0,103.0,0.3875,0.5099009900990099
VP_12,1435,118.0,144.0,38.0,50.0,0.3220338983050847,0.3472222222222222,38.0,54.0,0.3220338983050847,0.375,38.0,57.0,0.3220338983050847,0.3958333333333333,38.0,64.0,0.3220338983050847,0.4444444444444444,38.0,55.0,0.3220338983050847,0.3819444444444444
VP_13,885,1695.0,1660.0,438.0,434.0,0.2584070796460177,0.26144578313253014,548.0,539.0,0.3233038348082596,0.32469879518072287,514.0,495.0,0.3032448377581121,0.29819277108433734,539.0,500.0,0.31799410029498526,0.30120481927710846,608.0,529.0,0.35870206489675516,0.31867469879518073
VP_14,659,751.0,641.0,240.0,236.0,0.3195739014647137,0.36817472698907955,271.0,262.0,0.3608521970705726,0.40873634945397813,297.0,277.0,0.3954727030625832,0.43213728549141966,287.0,248.0,0.3821571238348868,0.3868954758190328,327.0,247.0,0.43541944074567246,0.38533541341653665
VP_15,1091,532.0,568.0,252.0,267.0,0.47368421052631576,0.47007042253521125,252.0,284.0,0.47368421052631576,0.5,252.0,277.0,0.47368421052631576,0.4876760563380282,252.0,278.0,0.47368421052631576,0.4894366197183099,252.0,285.0,0.47368421052631576,0.5017605633802817
VP_16,1398,1176.0,1167.0,151.0,147.0,0.1284013605442177,0.12596401028277635,155.0,145.0,0.13180272108843538,0.12425021422450729,157.0,147.0,0.13350340136054423,0.12596401028277635,157.0,147.0,0.13350340136054423,0.12596401028277635,157.0,146.0,0.13350340136054423,0.12510711225364182
VP_17,1102,796.0,863.0,337.0,352.0,0.42336683417085424,0.4078794901506373,337.0,371.0,0.42336683417085424,0.4298957126303592,337.0,354.0,0.42336683417085424,0.4101969872537659,337.0,379.0,0.42336683417085424,0.4391657010428737,337.0,392.0,0.42336683417085424,0.4542294322132097
VP_18,566,136.0,141.0,77.0,72.0,0.5661764705882353,0.5106382978723404,78.0,83.0,0.5735294117647058,0.5886524822695035,78.0,83.0,0.5735294117647058,0.5886524822695035,78.0,83.0,0.5735294117647058,0.5886524822695035,78.0,83.0,0.5735294117647058,0.5886524822695035
VP_19,849,903.0,871.0,210.0,206.0,0.23255813953488372,0.2365097588978186,227.0,218.0,0.2513842746400886,0.2502870264064294,244.0,225.0,0.2702104097452935,0.25832376578645233,301.0,262.0,0.3333333333333333,0.3008036739380023,309.0,261.0,0.34219269102990035,0.29965556831228474
VP_20,1296,21.0,13.0,6.0,1.0,0.2857142857142857,0.07692307692307693,9.0,1.0,0.42857142857142855,0.07692307692307693,9.0,1.0,0.42857142857142855,0.07692307692307693,9.0,1.0,0.42857142857142855,0.07692307692307693,9.0,1.0,0.42857142857142855,0.07692307692307693
VP_21,196,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
VP_22,1106,810.0,781.0,209.0,205.0,0.2580246913580247,0.26248399487836105,217.0,207.0,0.2679012345679012,0.26504481434058896,221.0,202.0,0.27283950617283953,0.2586427656850192,252.0,222.0,0.3111111111111111,0.28425096030729835,252.0,219.0,0.3111111111111111,0.28040973111395645
VP_23,535,657.0,613.0,184.0,180.0,0.2800608828006088,0.2936378466557912,261.0,252.0,0.3972602739726027,0.4110929853181077,260.0,241.0,0.395738203957382,0.3931484502446982,286.0,247.0,0.4353120243531202,0.4029363784665579,313.0,255.0,0.4764079147640791,0.4159869494290375
VP_24,1013,1007.0,927.0,318.0,316.0,0.3157894736842105,0.3408845738942826,321.0,311.0,0.3187686196623635,0.3354908306364617,340.0,320.0,0.33763654419066536,0.3451995685005394,348.0,309.0,0.3455809334657398,0.3333333333333333,408.0,328.0,0.4051638530287984,0.35382955771305286
VP_25,783,3295.0,4519.0,1252.0,1250.0,0.37996965098634294,0.2766098694401416,1522.0,1527.0,0.46191198786039456,0.337906616508077,1522.0,1685.0,0.46191198786039456,0.3728701040053109,1522.0,1895.0,0.46191198786039456,0.4193405620712547,1522.0,2259.0,0.46191198786039456,0.49988935605222395
