vp_id,grid_id,real_total_demand_first500,served_veh_ri1,service_rate_ri1,served_veh_ri2,service_rate_ri2,served_veh_ri4,service_rate_ri4,served_veh_ri8,service_rate_ri8,served_veh_ri16,service_rate_ri16
VP_1,217,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
VP_2,882,2288.0,2288.0,1.0,2288.0,1.0,2287.0,0.9995629370629371,2287.0,0.9995629370629371,2286.0,0.9991258741258742
VP_3,1276,718.0,718.0,1.0,717.0,0.9986072423398329,714.0,0.9944289693593314,714.0,0.9944289693593314,715.0,0.9958217270194986
VP_4,917,272.0,272.0,1.0,272.0,1.0,272.0,1.0,272.0,1.0,272.0,1.0
VP_5,855,167.0,167.0,1.0,167.0,1.0,167.0,1.0,167.0,1.0,167.0,1.0
VP_6,931,1135.0,1135.0,1.0,1131.0,0.9964757709251101,1132.0,0.9973568281938326,1132.0,0.9973568281938326,1132.0,0.9973568281938326
VP_7,1182,605.0,605.0,1.0,604.0,0.9983471074380166,602.0,0.9950413223140496,602.0,0.9950413223140496,602.0,0.9950413223140496
VP_8,708,1045.0,1045.0,1.0,1045.0,1.0,1043.0,0.9980861244019139,1043.0,0.9980861244019139,1045.0,1.0
VP_9,508,96.0,96.0,1.0,96.0,1.0,96.0,1.0,96.0,1.0,96.0,1.0
VP_10,834,2266.0,2266.0,1.0,2266.0,1.0,2264.0,0.999117387466902,2264.0,0.999117387466902,2265.0,0.999558693733451
VP_11,359,166.0,166.0,1.0,166.0,1.0,166.0,1.0,166.0,1.0,166.0,1.0
VP_12,1435,102.0,102.0,1.0,102.0,1.0,102.0,1.0,102.0,1.0,102.0,1.0
VP_13,885,1415.0,1415.0,1.0,1413.0,0.9985865724381625,1412.0,0.9978798586572438,1414.0,0.9992932862190813,1415.0,1.0
VP_14,659,730.0,730.0,1.0,728.0,0.9972602739726028,730.0,1.0,730.0,1.0,730.0,1.0
VP_15,1091,540.0,540.0,1.0,536.0,0.9925925925925926,537.0,0.9944444444444445,537.0,0.9944444444444445,537.0,0.9944444444444445
VP_16,1398,305.0,305.0,1.0,305.0,1.0,303.0,0.9934426229508196,303.0,0.9934426229508196,303.0,0.9934426229508196
VP_17,1102,741.0,741.0,1.0,739.0,0.9973009446693657,740.0,0.9986504723346828,740.0,0.9986504723346828,740.0,0.9986504723346828
VP_18,566,161.0,161.0,1.0,161.0,1.0,161.0,1.0,161.0,1.0,161.0,1.0
VP_19,849,586.0,586.0,1.0,583.0,0.9948805460750854,582.0,0.9931740614334471,583.0,0.9948805460750854,584.0,0.9965870307167235
VP_20,1296,10.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0
VP_21,196,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
VP_22,1106,475.0,475.0,1.0,475.0,1.0,474.0,0.9978947368421053,475.0,1.0,475.0,1.0
VP_23,535,582.0,582.0,1.0,580.0,0.9965635738831615,580.0,0.9965635738831615,580.0,0.9965635738831615,581.0,0.9982817869415808
VP_24,1013,770.0,770.0,1.0,769.0,0.9987012987012988,769.0,0.9987012987012988,769.0,0.9987012987012988,769.0,0.9987012987012988
VP_25,783,4268.0,4268.0,1.0,4260.0,0.9981255857544518,4256.0,0.9971883786316776,4259.0,0.9978912839737581,4262.0,0.9985941893158388
VP_26,672,290.0,290.0,1.0,288.0,0.993103448275862,288.0,0.993103448275862,288.0,0.993103448275862,289.0,0.996551724137931
VP_27,1370,56.0,56.0,1.0,56.0,1.0,56.0,1.0,56.0,1.0,56.0,1.0
VP_28,965,1456.0,1456.0,1.0,1454.0,0.9986263736263736,1452.0,0.9972527472527473,1452.0,0.9972527472527473,1454.0,0.9986263736263736
VP_29,1068,261.0,261.0,1.0,259.0,0.9923371647509579,260.0,0.9961685823754789,260.0,0.9961685823754789,260.0,0.9961685823754789
VP_30,1229,718.0,718.0,1.0,716.0,0.9972144846796658,715.0,0.9958217270194986,716.0,0.9972144846796658,716.0,0.9972144846796658
