takeoff_grid_id,landing_grid_id,hour_of_day,day_type,total_trip_count,avg_trip_count_per_bin,access_km,egress_km
172,200,0,workday,1.0,0.023809523809523808,4.447797065782649,6.133218865351519
172,200,2,workday,1.0,0.023809523809523808,0.9525373163055436,6.739308342117182
172,200,7,workday,1.0,0.023809523809523808,8.946404792885417,2.2238985328911274
172,200,8,workday,2.0,0.047619047619047616,3.0666094326757594,7.066838108058338
172,200,9,workday,1.0,0.023809523809523808,2.2238985328911274,4.548609066251403
172,200,10,workday,2.0,0.047619047619047616,4.445742089957421,6.434086200737332
172,200,11,offday,1.0,0.0625,5.822683891523726,4.548609066251403
172,200,11,workday,1.0,0.023809523809523808,7.456603415009497,5.55974633222762
172,200,12,workday,2.0,0.047619047619047616,7.220351565060029,2.830279166348582
172,200,13,offday,1.0,0.0625,5.876919281745578,0.0
172,200,13,workday,1.0,0.023809523809523808,4.412030520056285,5.7152238302521665
172,200,14,workday,2.0,0.047619047619047616,4.342207869271667,5.818398386208569
172,200,15,offday,2.0,0.125,4.087310881250642,2.2058423505037608
172,200,15,workday,2.0,0.047619047619047616,4.031540752552093,5.876919281745578
172,200,16,workday,3.0,0.07142857142857142,4.307149707415696,6.136623336871303
172,200,17,offday,2.0,0.125,2.2238985328913246,6.400489985680421
172,200,17,workday,1.0,0.023809523809523808,5.286991285154586,6.133218865351519
172,200,18,workday,2.0,0.047619047619047616,5.185688413556352,4.902691658519817
172,200,19,offday,1.0,0.0625,5.55974633222762,9.659570288782167
172,200,19,workday,5.0,0.11904761904761904,4.305103627167754,5.144337353279646
172,200,20,workday,1.0,0.023809523809523808,0.9525373163055436,8.824752236602155
172,200,21,workday,3.0,0.07142857142857142,2.387282961133106,6.627358584220551
172,200,22,offday,2.0,0.125,5.55974633222762,5.515340530136282
172,200,22,workday,2.0,0.047619047619047616,5.423368808691103,2.419268740864872
172,402,0,offday,6.0,0.375,4.217284540754368,2.489313460756759
172,402,0,workday,4.0,0.09523809523809523,1.5598821503650324,3.5197626681099514
172,402,1,offday,1.0,0.0625,2.4193475841371894,2.205063637164313
172,402,1,workday,1.0,0.023809523809523808,5.0645527342525565,1.4637994634406992
172,402,2,workday,1.0,0.023809523809523808,3.335847799336888,5.876919281745578
172,402,4,workday,1.0,0.023809523809523808,3.469220937852967,2.2048904634613637
172,402,5,workday,1.0,0.023809523809523808,3.0661896120253207,4.41030037438232
172,402,6,workday,24.0,0.5714285714285714,5.652901987719375,1.2867399749418413
172,402,7,offday,3.0,0.1875,2.6995114474150945,1.177006920211651
172,402,7,workday,18.0,0.42857142857142855,3.6847897577409805,2.9235596083121487
172,402,8,offday,7.0,0.4375,2.923154673151347,3.389062466001352
172,402,8,workday,32.0,0.7619047619047619,3.7525246532941927,3.055217826528646
172,402,9,offday,2.0,0.125,3.2676640376317074,2.8370322684751708
172,402,9,workday,17.0,0.40476190476190477,4.443876225381543,2.619028803051938
172,402,10,offday,5.0,0.3125,5.033763425253978,2.8234531370550355
172,402,10,workday,19.0,0.4523809523809524,3.2193639563378684,2.023826408309704
172,402,11,offday,8.0,0.5,3.863646474037855,1.4548387569955183
172,402,11,workday,9.0,0.21428571428571427,3.4895580973531835,1.2639348094360698
172,402,12,offday,6.0,0.375,4.661167274233487,2.3068909180666717
172,402,12,workday,18.0,0.42857142857142855,3.7152977570406924,2.3737297082823416
172,402,13,offday,8.0,0.5,4.906196713601175,2.004810525065079
172,402,13,workday,10.0,0.23809523809523808,4.84210195351301,2.1363046526869147
172,402,14,offday,6.0,0.375,3.5607968389747353,4.143515656555746
172,402,14,workday,26.0,0.6190476190476191,3.775731638551723,2.562474581662817
172,402,15,offday,9.0,0.5625,4.095671565782904,1.859134491752783
172,402,15,workday,26.0,0.6190476190476191,4.522389536993986,2.5141302089146267
172,402,16,offday,8.0,0.5,4.029987781938535,2.1467952979316034
172,402,16,workday,22.0,0.5238095238095238,4.749009353202758,1.8577850472859554
172,402,17,offday,9.0,0.5625,3.934917508822029,1.969944721899096
172,402,17,workday,44.0,1.0476190476190477,4.217699959394213,2.3166638913543625
172,402,18,offday,4.0,0.25,5.212197777674999,2.4232618006108377
172,402,18,workday,24.0,0.5714285714285714,4.180773591186125,2.1744278294199475
172,402,19,offday,5.0,0.3125,3.8042923604340126,2.6598663595880665
172,402,19,workday,25.0,0.5952380952380952,3.9426099723677233,2.204229616287448
172,402,20,offday,6.0,0.375,3.8740255715212055,2.865004781037623
172,402,20,workday,26.0,0.6190476190476191,4.482368969310008,2.7806707255993857
172,402,21,offday,4.0,0.25,4.350859792090073,3.50877602873964
172,402,21,workday,23.0,0.5476190476190477,3.965814901132548,2.301211036223009
172,402,22,offday,4.0,0.25,3.5942234933896646,3.0558393159714563
172,402,22,workday,16.0,0.38095238095238093,2.340958525354899,2.4428036272704214
172,402,23,offday,4.0,0.25,3.018007495190295,4.395052036107715
172,402,23,workday,8.0,0.19047619047619047,3.134324902127947,1.3469115498512592
172,464,0,offday,1.0,0.0625,2.4193475841371894,1.111949266445761
172,464,0,workday,2.0,0.047619047619047616,4.993276433247818,3.6550175275518093
172,464,1,workday,1.0,0.023809523809523808,6.671695598673383,4.447797065782255
172,464,7,workday,3.0,0.07142857142857142,5.382201814947127,4.3115596738773565
172,464,8,offday,1.0,0.0625,2.4193475841371894,2.419032021146944
172,464,8,workday,1.0,0.023809523809523808,2.4193475841371894,0.9519360423184061
172,464,9,offday,1.0,0.0625,4.838773963164395,0.0
172,464,10,workday,3.0,0.07142857142857142,7.44199341497774,3.34374991003641
172,464,11,workday,3.0,0.07142857142857142,4.828799920843808,4.391355017209856
172,464,13,workday,2.0,0.047619047619047616,6.113753719119149,5.707612230369177
172,464,14,offday,1.0,0.0625,5.55974633222762,3.4689733712608337
172,464,14,workday,1.0,0.023809523809523808,7.701394788002876,5.285366609704007
172,464,15,workday,2.0,0.047619047619047616,7.053683677282407,5.844252045591272
172,464,16,workday,1.0,0.023809523809523808,8.824752236602155,1.111949266445761
172,464,18,workday,2.0,0.047619047619047616,5.229981367553691,3.3484349015258985
172,464,19,workday,3.0,0.07142857142857142,5.25677425078823,4.887596477310686
172,464,20,offday,1.0,0.0625,5.814112880893414,4.887596477310686
172,464,20,workday,1.0,0.023809523809523808,5.25677425078823,4.887596477310686
172,464,21,workday,4.0,0.09523809523809523,4.320049674693855,3.0962913944722
172,464,22,workday,1.0,0.023809523809523808,2.4193475841371894,3.9669729255527213
172,464,23,workday,1.0,0.023809523809523808,4.412030520056285,4.409261195816847
172,525,0,offday,3.0,0.1875,2.6596979721218665,2.7782794850937393
172,525,0,workday,8.0,0.19047619047619047,2.803830168592551,2.9168394693109514
172,525,1,offday,1.0,0.0625,3.620766996619167,2.204370669741317
172,525,1,workday,1.0,0.023809523809523808,2.857611941192033,2.855206149173337
172,525,2,workday,2.0,0.047619047619047616,3.6290607736507923,2.635305257885487
172,525,3,offday,1.0,0.0625,3.3358477993364937,3.4689182984000055
172,525,3,workday,1.0,0.023809523809523808,3.469220937852967,1.1119492664453663
172,525,4,offday,1.0,0.0625,2.4193475841371894,1.111949266445761
172,525,5,offday,1.0,0.0625,3.3358477993364937,3.6188682295054106
172,525,5,workday,1.0,0.023809523809523808,0.0,3.840564413663442
172,525,6,offday,1.0,0.0625,3.3358477993364937,2.4189530513922093
172,525,6,workday,1.0,0.023809523809523808,0.9525373163055436,3.0639473918507156
172,525,7,workday,8.0,0.19047619047619047,0.8247207990819087,3.2854446543259748
172,525,8,workday,6.0,0.14285714285714285,2.1531141590743847,3.79944058172075
172,525,9,offday,1.0,0.0625,0.9525373163055436,3.0639473918507156
172,525,9,workday,12.0,0.2857142857142857,3.342638788102077,2.628912246038005
172,525,10,offday,1.0,0.0625,3.8413597957092724,0.9517353856410604
172,525,10,workday,10.0,0.23809523809523808,3.051509123241132,1.8684488410868123
172,525,11,offday,5.0,0.3125,2.6464501205216697,1.619296434991695
172,525,11,workday,13.0,0.30952380952380953,3.3530018855601136,1.9632411283941889
172,525,12,offday,1.0,0.0625,4.447797065782649,3.335847799336888
172,525,12,workday,2.0,0.047619047619047616,1.9404917345944026,1.2076695602368535
172,525,13,offday,3.0,0.1875,2.998830000457209,3.833334384894446
172,525,13,workday,10.0,0.23809523809523808,4.047940347398082,1.3576330523521858
172,525,14,offday,5.0,0.3125,2.4211552490307318,2.597707362616469
172,525,14,workday,10.0,0.23809523809523808,3.5896229135857296,2.223500911086855
172,525,15,offday,3.0,0.1875,3.772191093922766,2.4572813752906133
172,525,15,workday,16.0,0.38095238095238093,3.7982450369246408,2.0380667299073463
172,525,16,offday,1.0,0.0625,2.4193475841371894,2.4189530513927417
172,525,16,workday,25.0,0.5952380952380952,3.499267200091546,2.414534792642139
172,525,17,offday,1.0,0.0625,2.9284461528832617,1.463668992585398
172,525,17,workday,13.0,0.30952380952380953,4.179021904654125,1.8456758295323812
172,525,18,offday,3.0,0.1875,3.2991892387395985,1.4291943949931003
172,525,18,workday,8.0,0.19047619047619047,3.6605092130511108,2.382392552258302
172,525,19,offday,2.0,0.125,3.8413597957092724,0.4758676928205302
